@relation X01_leukemia-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X.63 numeric
@attribute X.64 numeric
@attribute X.78 numeric
@attribute X.189 numeric
@attribute X.228 numeric
@attribute X.287 numeric
@attribute X.408 numeric
@attribute X.617 numeric
@attribute X.633 numeric
@attribute X.651 numeric
@attribute X.707 numeric
@attribute X.731 numeric
@attribute X.776 numeric
@attribute X.907 numeric
@attribute X.939 numeric
@attribute X.1065 numeric
@attribute X.1069 numeric
@attribute X.1095 numeric
@attribute X.1190 numeric
@attribute X.1203 numeric
@attribute X.1207 numeric
@attribute X.1235 numeric
@attribute X.1239 numeric
@attribute X.1253 numeric
@attribute X.1269 numeric
@attribute X.1308 numeric
@attribute X.1321 numeric
@attribute X.1420 numeric
@attribute X.1524 numeric
@attribute X.1550 numeric
@attribute X.1552 numeric
@attribute X.1583 numeric
@attribute X.1618 numeric
@attribute X.1633 numeric
@attribute X.1652 numeric
@attribute X.1682 numeric
@attribute X.1720 numeric
@attribute X.1833 numeric
@attribute X.1890 numeric
@attribute X.1981 numeric
@attribute X.1991 numeric
@attribute X.2013 numeric
@attribute X.2053 numeric
@attribute X.2064 numeric
@attribute X.2073 numeric
@attribute X.2120 numeric
@attribute X.2168 numeric
@attribute X.2186 numeric
@attribute X.2196 numeric
@attribute X.2211 numeric
@attribute X.2268 numeric
@attribute X.2271 numeric
@attribute X.2376 numeric
@attribute X.2457 numeric
@attribute X.2475 numeric
@attribute X.2479 numeric
@attribute X.2519 numeric
@attribute X.2525 numeric
@attribute X.2569 numeric
@attribute X.2663 numeric
@attribute X.2731 numeric
@attribute X.2906 numeric
@attribute X.2922 numeric
@attribute X.2965 numeric
@attribute X.2973 numeric
@attribute X.3056 numeric
@attribute X.3059 numeric
@attribute X.3073 numeric
@attribute X.3130 numeric
@attribute X.3144 numeric
@attribute X.3156 numeric
@attribute X.3242 numeric
@attribute X.3280 numeric
@attribute X.3369 numeric
@attribute X.3433 numeric
@attribute X.3480 numeric
@attribute X.3584 numeric
@attribute X.3624 numeric
@attribute X.3661 numeric
@attribute X.3671 numeric
@attribute X.3820 numeric
@attribute X.3985 numeric
@attribute X.4131 numeric
@attribute X.4274 numeric
@attribute X.4448 numeric
@attribute X.4521 numeric
@attribute X.4537 numeric
@attribute X.4553 numeric
@attribute X.4640 numeric
@attribute X.4736 numeric
@attribute X.4761 numeric
@attribute X.4762 numeric
@attribute X.4778 numeric
@attribute X.4941 numeric
@attribute X.4964 numeric
@attribute X.4998 numeric
@attribute X.5021 numeric
@attribute X.5065 numeric
@attribute X.5087 numeric
@attribute X.5135 numeric
@attribute class {ALL,AML}

@data

-294,333,1190,959,1226,346,748,545,252,1614,-341,117,786,52,-82,617,476,44,841,1610,394,488,-136,-65,365,-52,106,-859,198,-67,-757,251,335,296,1467,730,767,-91,810,457,559,3830,414,24,-44,-54,34,19,310,-41,212,556,44,1601,309,138,730,58,4,50,533,133,1383,97,234,325,268,21,89,239,237,-8,1939,645,3500,1724,259,1572,80,1158,71,173,1621,-822,295,22,2117,1022,164,352,1056,-19,273,35,137,177,123,167,-48,61,ALL
33,128,866,310,2185,370,480,491,284,880,410,15,521,62,-46,671,364,-20,761,3479,310,638,44,-16,624,49,-101,-570,142,67,-101,655,537,164,2088,660,814,-29,519,300,351,1675,208,39,-13,34,17,-21,204,93,58,207,146,843,46,47,-117,64,111,-81,782,58,5615,-27,485,250,264,-73,-2,9,183,1,1829,471,2698,1499,446,1373,46,1022,282,146,1542,-697,320,44,7691,1279,162,667,1181,26,290,41,106,161,59,300,-32,-28,ALL
110,352,1408,1210,2636,603,1059,-190,294,2100,-20,94,716,-157,-49,1248,489,37,846,5013,764,690,30,-120,108,150,-119,-954,-236,-86,-437,358,410,317,2087,761,1547,-217,195,566,493,2802,254,-19,-87,-58,-30,68,234,209,442,517,110,1617,317,68,773,28,233,-114,847,58,393,111,537,561,585,118,199,141,299,-19,2260,575,2683,1216,248,1535,86,1033,15,230,2082,-760,440,13,6290,1080,250,239,984,-218,485,-10,151,320,132,21,27,513,ALL
12,109,948,914,2217,400,380,686,501,1300,-1107,161,798,368,-62,635,490,-38,699,501,122,588,-34,-74,873,-56,-55,-828,35,-71,-347,325,172,225,1022,189,831,-78,371,337,556,910,344,38,24,-14,3,-6,271,247,36,426,86,1868,72,73,357,-67,80,-47,719,-135,677,206,456,128,230,-98,24,118,296,-12,1031,285,1616,1481,239,1681,3,1520,182,193,1061,44,187,25,1554,1626,70,125,1009,-376,205,98,89,150,134,283,-7,142,ALL
15,151,1129,697,2273,238,304,626,154,799,-327,7,563,995,-2,634,174,-4,834,1058,231,687,37,-92,686,62,28,-261,512,165,-336,719,210,243,1279,186,1423,-32,474,530,537,779,384,50,8,46,74,47,233,203,142,151,104,741,116,43,616,-1,89,-20,1006,42,5073,94,726,415,176,57,24,68,373,103,1665,784,2603,1270,452,1019,88,1617,227,132,1512,-321,471,-17,977,560,71,576,477,14,103,4,46,117,51,117,-28,71,ALL
-67,208,983,689,1940,270,158,391,517,1065,-1132,44,657,8,-122,609,330,-65,499,2521,300,439,-24,-90,302,12,-113,-631,-224,12,-225,257,307,40,1026,497,430,-78,96,327,371,1017,133,48,-90,56,-48,-26,-16,195,74,206,10,1018,3,1,238,99,113,-129,1175,-92,421,0,206,448,165,87,12,-14,231,12,926,168,1474,572,492,974,44,1079,5,161,992,145,124,92,4303,1386,282,-26,1065,-208,435,-42,78,99,156,-44,-53,376,ALL
-38,162,1287,1356,1483,408,302,512,289,1214,-1255,87,909,937,188,567,401,-23,890,161,-325,534,-194,-105,325,28,-181,-838,-199,-115,-270,507,223,137,1268,349,764,-80,173,529,536,712,230,119,-15,3,-58,21,124,174,18,618,105,1424,70,139,366,-11,62,-43,1208,-273,4182,18,379,174,354,164,-73,84,268,45,1283,240,1448,1572,220,1754,16,1510,369,147,1587,99,297,-62,2115,1145,137,502,1258,-171,181,45,31,159,75,344,-26,243,ALL
-221,149,566,890,1710,403,427,418,532,1127,-647,148,791,-229,290,824,1066,73,571,2227,112,227,17,-280,244,100,136,-748,626,-208,-373,181,619,289,800,1040,752,-50,365,446,905,1677,416,62,-26,160,70,-55,94,-115,127,560,104,1679,202,110,565,44,49,7,713,-256,1030,95,169,358,307,290,97,25,241,-109,1292,452,1547,1260,-388,1124,61,613,-52,110,977,-1010,137,-20,3532,1229,49,1677,1326,-401,314,122,118,274,61,704,44,103,ALL
-158,309,813,815,3019,382,494,963,265,1486,265,97,926,209,101,800,245,21,995,4727,1012,740,-10,-110,273,37,-105,-968,-325,-16,-172,745,504,152,2190,919,1777,-184,276,345,563,3221,260,85,-22,75,47,-22,176,156,155,453,103,1069,73,59,282,72,198,17,1676,-36,1414,146,439,582,281,212,43,85,230,13,2502,596,4027,1409,227,1951,36,1881,40,184,2888,-693,726,83,9226,934,506,553,1455,201,382,47,150,214,176,466,-21,368,ALL
