@relation X03_MLL-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X.126 numeric
@attribute X.269 numeric
@attribute X.478 numeric
@attribute X.572 numeric
@attribute X.661 numeric
@attribute X.779 numeric
@attribute X.970 numeric
@attribute X.1221 numeric
@attribute X.1416 numeric
@attribute X.1532 numeric
@attribute X.1568 numeric
@attribute X.1684 numeric
@attribute X.2028 numeric
@attribute X.2395 numeric
@attribute X.2404 numeric
@attribute X.2415 numeric
@attribute X.2447 numeric
@attribute X.2589 numeric
@attribute X.2590 numeric
@attribute X.2638 numeric
@attribute X.2721 numeric
@attribute X.2800 numeric
@attribute X.2832 numeric
@attribute X.2854 numeric
@attribute X.2881 numeric
@attribute X.3065 numeric
@attribute X.3228 numeric
@attribute X.3232 numeric
@attribute X.3264 numeric
@attribute X.3335 numeric
@attribute X.3446 numeric
@attribute X.3480 numeric
@attribute X.3579 numeric
@attribute X.3599 numeric
@attribute X.3652 numeric
@attribute X.3885 numeric
@attribute X.4041 numeric
@attribute X.4075 numeric
@attribute X.4265 numeric
@attribute X.4475 numeric
@attribute X.4671 numeric
@attribute X.4685 numeric
@attribute X.4782 numeric
@attribute X.4816 numeric
@attribute X.4841 numeric
@attribute X.5418 numeric
@attribute X.5520 numeric
@attribute X.5687 numeric
@attribute X.6243 numeric
@attribute X.6429 numeric
@attribute X.6538 numeric
@attribute X.6584 numeric
@attribute X.6608 numeric
@attribute X.6701 numeric
@attribute X.6793 numeric
@attribute X.7055 numeric
@attribute X.7152 numeric
@attribute X.7161 numeric
@attribute X.7346 numeric
@attribute X.7615 numeric
@attribute X.7970 numeric
@attribute X.8036 numeric
@attribute X.8101 numeric
@attribute X.8174 numeric
@attribute X.8422 numeric
@attribute X.8437 numeric
@attribute X.8528 numeric
@attribute X.8572 numeric
@attribute X.8864 numeric
@attribute X.8897 numeric
@attribute X.9037 numeric
@attribute X.9057 numeric
@attribute X.9296 numeric
@attribute X.9319 numeric
@attribute X.9589 numeric
@attribute X.9924 numeric
@attribute X.9926 numeric
@attribute X.10013 numeric
@attribute X.10134 numeric
@attribute X.10164 numeric
@attribute X.10229 numeric
@attribute X.10250 numeric
@attribute X.10468 numeric
@attribute X.10723 numeric
@attribute X.10774 numeric
@attribute X.10824 numeric
@attribute X.10866 numeric
@attribute X.10986 numeric
@attribute X.11190 numeric
@attribute X.11426 numeric
@attribute X.11481 numeric
@attribute X.11525 numeric
@attribute X.11626 numeric
@attribute X.11651 numeric
@attribute X.11820 numeric
@attribute X.11824 numeric
@attribute X.12007 numeric
@attribute X.12042 numeric
@attribute X.12241 numeric
@attribute X.12284 numeric
@attribute class {ALL,AML,MLL}

@data

22.2,-201.7,106.7,43,138.5,159.5,426.9,737.4,122.5,-70.7,209.1,486.3,87.5,2101.3,-299.7,-230.8,9433.4,-21,2263.2,-314.9,-318.5,141.7,227.3,-105.2,750.5,78.9,-162.9,-39.4,-10.5,13424.8,36,-598.3,211.1,-43.8,32.9,724.6,194.6,83.8,3758.8,-20.3,449,18.5,22.3,719.5,312.5,-567.7,-65.2,2974.3,2983.1,674.2,1037.2,109.3,5796.2,2931.9,3482.5,1115,795.9,1100.2,26796.3,4786.6,1311.3,987.7,871.2,4360.4,2747.1,8445.3,883.3,7844.7,1721.6,10282.3,139.6,1883.2,1042.9,1202.5,-78.9,344.1,1237.8,371.8,1168.7,286.2,-117.3,129.4,543.4,3411,-223.5,1146.4,-21.4,23.6,-13.5,197.5,411.1,1797.7,7045.1,1118.4,2473.9,-16.4,552.6,-9.7,714,230.5,ALL
-8,-165,-360,-1,105,149,296,1055,100,109,401,811,-12,2754,-194,-258,7660,128,2865,-359,-466,159,398,72,607,-5,-150,-33,-76,11403,476,-702,247,-75,22,590,94,470,2875,-1,546,140,55,1469,321,-568,-80,5380,3145,1104,1350,27,10160,685,4959,1523,2087,1040,27637,5747,3487,1382,1584,6245,4668,13452,2016,13380,1632,20807,369,1907,771,2336,-82,204,2388,189,1740,200,-169,176,977,3641,-174,1946,42,101,-58,80,683,3036,14938,1873,2562,27,615,45,606,3,ALL
42,36,-71,37,197,165,437,667,232,-238,234,177,38,1289,-438,-176,14605,-108,2139,-229,-367,69,40,-183,1124,40,-209,4,-113,20407,-14,-442,211,-72,-20,166,158,131,3349,-69,790,-199,45,95,160,-474,-130,1940,1102,410,670,16,4353,3146,798,603,430,1415,41310,1894,1018,942,1013,2477,1690,5236,250,2425,2417,6144,37,2544,993,513,36,100,808,30,154,165,-217,237,118,3356,-99,3760,-34,35,-37,341,4,157,6627,461,2187,168,553,13,613,124,ALL
-31,-319,-380,-34,27,108,-50,241,196,-128,472,414,-119,1217,-576,67,9593,-240,1130,-111,-365,24,-168,-120,560,-16,-154,193,-117,13200,46,-366,31,-151,-44,539,-92,-111,2003,-103,813,248,-30,1289,259,-173,-291,4772,1136,1132,1317,-107,4217,4147,2088,1757,1427,1709,35337,7642,1675,1560,-12,4246,3108,10813,2612,16357,37,16483,844,1494,1418,2226,0,46,1497,866,1729,39,-280,-25,38,1324,-221,3237,-52,0,-70,460,904,1435,15744,151,773,-133,356,-55,204,-200,ALL
-39,103,330,69,143,201,373,671,138,-155,1242,747,-32,979,-680,-300,15270,-69,2248,-509,-866,267,354,-24,1116,65,-82,105,-91,16217,4,-758,452,-91,0,664,235,694,2381,-14,984,129,1525,1145,399,-806,-137,2202,4491,460,1667,-28,6085,-364,962,1174,2876,995,12342,3307,2477,1587,491,2847,3185,7007,1243,16284,2747,11733,119,1125,850,704,-91,347,1744,138,1199,165,-83,147,609,3663,-86,1134,78,91,-119,-39,669,921,13674,3709,2590,2,826,21,990,57,ALL
24,-49,-66,103,77,145,270,605,215,-211,1079,581,95,2747,-853,-304,11798,-275,1183,-328,-474,305,49,11,239,-11,-279,-7,-125,14014,444,-958,168,-72,24,1217,115,466,2287,-53,1309,-143,47,1839,406,-702,-136,2500,1839,456,1476,7,6109,-561,3316,1247,2680,1021,23019,3693,2523,961,679,4239,3115,8765,2168,16971,2146,9589,340,964,760,1386,-52,326,2089,205,2401,303,-110,229,653,1435,-190,1862,58,122,-58,51,408,1110,14358,1273,888,72,677,129,967,22,ALL
-4,-90,51,-35,16,164,-19,417,169,-134,814,552,75,1993,-142,-262,13496,54,2369,-94,-232,121,236,113,288,15,-228,75,-113,15438,74,-618,172,-48,42,393,243,716,3063,17,1119,-61,70,786,313,-423,-38,2305,3052,1089,872,68,11406,101,1448,1542,3213,2459,20468,3752,2894,1557,549,3989,2703,6958,1148,15066,2247,9148,161,2667,983,1146,-65,189,1254,230,1701,134,-111,70,171,3013,-88,1903,52,113,-44,149,468,860,7924,2418,1408,-4,505,-29,634,101,ALL
-191,26,40,61,215,35,151,913,361,-139,534,370,-21,2744,-478,-250,11971,78,1983,-86,-821,235,143,-502,743,-86,-508,-25,-228,13836,140,-748,213,-47,79,364,110,436,2309,-72,746,82,108,771,364,-565,-159,2805,2952,687,1135,-210,8903,-93,1458,1409,3779,1450,17087,4941,2484,1404,1001,4341,2658,9889,1474,15335,2419,15309,222,13221,560,1029,-70,339,2192,292,4220,353,16,211,517,2019,5,1775,26,26,-39,12,236,1357,11487,2464,882,13,558,119,674,133,ALL
-145,-83,80,25,121,167,-129,635,268,-231,119,682,126,2334,-53,-91,14544,-306,432,-278,-617,172,166,797,1187,47,-264,-21,-53,16494,132,-657,141,-93,91,311,204,160,3465,33,1162,-144,616,1179,370,-338,-64,1552,2351,533,763,19,15133,-36,1006,1921,2705,1768,17556,4578,3457,2196,227,4000,2194,4139,1223,16433,941,14209,92,2431,510,819,74,124,1461,76,1049,166,-151,116,269,555,-174,6162,36,18,-110,117,214,1179,7784,893,482,-45,453,-17,621,55,ALL
