@relation X05_prostata-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X.126 numeric
@attribute X.269 numeric
@attribute X.478 numeric
@attribute X.572 numeric
@attribute X.661 numeric
@attribute X.779 numeric
@attribute X.970 numeric
@attribute X.1221 numeric
@attribute X.1416 numeric
@attribute X.1532 numeric
@attribute X.1568 numeric
@attribute X.1684 numeric
@attribute X.2028 numeric
@attribute X.2395 numeric
@attribute X.2404 numeric
@attribute X.2415 numeric
@attribute X.2447 numeric
@attribute X.2589 numeric
@attribute X.2590 numeric
@attribute X.2638 numeric
@attribute X.2721 numeric
@attribute X.2800 numeric
@attribute X.2832 numeric
@attribute X.2854 numeric
@attribute X.2881 numeric
@attribute X.3065 numeric
@attribute X.3228 numeric
@attribute X.3232 numeric
@attribute X.3264 numeric
@attribute X.3335 numeric
@attribute X.3446 numeric
@attribute X.3480 numeric
@attribute X.3579 numeric
@attribute X.3599 numeric
@attribute X.3652 numeric
@attribute X.3885 numeric
@attribute X.4041 numeric
@attribute X.4075 numeric
@attribute X.4265 numeric
@attribute X.4475 numeric
@attribute X.4671 numeric
@attribute X.4685 numeric
@attribute X.4782 numeric
@attribute X.4816 numeric
@attribute X.4841 numeric
@attribute X.5418 numeric
@attribute X.5520 numeric
@attribute X.5687 numeric
@attribute X.6243 numeric
@attribute X.6429 numeric
@attribute X.6538 numeric
@attribute X.6584 numeric
@attribute X.6608 numeric
@attribute X.6701 numeric
@attribute X.6793 numeric
@attribute X.7055 numeric
@attribute X.7152 numeric
@attribute X.7161 numeric
@attribute X.7346 numeric
@attribute X.7615 numeric
@attribute X.7970 numeric
@attribute X.8036 numeric
@attribute X.8101 numeric
@attribute X.8174 numeric
@attribute X.8422 numeric
@attribute X.8437 numeric
@attribute X.8528 numeric
@attribute X.8572 numeric
@attribute X.8864 numeric
@attribute X.8897 numeric
@attribute X.9037 numeric
@attribute X.9057 numeric
@attribute X.9296 numeric
@attribute X.9319 numeric
@attribute X.9589 numeric
@attribute X.9924 numeric
@attribute X.9926 numeric
@attribute X.10013 numeric
@attribute X.10134 numeric
@attribute X.10164 numeric
@attribute X.10229 numeric
@attribute X.10250 numeric
@attribute X.10468 numeric
@attribute X.10723 numeric
@attribute X.10774 numeric
@attribute X.10824 numeric
@attribute X.10866 numeric
@attribute X.10986 numeric
@attribute X.11190 numeric
@attribute X.11426 numeric
@attribute X.11481 numeric
@attribute X.11525 numeric
@attribute X.11626 numeric
@attribute X.11651 numeric
@attribute X.11820 numeric
@attribute X.11824 numeric
@attribute X.12007 numeric
@attribute X.12042 numeric
@attribute X.12241 numeric
@attribute X.12284 numeric
@attribute class {normal,tumor}

@data

25.2,18.9,78.2,4,7.3,0.3,10.5,68.4,7.6,-9.8,112.5,8.4,0,181.2,-13.4,-20.9,1416.7,17.7,0.4,1.4,-55.2,13,3.1,91.9,76.9,14.4,-13.4,3.5,-7.8,164,-1.2,-27,4.8,-2.6,9.6,-0.6,7.9,3.9,23.6,1.6,-3,-3.6,3.8,4.3,25.1,13,-3.3,6,32.9,30.3,38,10,224.4,-41.6,22.1,7,51.7,30.3,265.8,27.6,23.9,6.1,-13.2,15.8,62.9,57.1,9.4,143.1,243.2,188.5,5.3,59.5,9.5,11.9,20.7,23.5,90.3,11.1,70,19.8,-12.8,19.5,33.2,106.7,-17.1,18.9,-4,4.8,4.7,-4.2,-1.5,-15,217.5,6.4,4.4,-11.9,34.1,14.6,33.2,3.9,normal
2,23,-9,0,2,1,2,9,1,-3,10,2,0,40,9,-5,1110,-1,0,6,-1,0,4,34,7,2,-3,0,0,208,-1,-10,3,0,12,2,6,2,35,0,3,5,0,9,23,19,4,15,22,31,13,40,82,46,27,17,38,23,317,69,39,21,2,33,31,69,25,192,20,183,3,39,15,33,2,6,23,0,36,2,-1,2,9,7,-2,40,0,0,14,2,0,10,268,13,0,0,29,1,9,16,normal
80,11,119,7,29,22,37,157,15,-18,144,9,-1,161,-32,-44,495,-24,12,-102,-112,36,44,267,181,26,-76,-7,-28,50,-1,-48,12,-18,19,2,46,-23,25,-14,-19,-5,0,2,62,-96,-18,-27,26,30,55,20,415,-227,34,32,32,43,54,13,31,15,18,-12,110,25,13,127,734,113,9,188,20,7,40,7,220,15,-30,23,-22,32,78,199,-45,0,-3,5,2,-28,-4,-34,104,-27,22,-17,71,23,79,2,normal
23,6,54,10,25,30,55,96,13,-13,87,11,1,95,-62,0,1840,-12,17,-49,-98,12,27,145,140,14,-33,-14,-20,136,-22,-20,22,-5,14,5,25,-11,21,1,9,3,3,23,40,-45,-7,0,18,33,41,19,257,-117,19,22,20,32,155,23,18,8,-7,0,52,45,23,99,366,141,11,103,1,10,20,4,151,17,-1,28,-24,13,81,162,-23,11,-3,12,12,-25,-6,-17,213,-4,6,-13,51,-12,41,4,normal
43,52,127,11,18,8,18,131,7,4,92,1,3,208,-59,-26,2316,13,9,-61,-121,30,22,168,114,22,-39,-14,-9,62,2,-40,7,2,10,-5,12,-19,20,-3,-31,6,-2,5,44,-72,-3,-14,25,28,66,12,309,-69,1,19,35,39,300,13,15,19,25,1,65,29,2,31,671,117,-4,160,24,5,31,9,149,22,-12,29,-21,17,40,303,-29,6,16,18,-4,-16,-16,-11,115,-10,17,-14,64,-2,64,4,normal
101,10,75,8,0,0,11,105,9,-9,128,11,5,185,-9,-32,2232,28,7,0,-102,29,7,138,105,2,-10,1,-3,133,-12,-30,0,-5,10,0,26,-3,15,8,-20,-11,-2,-11,37,5,9,-11,4,29,70,11,222,-92,25,31,-5,8,116,48,16,9,-5,18,97,22,24,127,389,118,9,106,9,6,28,10,138,16,-2,30,-16,15,80,120,-26,6,0,9,0,-13,10,-35,206,10,22,-6,58,18,68,17,normal
0,-5,158,18,15,19,26,171,0,20,201,25,-9,202,6,-38,1195,-25,19,-71,-176,45,25,231,175,36,-82,-8,-15,63,2,-11,9,-26,16,-12,44,20,19,-5,-9,0,-1,-2,76,-69,-9,-14,31,54,42,4,393,-125,14,21,-81,10,268,18,35,25,16,14,73,37,-1,84,610,125,-1,101,0,9,36,11,232,14,-38,23,-9,19,82,273,-41,15,0,10,-2,-22,-9,-7,-16,-3,1,-39,114,-15,145,11,normal
21,7,77,4,9,7,21,82,8,6,130,4,-1,141,-39,-25,1944,9,5,-33,-69,20,20,106,90,6,-13,-2,-5,178,-1,-23,4,-6,17,0,21,0,19,0,-7,-4,2,2,45,-29,-6,3,18,27,39,20,176,-61,18,20,-15,9,259,28,14,15,6,12,66,42,13,214,297,152,1,90,16,12,1,5,112,4,9,26,-11,8,36,99,-21,17,4,9,2,-8,3,-13,216,-1,6,-7,40,2,67,9,normal
141,-1,168,-6,-1,17,0,260,13,-5,184,35,5,245,-93,-43,23,56,39,-13,-192,46,15,316,236,31,-95,-23,-24,33,0,-49,5,-5,38,-19,30,-13,16,-18,0,8,-8,9,90,-157,-25,-1,33,40,43,-7,494,-214,22,14,-114,50,13,-3,37,58,-48,-8,149,16,-15,198,877,82,14,230,28,1,68,22,288,13,-49,38,-49,42,98,304,-35,2,7,24,5,-58,-11,1,-62,-26,18,-28,101,-14,155,15,normal
54,73,175,4,33,9,23,212,27,12,185,12,2,209,-66,-56,401,39,8,-45,-158,45,45,245,196,24,-67,-11,-6,24,-2,-51,14,-14,12,-12,41,-10,14,-3,-18,-10,1,13,83,-104,-10,-34,35,43,45,22,461,-250,29,18,-56,41,158,11,28,26,-37,6,102,15,2,141,708,118,5,200,13,0,34,9,225,17,-10,34,-33,27,84,290,-32,2,8,16,-10,-23,-17,-31,-55,-14,7,-16,85,-21,81,4,normal
19,7,53,5,12,0,8,49,9,-1,77,5,4,79,-8,-13,2192,3,7,-23,-34,14,4,68,51,4,-23,0,-5,216,5,-8,1,-5,9,-1,12,-3,23,-1,-8,-2,-1,5,21,-17,-1,4,19,27,57,13,126,-1,28,11,0,23,385,35,15,10,0,16,48,92,11,128,168,238,3,23,8,14,4,12,60,5,8,7,-6,1,33,72,-3,36,0,5,7,-4,0,-9,242,-3,-1,-1,21,0,32,17,normal
16,0,81,7,7,8,-14,86,7,5,85,1,4,164,-40,-15,2051,-12,10,3,-73,23,28,133,90,10,-33,-4,-6,166,0,-15,5,-10,11,0,11,2,19,0,-10,-7,6,5,40,-29,-11,-5,22,29,68,54,239,-83,13,24,75,29,369,33,13,12,15,14,74,58,7,67,341,164,6,83,10,16,29,6,123,5,15,26,-12,13,56,67,-14,25,0,11,5,-14,-2,-30,204,-12,4,-12,31,6,33,7,normal
9,3,45,3,6,3,9,27,4,-1,41,4,0,58,-12,-8,1566,4,2,-6,-11,7,12,54,27,7,-11,0,2,346,1,-11,5,0,9,-3,9,0,19,-1,0,-3,-1,9,23,-6,0,17,15,20,15,64,111,-3,21,12,18,9,243,56,19,11,3,20,49,60,14,194,116,133,0,50,8,29,6,5,45,1,15,5,-6,5,16,34,-7,22,1,2,12,-4,-1,5,193,4,4,0,26,0,22,9,normal
51,13,142,12,31,7,61,193,22,33,184,25,-16,164,-112,-59,457,-33,12,-85,-189,56,3,210,254,31,-21,-21,-1,23,14,-69,14,-25,13,8,47,31,28,-18,2,-7,-21,36,60,-153,-16,-47,44,17,44,17,414,-268,37,21,54,59,59,10,26,16,4,-5,121,26,-7,113,1002,134,30,184,4,-17,44,9,279,27,-21,40,-16,6,90,228,-50,-19,-2,5,-33,-19,-13,-41,-92,2,14,-38,108,-11,108,13,normal
58,49,196,-11,38,20,12,122,-6,-8,70,23,19,284,-9,-24,2638,15,12,-38,-91,17,14,174,132,19,-6,0,5,95,-2,-36,6,-7,1,0,19,-31,20,-4,16,18,15,14,33,-52,-4,1,18,19,67,69,271,-85,31,20,100,9,342,18,20,28,13,30,47,53,6,98,439,134,10,115,7,8,27,25,152,24,-6,36,-5,16,58,192,-11,10,-4,0,5,-4,-1,-41,65,3,9,-12,44,-19,14,-2,normal
46,-18,225,13,28,19,-4,210,19,14,-13,37,19,326,-114,-39,1679,-7,34,-25,-185,71,42,230,193,21,-68,-16,-20,28,-19,-61,12,0,23,4,32,-17,38,19,-9,-8,-9,21,49,-13,-8,9,41,25,37,16,452,-118,26,7,27,37,180,19,48,18,-23,4,73,22,14,120,606,138,6,174,16,-6,27,31,239,30,-60,41,-16,19,112,208,-55,7,4,31,-37,-21,-19,-36,-36,-32,17,-32,86,13,88,4,normal
43,1,231,2,27,13,82,202,20,-34,271,11,2,149,-98,-20,447,87,2,18,-187,60,35,216,246,4,-65,-1,-26,24,-20,-49,7,-14,9,39,30,41,30,-8,-4,-30,3,19,81,-151,-17,-16,46,29,28,12,427,-240,22,45,-15,92,86,2,34,26,-27,-14,87,28,0,-113,884,99,12,170,-4,0,31,16,268,55,5,53,42,35,118,273,-19,1,-8,-1,-20,-11,30,-32,-141,-4,-3,-80,106,6,170,4,normal
54,5,152,0,8,6,0,109,20,-3,120,18,-8,249,-41,-34,1991,-16,0,2,-108,24,45,176,97,7,-18,3,-8,71,2,-38,6,2,14,0,21,6,30,-5,-13,1,0,7,62,-51,-2,-2,45,48,63,43,379,-105,30,24,103,50,296,36,20,23,18,22,66,51,10,160,400,117,1,176,-3,6,-21,-3,139,18,8,37,-16,4,89,134,-11,26,7,-3,9,1,0,-28,90,-21,14,0,72,-17,58,10,normal
19,60,145,33,-13,28,36,200,32,-32,177,46,16,355,-97,-48,1416,-23,37,-74,-182,56,59,197,281,18,-40,-3,-33,23,-13,-53,-2,-24,-2,5,54,28,25,4,-36,-11,0,18,82,-72,-27,4,49,10,12,3,438,-154,4,18,22,82,263,8,40,11,21,8,101,29,10,118,537,145,1,170,8,-2,43,47,265,-6,-8,38,-39,39,78,245,-41,6,-13,27,-16,-26,17,-57,54,-26,2,8,142,-47,97,8,normal
3,8,36,-2,2,2,15,19,1,-3,61,3,0,31,5,-5,1992,1,3,-9,-6,8,0,32,38,4,-8,-1,-2,263,0,-10,1,0,6,0,6,0,12,-1,-3,-1,4,0,10,-10,0,12,16,9,15,8,57,9,16,5,7,8,144,42,8,14,2,13,61,34,30,215,60,176,4,41,10,10,4,10,32,2,32,4,0,3,12,84,-9,10,1,3,5,-6,2,3,396,1,1,0,36,2,18,4,normal
0,11,36,0,-2,2,16,30,5,-12,1363,-1,-1,20,-17,-10,1462,8,5,-4,-33,9,12,53,35,5,-8,-1,-6,330,2,-12,5,-1,-4,0,12,3,21,-2,0,8,-3,9,15,-7,8,16,24,17,28,2,96,-19,20,15,27,8,248,49,20,13,2,22,46,86,17,218,124,144,6,35,18,16,16,6,51,4,4,5,0,10,22,31,-10,30,1,1,15,-10,-3,-6,202,8,2,-5,34,9,0,6,normal
51,13,333,30,10,32,65,193,16,-27,160,6,24,190,-71,-59,476,-4,14,-12,-160,25,54,254,208,27,-58,-14,-23,-2,2,-35,15,-6,5,11,44,-11,17,5,-17,24,-1,-4,69,-121,-6,-12,15,13,53,11,452,-229,37,32,49,12,134,0,37,10,-46,-3,86,23,7,-4,737,107,2,187,2,17,44,6,225,26,-23,48,-24,15,124,330,-18,-2,0,6,4,-19,10,-45,23,-11,28,-49,97,4,143,-7,normal
23,2,96,0,7,1,14,57,8,1,62,4,6,98,-26,-4,1372,10,9,0,-44,14,14,82,67,4,-23,-1,-4,209,3,-19,5,-1,12,4,13,-6,28,0,-3,2,2,5,27,-21,-5,7,22,26,32,63,153,-37,21,12,18,25,265,58,20,12,-1,26,55,49,12,177,189,149,1,72,8,19,6,8,73,8,24,6,-7,6,30,72,-13,20,1,4,1,-2,6,-8,194,7,3,-5,39,-5,41,12,normal
26,1,45,1,-4,5,2,60,7,1,85,12,5,59,-20,-27,1931,7,-1,-6,-46,13,9,89,56,14,-21,0,-3,232,3,-19,10,-1,6,-6,22,-5,14,0,-6,0,-4,9,29,-35,-6,5,28,27,40,214,196,-32,13,15,-1,20,239,51,32,27,-1,19,65,44,35,176,228,130,4,120,10,36,18,7,73,7,12,18,-13,8,26,83,-7,31,-1,4,3,-6,-7,-21,137,7,1,-1,32,1,11,17,normal
4,16,31,0,4,2,-1,24,1,-1,61,2,0,46,-1,-5,1535,5,2,2,-13,6,1,42,13,0,-6,0,1,272,0,-9,2,0,14,0,12,-1,23,0,0,6,4,8,26,-3,2,15,20,39,7,24,127,6,28,12,28,18,333,90,37,14,1,32,48,82,21,181,59,194,7,27,17,45,2,2,29,2,31,4,-6,5,11,28,-1,43,0,2,9,0,0,1,259,6,0,0,14,1,16,14,normal
13,0,30,-3,7,1,7,42,4,-6,22,1,-2,92,-7,-11,1752,4,3,4,-18,12,10,43,39,2,-14,0,-2,174,-6,-14,4,1,8,0,10,2,35,-2,1,3,-1,7,32,-14,2,4,17,38,33,31,134,-27,22,18,2,13,402,47,40,11,5,32,47,62,22,209,83,135,6,32,17,35,11,11,51,5,66,6,-4,4,11,35,-1,29,-4,0,4,-2,-2,-6,227,4,-1,0,30,8,28,14,normal
4,5,65,3,-2,1,2,44,8,2,116,4,0,91,-10,-3,1888,0,4,-5,-8,10,-3,61,41,4,-13,-5,0,311,-1,-9,3,0,9,-9,7,2,21,-3,0,4,-1,10,30,-13,3,12,20,26,23,12,126,-11,22,15,30,8,345,67,36,7,4,25,39,87,14,143,122,158,6,30,14,15,1,0,54,4,20,10,-8,12,19,79,-7,37,-1,0,16,-6,0,-4,221,2,4,0,22,0,29,11,normal
