@relation X06_lung-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X.26 numeric
@attribute X.559 numeric
@attribute X.678 numeric
@attribute X.683 numeric
@attribute X.741 numeric
@attribute X.894 numeric
@attribute X.971 numeric
@attribute X.1109 numeric
@attribute X.1176 numeric
@attribute X.1278 numeric
@attribute X.1310 numeric
@attribute X.1328 numeric
@attribute X.1429 numeric
@attribute X.1716 numeric
@attribute X.1908 numeric
@attribute X.2070 numeric
@attribute X.2115 numeric
@attribute X.2184 numeric
@attribute X.2279 numeric
@attribute X.2315 numeric
@attribute X.2368 numeric
@attribute X.2451 numeric
@attribute X.2596 numeric
@attribute X.2799 numeric
@attribute X.3055 numeric
@attribute X.3166 numeric
@attribute X.3338 numeric
@attribute X.3449 numeric
@attribute X.3552 numeric
@attribute X.3593 numeric
@attribute X.4052 numeric
@attribute X.4060 numeric
@attribute X.4145 numeric
@attribute X.4195 numeric
@attribute X.4320 numeric
@attribute X.4629 numeric
@attribute X.4648 numeric
@attribute X.4702 numeric
@attribute X.5125 numeric
@attribute X.5139 numeric
@attribute X.5263 numeric
@attribute X.5271 numeric
@attribute X.5291 numeric
@attribute X.5383 numeric
@attribute X.5684 numeric
@attribute X.5768 numeric
@attribute X.5930 numeric
@attribute X.6034 numeric
@attribute X.6201 numeric
@attribute X.6440 numeric
@attribute X.6740 numeric
@attribute X.6946 numeric
@attribute X.7071 numeric
@attribute X.7260 numeric
@attribute X.7557 numeric
@attribute X.7881 numeric
@attribute X.8235 numeric
@attribute X.8518 numeric
@attribute X.8664 numeric
@attribute X.8795 numeric
@attribute X.8863 numeric
@attribute X.8972 numeric
@attribute X.9017 numeric
@attribute X.9134 numeric
@attribute X.9270 numeric
@attribute X.9294 numeric
@attribute X.9439 numeric
@attribute X.9580 numeric
@attribute X.9862 numeric
@attribute X.10011 numeric
@attribute X.10183 numeric
@attribute X.10199 numeric
@attribute X.10360 numeric
@attribute X.10376 numeric
@attribute X.10378 numeric
@attribute X.10466 numeric
@attribute X.10573 numeric
@attribute X.10720 numeric
@attribute X.10723 numeric
@attribute X.10768 numeric
@attribute X.10836 numeric
@attribute X.10847 numeric
@attribute X.10957 numeric
@attribute X.10967 numeric
@attribute X.11103 numeric
@attribute X.11160 numeric
@attribute X.11426 numeric
@attribute X.11429 numeric
@attribute X.11528 numeric
@attribute X.11593 numeric
@attribute X.11596 numeric
@attribute X.11612 numeric
@attribute X.11700 numeric
@attribute X.12133 numeric
@attribute X.12194 numeric
@attribute X.12238 numeric
@attribute X.12467 numeric
@attribute X.12479 numeric
@attribute X.12566 numeric
@attribute X.12579 numeric
@attribute class {'AD ','COID ','NL ','SMCL ','SQ '}

@data

1887.45,731.98,38.07,55.09,124.06,-42.87,-11.32,-127.73,158.2,308.24,260.04,133.81,408.96,101.32,210.29,46.18,78.61,239.64,285.35,174.47,60.77,17.83,23.49,148.44,228.22,273.1,135.43,180.16,56.71,70.5,-84.1,55.9,27.54,135.43,55.9,-8.08,0.82,170.4,57.52,75.36,-3.22,40.5,3.25,8.92,34.83,21.06,25.11,55.9,40.5,29.97,62.39,27.54,72.12,6.49,27.54,13.78,3.25,35.64,36.45,30.78,62.39,25.92,21.87,-29.92,-18.6,24.3,39.69,21.87,10.54,8.11,21.06,21.06,-3.22,25.11,17.83,0.01,9.73,0.01,1.63,2.44,0.01,-0.8,-3.22,5.68,-42.06,11.35,11.35,-17.79,2.44,4.06,-3.22,2.44,-22.64,-16.98,9.73,4.87,-12.13,29.97,-11.32,10.54,'AD '
1061.32,584.12,55.84,73.89,78.13,-40.78,15.49,-102.35,79.2,270.1,266.92,15.49,311.38,66.46,136.51,49.47,79.2,35.66,277.51,131.21,76.01,-23.79,54.78,-125.69,292.33,123.78,192.74,149.25,45.22,-17.42,-69.44,36.73,54.78,114.23,33.54,10.18,10.18,96.18,66.46,69.64,38.85,73.89,-18.48,9.12,-11.05,40.97,39.91,26.11,11.24,29.29,62.21,3.81,47.34,21.86,20.8,45.22,19.74,19.74,25.05,29.29,44.16,37.79,16.55,-4.68,1.69,22.92,19.74,29.29,17.61,12.31,16.55,13.37,19.74,12.31,32.48,10.18,16.55,10.18,10.18,17.61,10.18,11.24,18.68,8.06,-6.81,10.18,10.18,-8.93,10.18,13.37,7,7,9.12,4.87,10.18,2.75,-4.68,3.81,-4.68,26.11,'AD '
1553.85,932.44,34.315,35.175,181.51,28.61,0.925,7.75,210.49,288.585,243.805,-5.015,287.385,179.235,162.605,90.195,70.93,19.24,163.8,118.095,172.305,95.025,46.755,47.56,231.645,78.185,154.335,113.52,87.705,-19.15,-30.275,30.23,62.325,73.97,50.075,-9.725,0.92,91.595,47.87,56.975,72.415,39.26,-11.1,1.335,14.575,36.04,-0.725,13.95,26.17,-23.715,45.495,33.5,28.46,37.41,15.03,-1.405,3.435,13.81,11.115,22.11,28.565,21.98,18.6,-38.025,-7.9,7.33,10.47,7.275,8.86,1.73,5.46,5.085,-1.6,18.39,12.525,6.02,12.96,1.345,2.865,12.515,-0.575,-0.965,-6.335,-0.37,-33.405,6.025,16.655,-11.985,-2.25,-2.91,-5.95,-0.36,-27.055,-7.535,-1.57,2.66,-12.635,1.77,-14.575,22.235,'AD '
880.48,858.03,62.285,74.73,338.52,12.405,7.46,-468.175,88.23,290.32,214.495,15.39,378.615,171.095,134.1,78.665,95.695,32.22,174.205,124,139.515,-73.86,53.25,-83.555,211.01,62.485,214.93,165.055,52.205,-34.205,-85.005,28.93,72.035,162.045,51.73,5.415,14.825,90.975,85.76,58.455,10.07,65.105,-1.605,57,27.145,57.065,-10.07,48.21,11.05,-38.5,63.545,45.27,40.75,48.135,15.405,4.915,13.035,22.805,35.095,29.295,25.405,50.11,26.715,-26.93,-6.06,19.32,26.295,23.285,17.355,16.8,13.765,18.35,8.88,18.415,21.295,9.46,6.88,7.85,5.87,14.85,10.39,6.865,-4.99,10.86,-26.915,6.39,24.295,-10.955,0.47,8.415,6.4,5.87,-19.395,-5.015,11.425,9.36,-9.045,7.355,-4.52,28.765,'AD '
542.78,1024.32,39.54,59.78,366.44,54.72,4.09,-135.79,99.23,332.26,336.28,-6.03,346.33,190.17,100.24,56.74,77.99,23.34,225.48,82.04,183.1,46.62,29.41,-26.3,235.57,32.45,188.15,99.23,108.33,-6.03,-136.8,23.34,73.95,135.63,43.59,-41.5,0.04,124.51,66.86,46.62,17.26,68.89,-13.13,19.29,15.24,16.25,-22.24,15.24,25.36,20.3,42.57,33.46,44.6,23.34,13.21,-10.09,4.09,1.06,21.31,15.24,20.3,15.24,26.37,-64.81,-13.13,6.12,25.36,17.26,-1.98,-1.98,12.2,5.11,4.09,-0.97,7.13,-1.98,-6.03,-5.02,4.09,13.21,-4.01,-1.98,-17.18,4.09,-25.28,2.07,25.36,-20.22,-7.05,4.09,-4.01,-0.97,-38.46,-13.13,1.06,-0.97,-11.1,-1.98,-13.13,7.13,'AD '
628.42,907.78,9.17,146.04,223.18,-23.6,-0.19,-9.56,174.1,261.72,346.92,-6.04,359.75,102.78,174.1,41.94,93.42,72.36,102.78,120.32,168.26,-4.87,584.33,45.45,164.75,72.36,119.15,99.27,-4.87,-14.24,13.85,29.07,114.47,120.32,24.39,-45.85,-8.39,67.68,47.79,99.27,-7.21,65.34,-16.58,27.9,75.87,58.32,-9.56,2.15,17.36,-9.56,51.3,11.51,13.85,39.6,22.05,-16.58,16.19,-0.19,39.6,12.68,31.41,11.51,16.19,-44.68,-28.29,-9.56,10.34,-1.36,6.83,2.15,6.83,-3.7,-18.92,-3.7,20.88,-14.24,-8.39,-8.39,4.49,23.22,-1.36,-10.73,-9.56,-8.39,-32.97,-9.56,26.73,-23.6,-8.39,-14.24,-11.9,-9.56,2.15,-14.24,9.17,-8.39,-21.26,-9.56,-24.77,19.71,'AD '
1202.29,651.605,31.24,60.975,631.99,-41.595,-6.5,-343.96,33.32,314.15,329.99,-2.655,823.45,455.675,223.745,182.205,146.255,192.675,182.495,127.655,154.79,-79.925,114.505,-89.66,247.465,86.87,139.95,158.38,78.375,-15.77,-110.62,54.57,129.62,134.815,53.415,-50.725,-0.835,104.18,82.39,113.765,-51.28,38.02,-20.92,26.82,18.095,122.415,-38.915,60.035,23.335,-22.71,78.02,23.08,41.43,29.56,26.295,8.38,17.825,15.32,51.72,42.635,30,36.29,22.105,-35.965,-15.54,23.7,13.44,22.35,11.33,19.32,20.715,22.325,1.355,12.29,26.855,5.32,3.66,3.1,9.28,17.99,3.245,5.175,1.835,9.39,-51.05,2.48,28.495,-19.05,-0.835,9.365,-0.045,3.995,-38.45,-1.45,6.5,2.595,-10.265,3.265,-11.41,33.73,'AD '
3870.9,1063.25,69.1,63.05,522.52,164.1,-2.43,-291.35,328.77,406.47,389.06,-0.41,523.55,109.48,242.21,64.06,128.69,33.82,151.95,120.6,153.98,-38.63,43.9,28.78,303.28,63.05,129.7,158.03,70.11,-28.58,-90.88,84.24,137.79,98.37,40.87,-21.54,-3.43,83.23,103.42,86.26,-12.49,61.04,-11.48,38.86,14.69,45.91,-34.61,64.06,138.8,-13.49,89.29,37.85,53.98,59.02,39.87,12.67,7.64,9.65,37.85,28.78,37.85,42.89,29.79,-37.63,-20.54,12.67,51.96,7.64,15.69,16.7,12.67,24.76,1.6,11.66,19.72,10.66,1.6,0.59,9.65,19.72,7.64,6.63,10.66,3.61,-33.61,8.64,27.78,-12.49,-0.41,3.61,0.59,0.59,-42.66,-21.54,21.73,6.63,-14.5,11.66,-10.48,32.81,'AD '
4148.26,1031.21,15.01,36.42,99.245,-46.735,-4.265,-148.305,288.885,368.71,446.59,-4.085,329.74,213.72,142.785,83.12,106.81,4.28,150.205,94.85,135.085,-12.99,57.905,-73.415,214.515,43.28,163.605,100.835,54.375,-3.575,-41.495,36.795,85.32,117.52,32.83,27.015,-5.755,70.055,59.07,106.59,11.8,71.5,-23.79,38.14,12.2,26.755,7.41,-0.89,38.915,29.01,36.925,39.925,14.075,47.09,15.655,17.925,10.825,8.375,22.545,25.575,33.96,20.435,16.115,-26.52,-13.23,7.175,24.965,10.98,3.93,12.97,5.645,9.775,-1.305,1.565,10.695,-7.56,24.825,-5.85,10.935,6.335,1.895,-0.385,-9.045,-0.94,-27.95,1.75,30.81,-14.74,-8.44,0.545,-8.865,3.055,-13.68,-4.645,-2.555,3.42,-13.355,-2,-8.77,14.725,'AD '
1293.62,767.92,12.98,91.75,168.18,61.18,10.63,-333.55,42.37,311.67,271.68,18.86,370.46,232.87,157.6,304.61,185.82,18.86,169.36,99.98,208.17,20.03,62.35,144.66,279.92,102.33,211.7,155.25,105.86,12.98,-8.17,49.42,45.9,177.59,57.65,-14.05,8.28,141.13,58.83,97.63,11.81,52.95,-1.12,31.79,-9.35,71.76,-3.47,55.3,1.23,36.49,75.29,16.51,35.32,67.06,16.51,30.61,-2.3,31.79,52.95,24.74,31.79,45.9,36.49,-2.3,3.58,25.91,30.61,29.44,31.79,16.51,27.09,28.26,11.81,12.98,25.91,11.81,14.16,5.93,22.39,41.19,11.81,16.51,0.05,5.93,-15.23,16.51,43.54,-21.1,3.58,16.51,10.63,10.63,-15.23,-7,27.09,21.21,-1.12,16.51,3.58,34.14,'AD '
2093.93,749.45,16.18,59.92,363.51,-32.76,4.12,-233.9,-5.67,270.87,271.63,-3.41,229.69,29.74,159.02,112.06,93.15,121.9,222.08,174.2,253.32,4.12,25.97,81.06,202.3,87.11,162.82,159.02,62.18,4.12,-100.41,31.25,72.75,120.38,79.55,-2.66,-2.66,169.64,59.16,41.05,27.48,72,-13.95,-1.9,69.73,19.19,-3.41,14.67,50.11,-11.69,56.9,31.25,71.24,-7.17,-6.42,-7.17,-3.41,38.79,4.88,17.68,37.28,26.73,32.01,-37.28,1.86,9.4,4.12,4.88,-0.4,14.67,2.62,3.37,4.88,13.92,25.22,-1.9,-1.9,-4.91,2.62,27.48,1.86,-1.15,-2.66,-1.15,-31.26,4.88,2.62,-28.25,-3.41,0.36,-7.17,-3.41,-26.74,-15.45,2.62,7.89,-10.18,-4.16,-8.68,24.47,'AD '
811.61,448.015,222.225,48.755,96.415,-4.87,2.16,-140.85,133.18,274.38,261.74,89.6,370.355,72.05,195.955,54.455,75.125,220.92,299.99,167.275,-5.78,-36.105,-7.655,59.265,194.965,42.745,239.15,168.745,55.975,-14.905,-75.285,66.96,80.335,134.63,203.855,-1.265,10.915,115.69,80.965,77.845,-14.355,158.9,-6.145,13.105,18.995,10.05,35.17,34.265,22.23,-10.985,104.065,14.825,66.245,41.485,37.97,12.71,2.95,64.96,42.77,27.97,89,50.58,32.265,-35.725,5.305,15.07,34.94,32.59,18.81,27.975,10.445,18.985,5.805,39.95,23.335,15.395,17.665,9.315,7.815,14.105,5.715,6.86,4.08,15.52,-21.235,-5.6,13.325,-8.66,4.025,11.93,2.7,4.345,-20.735,-0.53,15.85,8.9,-1.855,6.26,-3.73,52.62,'AD '
2418.85,1165.34,91.96,58.92,367.51,50.08,0.47,-299.92,2.06,415.27,309.25,-4.32,494.65,378.56,193.79,93.57,119.48,182.3,211.08,136.55,113.81,-40.12,15.64,40.45,244.16,42.06,137.36,146.32,96,-27.41,-187.77,69.38,198.72,151.21,57.31,-6.71,2.86,88.73,67.77,63.74,-20.25,61.33,-21.04,26.04,34.04,37.25,12.44,45.27,9.25,-22.63,59.72,8.45,49.28,18.84,-0.33,10.05,-1.92,4.46,54.9,34.84,32.44,42.86,24.43,-38.53,-8.3,14.84,8.45,20.44,18.84,13.24,8.45,22.03,2.86,28.44,18.84,4.46,-1.92,2.06,10.05,23.63,-0.33,2.86,0.47,5.26,-48.06,9.25,25.23,-17.86,-1.92,15.64,-2.72,2.86,-29,2.86,2.06,-4.32,-15.47,0.47,-9.9,27.64,'AD '
1143.62,1009.71,40.05,43.425,562.895,42.045,0.31,-86.03,216.165,301.8,464.5,-5.505,290.06,209.545,146.485,71.325,89.35,80.465,143.34,114.99,348.625,-70.855,-23.14,41.405,259.85,64.595,171.27,118.705,36.945,-9.695,-30.16,63.51,58.085,90.63,79.365,-14.315,1.15,80.855,163.93,62.14,48.65,79.695,-8.885,-6.805,10.315,63.48,-7.32,18.305,23.705,-7.615,51.735,45.145,62.955,17.405,10.345,12.05,13.255,31.61,27.495,32.105,37.5,32.515,19.115,-31.475,-7.205,10.33,16.195,30.075,6.585,8.71,9.92,10.775,4.075,12.465,7.405,7.025,3.25,5.765,2.815,39.635,4.08,1.99,0.74,6.6,-22.71,3.25,27.915,-14.75,4.09,3.66,-4.28,3.25,-32.73,-8.885,6.61,10.405,-5.945,-3.455,-13.08,28.76,'AD '
412.795,655.08,50.015,62.39,696.64,-47.03,5.555,-40.29,75.575,330.565,352.595,-2.34,436.005,107.975,154.17,96.635,90.19,55.765,145.89,135.545,209.66,5.45,3.64,22.16,252.6,64.315,190.4,152.705,34.345,6.185,-78.62,40.36,104.835,108.85,61.415,5.3,9.055,118.4,63.285,72.36,-30.4,59.425,-3.09,15.25,30.58,70.595,9.945,25.715,54.265,-6.205,81.54,29.54,33.43,-11.535,36.69,5.03,6.36,23.225,26.625,34.69,21.41,42.725,38.69,-19.085,-0.87,12.66,23.575,28.51,18.51,18.155,13.61,14.575,10.65,23.265,19.62,7.095,3.88,13.77,20.88,23.225,6.615,13.88,2.27,9.445,-26.25,10.565,22.77,-12.725,6.585,10.61,4.67,8.665,-9.445,-0.754999,8.88,9.35,-8.29,8.6,-0.09,26.325,'AD '
