@relation X08_braintumor-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X.73 numeric
@attribute X.98 numeric
@attribute X.108 numeric
@attribute X.131 numeric
@attribute X.196 numeric
@attribute X.317 numeric
@attribute X.332 numeric
@attribute X.466 numeric
@attribute X.545 numeric
@attribute X.642 numeric
@attribute X.696 numeric
@attribute X.778 numeric
@attribute X.782 numeric
@attribute X.791 numeric
@attribute X.979 numeric
@attribute X.1011 numeric
@attribute X.1224 numeric
@attribute X.1290 numeric
@attribute X.1325 numeric
@attribute X.1387 numeric
@attribute X.1390 numeric
@attribute X.1593 numeric
@attribute X.1628 numeric
@attribute X.1700 numeric
@attribute X.1706 numeric
@attribute X.1731 numeric
@attribute X.1821 numeric
@attribute X.2025 numeric
@attribute X.2066 numeric
@attribute X.2071 numeric
@attribute X.2204 numeric
@attribute X.2313 numeric
@attribute X.2403 numeric
@attribute X.2471 numeric
@attribute X.2725 numeric
@attribute X.2763 numeric
@attribute X.2863 numeric
@attribute X.2950 numeric
@attribute X.2971 numeric
@attribute X.3222 numeric
@attribute X.3236 numeric
@attribute X.3285 numeric
@attribute X.3289 numeric
@attribute X.3307 numeric
@attribute X.3461 numeric
@attribute X.3549 numeric
@attribute X.3567 numeric
@attribute X.3608 numeric
@attribute X.3730 numeric
@attribute X.3745 numeric
@attribute X.3762 numeric
@attribute X.3845 numeric
@attribute X.3897 numeric
@attribute X.3989 numeric
@attribute X.4072 numeric
@attribute X.4216 numeric
@attribute X.4226 numeric
@attribute X.4268 numeric
@attribute X.4314 numeric
@attribute X.4368 numeric
@attribute X.4379 numeric
@attribute X.4430 numeric
@attribute X.4466 numeric
@attribute X.4566 numeric
@attribute X.4752 numeric
@attribute X.4755 numeric
@attribute X.4818 numeric
@attribute X.4855 numeric
@attribute X.5091 numeric
@attribute X.5248 numeric
@attribute X.5333 numeric
@attribute X.5358 numeric
@attribute X.5410 numeric
@attribute X.5414 numeric
@attribute X.5565 numeric
@attribute X.5584 numeric
@attribute X.6156 numeric
@attribute X.6170 numeric
@attribute X.6201 numeric
@attribute X.6218 numeric
@attribute X.6235 numeric
@attribute X.6245 numeric
@attribute X.6250 numeric
@attribute X.6286 numeric
@attribute X.6324 numeric
@attribute X.6473 numeric
@attribute X.6543 numeric
@attribute X.6619 numeric
@attribute X.6691 numeric
@attribute X.6708 numeric
@attribute X.6737 numeric
@attribute X.6766 numeric
@attribute X.6873 numeric
@attribute X.6886 numeric
@attribute X.6952 numeric
@attribute X.6978 numeric
@attribute X.7002 numeric
@attribute X.7079 numeric
@attribute X.7086 numeric
@attribute X.7088 numeric
@attribute class {glioma,medulloblastoma,Normal,PNET,RhabdoidTu}

@data

-279,158,-643,-68,659,-43,648,11,16,75,1260,1042,591,134,175,684,650,1141,-74,86,208,-122,21,159,16439,1397,1969,1222,100,-223,381,-228,1064,-27,-192,55,554,706,175,1133,323,2669,241,696,22,328,-4,-72,243,-605,1229,48,327,493,-138,507,154,13,38,330,-119,-48,46,1087,54,-304,68,548,533,-133,-39,372,332,1090,364,1149,175,485,-491,-307,891,688,291,-281,44,1882,131,-65,953,1068,35,4387,-69,-85,478,113,70,42,805,537,medulloblastoma
-1140,306,-1137,526,618,-28,1314,-219,136,35,2214,996,901,245,-75,-11,507,2060,-115,7407,-2,-16,33,118,10322,1503,1402,1997,-911,-198,349,-724,17222,63,-833,61,382,323,559,1595,1388,2953,332,330,4336,533,-92,-77,705,-302,1690,391,493,651,-110,-129,-337,-44,33,540,-328,-372,287,243,252,240,200,311,311,-587,-195,436,545,1265,1177,2235,155,1331,63,-389,2889,1600,-1137,-193,269,1666,127,66,509,2624,203,8911,509,611,167,99,136,73,436,1036,medulloblastoma
-432,246,-546,322,799,23,1193,-162,33,75,3060,906,530,184,104,206,259,1775,9,2362,287,467,34,141,13111,1193,981,1119,-434,-97,539,-622,4465,-104,-160,64,206,732,694,1145,77,2441,34,491,208,106,-3,-106,185,-307,1926,36,149,605,-18,73,40,25,128,484,252,-244,-130,824,119,615,134,316,353,-128,-139,1066,287,2025,546,421,248,443,-1010,-69,1510,-484,-20,-255,104,952,38,117,359,1390,248,3743,125,62,75,307,270,57,705,395,medulloblastoma
-354,181,-424,170,334,-3,1094,-156,130,86,1801,665,258,152,112,515,130,1303,-12,6771,89,229,86,49,19939,1737,1398,1143,-615,155,692,-387,6449,-28,-302,25,248,581,686,859,582,1707,573,580,78,196,-20,-6,600,-428,1362,164,133,692,12,-22,148,5,50,485,462,-235,145,291,25,194,195,328,369,-218,-60,453,424,885,438,1593,133,379,-536,-73,864,1035,195,71,51,1391,25,34,455,1171,111,3561,-20,160,71,89,110,201,438,414,medulloblastoma
1508,203,-999,226,591,79,787,-125,-52,38,1091,951,666,47,31,422,257,324,47,2915,-433,-63,333,269,11745,897,1123,1917,-956,93,349,-789,6942,-196,-513,63,278,340,-9,408,385,1013,187,232,390,98,-59,-189,-235,-349,1203,159,844,189,-73,143,52,-25,-36,527,511,-280,221,155,310,305,146,406,194,-273,-155,452,251,1741,799,408,-353,684,-513,-525,1780,2483,-63,-191,86,723,43,-93,374,2214,54,4499,27,356,150,-41,408,-38,390,803,medulloblastoma
-1073,176,-981,416,458,-8,1702,-317,60,90,3174,1819,809,249,318,960,153,2815,-27,11567,212,377,27,175,18065,2710,2240,1975,-348,40,380,-385,6263,-47,-432,2,382,930,188,1509,1034,2591,289,1285,729,353,-44,-24,-37,-391,2365,137,301,758,-47,11,-113,-41,-58,710,-112,-319,132,523,213,-301,236,1048,480,-195,-39,306,600,1317,797,2051,260,672,-415,-284,1725,919,-68,-31,102,1799,-85,105,961,2782,278,5772,-26,451,220,231,454,333,844,692,medulloblastoma
-1266,211,-755,410,452,-53,1024,19,2,23,2988,1069,618,407,0,-263,-174,1053,-138,892,193,-102,75,146,15394,1378,2478,1336,-1064,-415,620,-403,855,12,-825,-2,445,561,746,2004,891,4378,127,833,957,315,38,-161,219,-406,1163,52,211,482,-34,-144,-227,-9,-41,580,37,-389,200,275,183,-305,46,462,341,-286,-152,155,117,1432,536,552,98,748,-484,-157,1717,775,-156,-127,178,1887,90,17,260,1827,-2,5444,-310,116,12,100,-45,-67,613,600,medulloblastoma
329,698,-1027,265,772,38,4193,-627,-31,95,5004,1882,1346,510,138,-1393,602,2477,-194,28292,304,85,74,584,12898,2789,1240,2973,-1098,-946,1559,-1566,2158,-570,-180,251,-99,2949,1414,3835,2229,13770,716,1690,400,4529,-10,-180,2477,-1701,6897,-49,141,2661,244,-120,691,31,-124,1084,762,-120,85,1591,-99,315,489,1272,978,-1141,-138,499,708,5618,1534,3966,354,1350,-216,-567,3353,-730,1006,-70,138,3041,241,2073,1332,2481,705,10346,3736,1917,145,723,1091,319,1045,1017,medulloblastoma
-378,197,-690,186,206,0,878,-229,-26,76,1058,807,471,87,94,76,608,1052,-10,131,33,-138,67,71,18749,1051,1108,942,-266,-233,234,-441,1986,17,62,51,222,389,42,517,434,325,270,224,-12,120,37,-10,8,-204,873,26,291,405,-14,-7,28,0,233,336,46,-254,83,250,55,-156,106,369,199,-101,-35,247,138,1252,419,434,117,316,-734,-355,766,1257,-35,-74,60,2031,-5,117,240,305,120,2833,-28,16,-46,26,186,-26,410,410,medulloblastoma
