@relation lung-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X68 numeric
@attribute X809 numeric
@attribute X889 numeric
@attribute X938 numeric
@attribute X1024 numeric
@attribute X1088 numeric
@attribute X1114 numeric
@attribute X1316 numeric
@attribute X1529 numeric
@attribute X1562 numeric
@attribute X1693 numeric
@attribute X1694 numeric
@attribute X2421 numeric
@attribute X2476 numeric
@attribute X2837 numeric
@attribute X2908 numeric
@attribute X3089 numeric
@attribute X3091 numeric
@attribute X3804 numeric
@attribute X4157 numeric
@attribute X4159 numeric
@attribute X4194 numeric
@attribute X4450 numeric
@attribute X4739 numeric
@attribute X5101 numeric
@attribute X5216 numeric
@attribute X5532 numeric
@attribute X5714 numeric
@attribute X6017 numeric
@attribute X6050 numeric
@attribute X6465 numeric
@attribute X6858 numeric
@attribute X6984 numeric
@attribute X7102 numeric
@attribute X7399 numeric
@attribute X7643 numeric
@attribute X7658 numeric
@attribute X7793 numeric
@attribute X8265 numeric
@attribute X8273 numeric
@attribute X8864 numeric
@attribute X9185 numeric
@attribute X9447 numeric
@attribute X9502 numeric
@attribute X9835 numeric
@attribute X9842 numeric
@attribute X10145 numeric
@attribute X10171 numeric
@attribute X10251 numeric
@attribute X10459 numeric
@attribute X10474 numeric
@attribute X10616 numeric
@attribute X10618 numeric
@attribute X10855 numeric
@attribute X10877 numeric
@attribute X11188 numeric
@attribute X11298 numeric
@attribute X11477 numeric
@attribute X11524 numeric
@attribute X12033 numeric
@attribute X12788 numeric
@attribute X13129 numeric
@attribute X13311 numeric
@attribute X13456 numeric
@attribute X13477 numeric
@attribute X13621 numeric
@attribute X13677 numeric
@attribute X13770 numeric
@attribute X13951 numeric
@attribute X14020 numeric
@attribute X14031 numeric
@attribute X14407 numeric
@attribute X14602 numeric
@attribute X14787 numeric
@attribute X14820 numeric
@attribute X15288 numeric
@attribute X15595 numeric
@attribute X15650 numeric
@attribute X16068 numeric
@attribute X16342 numeric
@attribute X16568 numeric
@attribute X16824 numeric
@attribute X16826 numeric
@attribute X17132 numeric
@attribute X17807 numeric
@attribute X17821 numeric
@attribute X19116 numeric
@attribute X19119 numeric
@attribute X19566 numeric
@attribute X19681 numeric
@attribute X20087 numeric
@attribute X20512 numeric
@attribute X20799 numeric
@attribute X20898 numeric
@attribute X21009 numeric
@attribute X21081 numeric
@attribute X21166 numeric
@attribute X21292 numeric
@attribute X21782 numeric
@attribute X22083 numeric
@attribute lung.columns.tissue {normal,tumor}

@data

10.0184,8.99107,9.9108,9.80033,4.91555,9.5794,9.38654,9.87938,9.88657,6.68338,7.59641,8.18943,10.2215,8.92758,8.0066,7.65153,7.74888,7.94386,7.18445,8.87815,8.92629,7.93541,8.51089,6.09568,7.51047,6.29322,5.2239,4.70136,9.5796,7.05189,6.24748,6.37384,8.00257,5.50831,7.96259,6.75153,9.31946,8.48729,9.35989,9.5722,8.06186,5.47491,7.68356,5.79159,7.99024,5.37727,7.94032,5.29767,6.96815,7.0502,7.18888,6.50716,6.69043,7.01487,5.48388,7.00597,6.75124,8.51363,9.44852,9.00902,8.35161,6.65089,13.3706,7.21595,5.09144,7.16171,6.9851,8.60891,7.48281,5.85033,5.43281,6.60567,5.56143,6.57819,6.22497,6.38498,7.45375,5.36094,8.47009,5.70938,5.21583,7.15461,6.2093,11.0722,7.95484,8.53568,8.4577,6.02038,7.73424,4.59958,5.69181,4.7854,6.56099,8.8282,6.49689,4.53743,9.65175,9.80028,7.38264,5.97292,tumor
9.74418,9.17213,9.73065,10.4035,6.13734,9.62525,9.68907,9.74032,8.94383,6.88628,7.15249,7.80947,10.3581,9.29909,8.07147,8.32323,8.99677,7.7874,6.93249,8.94224,8.91179,7.53676,8.6036,6.18676,7.50035,6.34082,5.28586,4.56087,9.40966,7.29694,6.21156,6.44117,7.89835,5.69207,7.9231,7.1599,9.17494,8.58872,9.5714,9.68607,8.35598,5.65675,8.12811,6.00243,7.90637,5.61618,8.12239,5.42062,6.96692,7.04003,7.25095,6.67918,6.78477,7.04136,5.73572,7.07721,6.66416,8.33747,9.31666,7.77549,8.53436,6.81652,13.6454,7.44334,5.2137,7.18199,7.65607,8.63848,7.45425,6.09954,5.55438,7.81371,6.31456,6.69728,7.2052,6.34092,7.29712,5.29252,8.73159,5.80394,5.08102,7.07934,6.19292,12.1739,8.03327,8.45311,8.64541,6.07554,8.14162,4.65761,5.35676,4.85911,6.74081,8.47592,6.49056,4.56154,9.55435,9.42407,7.67532,5.62725,tumor
9.6969,9.51858,10.1223,9.57146,6.40278,9.60914,9.49495,10.1131,9.26069,6.09155,6.97545,8.44184,9.69285,9.40391,7.62637,9.31695,8.61433,7.48348,6.67633,9.3595,9.11535,7.7337,8.46059,6.54756,7.80789,6.70389,5.35138,4.50157,10.0136,7.67348,6.00834,6.45188,7.69473,5.71393,8.06363,7.25107,9.14263,8.51179,9.42812,9.70361,8.09249,5.90281,7.89433,5.32979,8.02225,6.01356,7.43149,5.13946,7.2561,7.23677,7.13407,6.65062,6.75409,7.05785,5.71595,7.11831,6.93278,8.8256,8.7845,8.37703,7.78684,6.6695,13.5059,7.30963,5.10691,6.98193,7.39412,8.99139,7.69843,6.10869,5.27547,6.83749,5.43531,6.69894,6.37312,6.25624,7.06689,5.18933,8.60049,5.85444,5.07068,7.16318,6.03738,11.5723,8.07872,8.61277,8.69632,6.56951,7.37707,4.55199,5.48036,4.80242,6.69896,9.11863,6.70219,4.69115,9.57004,10.1506,7.8105,5.67007,tumor
10.0065,9.60041,10.3641,9.93293,5.40592,9.52337,9.48461,10.0006,9.38223,5.89,7.47621,7.51312,9.87989,8.92651,7.78537,8.42039,7.55398,7.19514,7.11893,9.17616,9.38715,8.17213,8.75396,7.21348,7.19568,6.75977,4.92549,4.71695,9.34691,6.99577,6.00571,6.006,7.5246,5.76427,8.24164,7.14219,8.74402,8.65054,9.31438,9.40799,8.02566,5.76624,7.56471,5.92586,7.90686,6.03729,8.61862,4.9894,7.3958,7.94838,6.81547,6.55538,6.67262,6.7939,5.41819,7.39378,6.67872,8.05222,8.99828,8.50922,7.98487,6.79362,13.375,7.67908,5.10303,6.75326,7.64815,8.94479,7.44948,5.86935,5.32027,7.01418,6.04824,6.85967,6.43058,6.09704,7.04962,5.47576,8.01608,5.75678,5.20539,7.22104,6.17817,10.289,7.8452,8.86545,8.16656,6.4826,7.98624,4.64041,5.66033,4.67448,6.36788,9.03363,6.48267,4.83028,9.80413,9.69067,7.78073,6.00656,tumor
9.46327,9.86448,10.1593,10.1756,5.96734,9.70463,9.94393,10.1858,9.44407,6.14126,7.6336,7.82512,9.4814,9.56781,7.39781,9.92369,8.06344,7.67196,6.63139,9.54272,9.17533,7.48741,9.64437,7.28474,8.14289,7.33841,5.57604,4.59845,9.63194,7.12999,5.5221,6.03939,7.79646,5.4493,8.06422,6.86732,9.13519,8.24854,9.11933,10.4697,8.80961,5.64048,7.48351,5.68414,7.86151,5.72989,8.61601,4.95641,7.21771,7.10509,7.09366,6.34076,6.65142,6.9403,6.06348,8.07807,6.74923,8.94356,8.69117,7.9241,7.43555,6.8385,13.3956,7.63884,4.96964,6.52471,8.49005,9.07825,7.59783,5.67844,5.09122,5.65629,5.37757,6.81274,7.04855,5.83064,6.82126,5.56576,8.38805,5.45159,4.90762,6.81154,5.89355,12.6301,7.95375,8.89699,8.27579,6.28082,8.21071,4.49525,5.26341,4.61504,6.66468,9.17485,6.61881,4.51989,10.3529,9.66935,7.58273,5.85139,tumor
9.4737,9.3222,10.0291,10.5366,6.25075,10.2745,9.63605,9.88745,9.98617,6.32299,7.4647,7.98252,10.4083,9.65103,7.89277,9.45062,9.25167,7.46909,6.79636,9.35183,8.98236,7.48496,9.1874,6.75095,7.50254,6.54514,5.36647,4.92992,9.41583,6.92604,5.76429,6.09014,7.56282,5.24433,8.03437,6.84099,9.47919,8.42738,9.15357,10.0892,7.74139,5.68235,7.64393,6.10934,7.59623,5.78576,8.79416,5.03836,7.35866,6.97704,6.93684,6.39596,6.74265,6.98687,5.54418,7.38829,6.75288,8.31666,8.97871,7.81923,7.88479,6.36171,13.4018,8.20039,4.85962,6.81623,8.28315,9.04911,7.2723,5.92822,5.38815,6.24929,5.74837,6.75044,8.25246,5.80784,7.03269,6.14486,8.28135,5.54351,5.10663,6.8296,5.85183,12.1943,7.88983,8.89808,8.48126,6.07286,8.10178,4.57788,5.39178,4.71335,6.641,9.02397,6.79315,4.4088,10.0652,9.769,7.63445,5.92235,tumor
9.56683,9.0867,9.76963,9.60643,5.00278,9.86319,9.71498,10.1386,9.3253,5.56498,7.0099,7.77977,9.72059,9.70983,7.34861,9.71652,8.20793,7.80552,7.0233,8.50346,9.59848,7.19125,9.25789,7.25593,7.54577,6.86882,6.56352,4.6192,9.39898,6.97366,6.06163,5.69669,8.09301,5.95147,8.07313,6.79525,9.05246,8.29365,9.06414,9.03976,7.58582,6.57926,7.52632,6.06483,7.70998,6.55969,7.60473,5.7333,7.35596,7.35148,6.75139,6.08566,6.86217,6.97166,5.35217,7.40881,7.54132,9.17873,8.34698,7.45379,7.21317,7.35828,13.8023,6.61543,4.94522,7.46141,6.92965,9.6427,7.43381,5.57668,5.69895,5.64263,5.30688,6.95411,7.0562,6.0554,7.55739,5.73976,8.36385,6.76673,5.734,7.25607,6.22574,12.7492,7.49117,8.71587,8.48144,6.38755,7.14645,4.95535,5.33267,4.95143,6.99708,9.07275,6.9533,5.00774,9.39918,9.7144,7.91348,5.96259,tumor
9.59617,10.4367,9.84344,10.3763,6.17431,9.41653,9.66539,9.75863,9.10255,6.50557,7.3121,8.51311,9.62523,9.21828,7.74919,11.1485,8.3331,7.68871,7.00482,8.77949,8.99857,8.37751,8.93465,6.31462,7.60321,6.98457,5.17319,4.88482,9.34936,7.05812,5.95874,6.23018,7.96087,5.56281,7.94548,6.96035,8.71239,8.56365,9.14963,9.60603,8.29536,5.53203,8.16891,5.91833,8.03217,5.60738,7.87607,5.1371,7.54077,7.15136,7.07074,6.52653,6.69806,6.98063,5.5659,7.16302,7.13663,8.35496,9.14274,8.02584,7.95228,6.69504,13.5343,6.90966,4.98181,7.10835,7.59735,8.85065,7.55348,5.85511,5.44694,6.12048,5.94251,6.814,7.10589,6.13201,7.12063,5.3374,8.46214,5.73282,5.1453,7.00791,5.93507,11.5077,7.77234,8.48564,8.49923,6.46847,7.96285,4.44845,5.43008,4.75642,6.64009,8.77105,6.89532,4.75721,9.5769,9.97145,7.61304,5.83995,tumor
10.342,9.974,10.7236,9.68479,5.14373,10.1747,10.6029,9.58206,9.54737,6.12512,7.37471,8.20975,9.28251,8.74589,7.1245,7.50659,7.87318,8.18811,6.30392,9.26087,9.71411,8.27261,8.23223,6.57128,8.01934,6.52421,5.23528,4.43678,8.86181,6.97338,5.91811,5.80015,8.0058,5.68536,7.98604,6.67137,8.81428,8.86916,9.1791,10.7222,8.07798,5.83849,7.71965,5.3926,8.0152,5.93335,8.55972,5.30118,8.1823,7.01033,6.75499,6.77837,7.01027,6.95675,5.46158,7.403,6.90766,8.64939,8.75218,7.58761,7.3767,6.69614,12.7234,5.78799,4.76064,7.01003,6.99003,9.11282,7.58005,6.85306,5.33025,6.64503,5.39812,6.7232,6.90548,6.21536,7.20416,5.51743,8.53354,6.02687,5.34026,6.85102,6.22622,9.93679,8.80691,8.56917,8.85367,6.44465,8.04881,4.91241,5.42114,4.77375,7.39694,9.31677,7.59761,4.71535,10.0002,10.1656,7.49964,5.78417,tumor
