@relation myelo-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X1509 numeric
@attribute X3311 numeric
@attribute X3625 numeric
@attribute X4111 numeric
@attribute X4190 numeric
@attribute X4994 numeric
@attribute X5816 numeric
@attribute X6337 numeric
@attribute X6621 numeric
@attribute X6912 numeric
@attribute X7181 numeric
@attribute X7511 numeric
@attribute X7686 numeric
@attribute X8785 numeric
@attribute X10233 numeric
@attribute X10393 numeric
@attribute X11153 numeric
@attribute X12518 numeric
@attribute X12694 numeric
@attribute X12752 numeric
@attribute X13474 numeric
@attribute X14256 numeric
@attribute X14538 numeric
@attribute X15834 numeric
@attribute X16827 numeric
@attribute X17059 numeric
@attribute X18551 numeric
@attribute X18787 numeric
@attribute X18970 numeric
@attribute X19400 numeric
@attribute X19429 numeric
@attribute X20117 numeric
@attribute X20503 numeric
@attribute X20878 numeric
@attribute X21432 numeric
@attribute X21504 numeric
@attribute X21711 numeric
@attribute X21868 numeric
@attribute X22378 numeric
@attribute X23036 numeric
@attribute X23234 numeric
@attribute X23509 numeric
@attribute X23627 numeric
@attribute X23646 numeric
@attribute X24179 numeric
@attribute X24932 numeric
@attribute X25527 numeric
@attribute X25540 numeric
@attribute X25668 numeric
@attribute X25702 numeric
@attribute X26187 numeric
@attribute X26524 numeric
@attribute X27017 numeric
@attribute X27739 numeric
@attribute X27817 numeric
@attribute X29182 numeric
@attribute X29313 numeric
@attribute X29428 numeric
@attribute X31159 numeric
@attribute X31197 numeric
@attribute X31684 numeric
@attribute X32970 numeric
@attribute X33008 numeric
@attribute X33456 numeric
@attribute X33675 numeric
@attribute X34866 numeric
@attribute X36257 numeric
@attribute X36346 numeric
@attribute X36526 numeric
@attribute X37050 numeric
@attribute X37159 numeric
@attribute X37162 numeric
@attribute X38331 numeric
@attribute X38488 numeric
@attribute X38536 numeric
@attribute X38785 numeric
@attribute X39071 numeric
@attribute X39116 numeric
@attribute X40194 numeric
@attribute X41471 numeric
@attribute X41480 numeric
@attribute X42981 numeric
@attribute X43503 numeric
@attribute X45500 numeric
@attribute X45599 numeric
@attribute X45766 numeric
@attribute X45897 numeric
@attribute X46747 numeric
@attribute X48165 numeric
@attribute X48818 numeric
@attribute X49382 numeric
@attribute X49662 numeric
@attribute X49716 numeric
@attribute X50212 numeric
@attribute X52408 numeric
@attribute X53305 numeric
@attribute X53492 numeric
@attribute X53889 numeric
@attribute X53976 numeric
@attribute X54374 numeric
@attribute myelo.columns.disease.state {healthy,'myelodysplastic syndrome'}

@data

178.321,12.4606,115.502,7.13829,9.76922,15.2211,61.5367,18.1766,11.383,18.0461,10.9116,12.5774,17.8611,8.03127,69.1674,8019.21,266.408,215.445,153.15,13.7414,1625.52,631.576,159.881,31.3192,11.3225,12.0063,176.62,33.3259,48.3984,111.686,52.7537,16.3018,75.833,130.551,46.5516,787.414,357.006,67.9817,1193.33,1476.72,122.487,35.8285,10185.5,11.2048,21.7906,14.6266,13.0407,35.813,16.5336,9.3216,8.63622,12.5214,2502.64,58.5439,136.426,41.6208,48.5223,244.167,233.601,9.70329,1038.45,67.4256,39.9289,9.80165,43.6446,35.3337,257.389,46.111,58.7806,33.5742,90.3131,211.34,296.833,8.9517,7.33167,587.293,7.79665,195.59,21.5199,429.44,34.4737,32.8586,14.3469,75.0476,9.05289,29.0363,32.3769,49.5379,134.112,8.15252,7.53896,11.329,11.2024,23.1592,44.9199,60.0303,14.5982,8.44913,10.9763,347.083,'myelodysplastic syndrome'
176.69,12.2952,100.522,6.51648,10.2805,14.3893,55.1656,19.8609,11.6678,13.3554,11.0016,13.5834,16.9827,8.26787,75.5276,8044.11,277.896,170.795,84.0806,15.8512,1778.7,621.465,121.853,31.2831,12.968,15.3533,220.581,37.1614,54.2336,157.345,32.0289,17.4553,99.7935,115.012,43.0838,811.605,334.978,68.0895,1288.63,1526.26,145.084,33.688,9683.12,10.9826,26.3917,15.3677,13.7053,21.516,15.7703,9.50881,8.51574,11.8627,2797.51,85.9858,118.656,43.566,42.1747,314.58,252.231,10.3997,863.451,54.8702,42.5088,8.70807,36.3878,48.8608,319.307,58.3355,45.4087,38.7919,80.4625,194.158,212.394,9.19752,7.54059,545.997,8.00382,182.25,24.3186,476.936,28.983,27.655,14.4475,69.8913,10.8271,31.6367,28.9684,44.7591,86.085,8.76346,7.51781,11.5807,11.6024,25.8469,57.6296,34.5832,17.631,9.20415,10.6952,251.349,'myelodysplastic syndrome'
178.449,13.3862,60.2361,6.7283,10.8936,12.9723,90.8941,20.9033,9.6942,15.7715,15.6098,14.8496,23.0054,8.27264,107.574,8126.81,269.419,181.078,78.3092,19.6935,1587.89,545.406,227.112,49.1681,17.2267,20.8041,121.432,35.9008,69.7228,57.0995,49.7202,14.0776,61.9303,139.769,51.0966,806.592,329.022,69.337,1031.78,1343.33,95.4614,28.1921,9258.77,10.1217,30.0548,30.4449,16.4457,17.8444,16.6328,9.08621,7.5689,16.0292,2684.57,60.7329,111.753,36.0408,53.2559,236.872,231.223,10.9945,1434.67,83.2548,57.6005,11.0548,43.5629,67.6007,210.846,53.9413,49.7525,44.8237,75.5847,194.718,133.039,9.97117,8.36553,321.964,8.33425,126.114,22.2098,339.24,35.3643,24.5562,18.8991,50.2261,13.7687,54.1106,38.0418,108.876,97.7195,9.92387,8.13961,13.7182,11.1075,25.2251,25.7716,28.6096,13.1653,9.72358,13.8203,359.581,'myelodysplastic syndrome'
142.916,11.3904,59.8727,7.289,10.4297,12.9098,70.2952,21.5843,10.8185,14.7589,11.6476,14.0949,14.7196,7.92036,74.2061,7564.08,237.795,193.473,177.526,59.3295,1415.41,523.84,149.822,40.8867,12.5865,12.41,52.2544,45.4906,77.4396,63.4238,92.646,21.0893,71.2616,132.484,43.389,788.947,528.465,68.651,534.727,1905.73,132.074,58.5334,8711.29,8.30548,28.3184,14.7016,17.5676,22.2122,12.0975,9.18692,9.06267,20.2583,5604.39,130.476,106.902,43.8621,38.0432,281.645,242.763,12.7205,960.366,81.504,38.9206,8.74643,40.7455,50.8725,229.82,51.7225,33.2516,42.5302,120.235,245.136,172.981,9.92673,8.8103,710.38,8.06431,133.808,28.1141,332.717,27.6092,28.4328,19.9168,65.7964,8.52986,29.096,33.895,46.5314,94.6328,8.73761,8.75525,12.0696,12.4458,22.298,16.5264,22.7983,15.9233,8.71624,10.0079,307.366,'myelodysplastic syndrome'
141.951,16.3582,73.7691,7.32322,8.52986,12.3121,69.7604,20.5938,10.4824,15.8295,13.0163,13.8942,18.4524,8.90218,89.5066,9841.38,179.571,58.7128,49.2177,30.3802,2111.1,437.749,80.2223,54.2336,12.1254,16.5312,88.417,28.0443,84.0746,64.544,50.2749,23.7309,52.2657,112.003,46.1027,559.053,349.348,62.4815,764.302,1848.93,66.5233,21.6934,8541.01,9.04962,34.5235,19.2273,13.2987,17.2478,20.4902,10.0346,9.03594,17.365,3611.81,98.1181,128.813,57.875,66.1362,222.48,155.799,14.8357,904.555,56.503,43.8179,9.61144,50.9055,46.8814,156.204,44.4378,21.6201,35.8698,87.5265,163.604,114.755,10.0919,8.16487,307.411,7.18576,115.677,27.9918,457.763,22.6763,24.91,23.7292,57.6857,10.8606,35.0296,42.4246,68.8046,58.5945,9.04636,8.2631,14.1947,10.925,39.2459,13.9333,43.7564,16.1626,8.65865,9.00021,216.254,'myelodysplastic syndrome'
267.35,12.9536,28.1678,6.93951,12.2219,11.4843,79.7613,22.1978,11.3102,15.1987,12.8476,17.0932,18.5056,9.17369,101.622,8500.52,220.406,120.848,83.2967,189.876,1494.43,648.592,106.279,52.4959,13.7568,15.629,44.465,49.1256,71.3437,48.4568,82.1051,16.3229,53.1275,122.964,45.2585,736.012,482.013,75.6474,758.324,1438.81,123.168,40.6957,8249.51,9.37211,39.9952,18.6717,16.8875,14.5028,12.9872,11.9649,9.03399,18.6408,7820.65,99.17,87.2715,50.7151,30.9168,211.66,204.252,11.8167,1049.17,66.1148,39.6423,12.1412,41.1823,67.4596,147.084,60.6848,62.4388,48.9913,101.721,188.724,175.491,9.59069,8.10976,843.499,7.32612,58.5165,16.5378,94.7659,25.4652,22.4341,17.5879,24.0243,9.28273,47.3908,44.0521,74.705,93.2991,8.63186,8.8472,14.4819,10.7858,22.9747,12.6812,17.6475,15.0575,9.00735,14.5059,228.794,'myelodysplastic syndrome'
225.352,17.8927,72.3062,7.18266,10.3347,11.6711,82.2917,25.2842,10.6391,16.4386,14.3852,16.2818,17.35,9.01254,56.1823,6363.68,200.137,112.047,39.8198,15.9664,1353.09,326.589,102.401,36.4324,15.4487,15.2651,55.5184,37.815,94.0958,38.9683,79.8302,28.0241,99.27,91.4162,51.3697,500.306,316.421,59.3915,805.344,1817.5,86.3895,24.9261,8416.4,10.0868,27.2103,23.1968,23.1067,11.7572,22.5866,9.93675,8.87529,15.2124,2772.24,71.6735,87.9342,51.5068,72.2541,223.203,132.188,13.8343,664.007,69.6224,40.0701,9.39645,41.2833,46.3341,126.715,58.1928,23.3325,34.6318,75.5847,179.869,126.014,11.2201,7.99259,231.19,7.69315,133.135,16.5258,333.029,43.6886,23.4049,27.0111,40.8734,11.7234,41.8101,48.2226,91.7064,58.1718,8.04111,7.85954,13.1785,13.5805,39.8327,21.485,42.0746,14.1641,8.33185,10.4643,178.078,'myelodysplastic syndrome'
334.206,12.5205,143.266,7.97073,8.50163,19.7396,83.3659,18.1963,9.85617,19.0316,11.1516,11.2008,15.9199,8.15252,79.7555,7518.97,240.899,195.266,70.9976,26.0263,1303.39,414.992,101.776,37.7388,14.0614,17.6564,47.4147,24.7293,65.5244,159.246,46.1708,15.6481,101.849,106.778,28.7563,867.286,208.58,62.9515,1513.61,1117.88,158.517,45.5923,8673.71,10.6468,20.2715,16.123,12.3672,19.2509,17.4729,9.76922,9.51087,10.8943,3494.83,56.2472,114.921,52.5072,26.8994,277.716,234.664,10.8967,582.489,84.0746,38.4621,8.10217,33.187,43.2813,221.521,50.3003,52.2958,28.4154,92.3329,236.514,158.654,8.7288,7.11006,732.89,9.71378,123.071,25.5231,400.828,35.4434,25.266,16.4955,56.2816,9.86612,31.2044,28.9841,52.8564,82.3836,8.87656,8.10217,11.9116,11.1685,21.6958,187.329,183.971,28.3694,9.1856,9.3512,195.794,'myelodysplastic syndrome'
257.593,14.066,160.043,6.65215,9.22074,12.7306,72.8947,18.349,14.1355,14.6868,11.2728,13.3804,16.5729,8.21147,76.2108,7129.63,295.084,260.805,98.4864,17.1728,1215.41,458.868,146.798,45.4022,12.4333,14.3159,194.606,30.3901,47.9645,36.6674,59.0459,12.5394,172.607,116.656,25.5792,652.577,249.789,60.2751,1030.14,1653.21,104.88,43.219,7953.89,10.1035,27.3913,17.0784,13.4336,17.3538,11.8576,9.43239,8.49551,18.823,2799.53,65.3453,99.4275,43.8779,28.0958,288.11,183.667,10.2664,756.386,83.8266,38.9347,10.0875,37.3224,48.2765,221.585,51.3993,36.577,36.5599,101.402,166.2,212.623,10.1246,7.57981,301.391,7.32005,155.295,14.7462,350.836,45.3499,26.5691,15.5212,53.0071,9.81225,34.6256,30.0743,66.2506,95.3789,8.31806,8.98272,10.7184,9.28608,20.7569,64.3779,101.169,13.9173,9.50471,10.1224,292.323,'myelodysplastic syndrome'
