@relation panc-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X1509 numeric
@attribute X3311 numeric
@attribute X3625 numeric
@attribute X4111 numeric
@attribute X4190 numeric
@attribute X4994 numeric
@attribute X5816 numeric
@attribute X6337 numeric
@attribute X6621 numeric
@attribute X6912 numeric
@attribute X7181 numeric
@attribute X7511 numeric
@attribute X7686 numeric
@attribute X8785 numeric
@attribute X10233 numeric
@attribute X10393 numeric
@attribute X11153 numeric
@attribute X12518 numeric
@attribute X12694 numeric
@attribute X12752 numeric
@attribute X13474 numeric
@attribute X14256 numeric
@attribute X14538 numeric
@attribute X15834 numeric
@attribute X16827 numeric
@attribute X17059 numeric
@attribute X18551 numeric
@attribute X18787 numeric
@attribute X18970 numeric
@attribute X19400 numeric
@attribute X19429 numeric
@attribute X20117 numeric
@attribute X20503 numeric
@attribute X20878 numeric
@attribute X21432 numeric
@attribute X21504 numeric
@attribute X21711 numeric
@attribute X21868 numeric
@attribute X22378 numeric
@attribute X23036 numeric
@attribute X23234 numeric
@attribute X23509 numeric
@attribute X23627 numeric
@attribute X23646 numeric
@attribute X24179 numeric
@attribute X24932 numeric
@attribute X25527 numeric
@attribute X25540 numeric
@attribute X25668 numeric
@attribute X25702 numeric
@attribute X26187 numeric
@attribute X26524 numeric
@attribute X27017 numeric
@attribute X27739 numeric
@attribute X27817 numeric
@attribute X29182 numeric
@attribute X29313 numeric
@attribute X29428 numeric
@attribute X31159 numeric
@attribute X31197 numeric
@attribute X31684 numeric
@attribute X32970 numeric
@attribute X33008 numeric
@attribute X33456 numeric
@attribute X33675 numeric
@attribute X34866 numeric
@attribute X36257 numeric
@attribute X36346 numeric
@attribute X36526 numeric
@attribute X37050 numeric
@attribute X37159 numeric
@attribute X37162 numeric
@attribute X38331 numeric
@attribute X38488 numeric
@attribute X38536 numeric
@attribute X38785 numeric
@attribute X39071 numeric
@attribute X39116 numeric
@attribute X40194 numeric
@attribute X41471 numeric
@attribute X41480 numeric
@attribute X42981 numeric
@attribute X43503 numeric
@attribute X45500 numeric
@attribute X45599 numeric
@attribute X45766 numeric
@attribute X45897 numeric
@attribute X46747 numeric
@attribute X48165 numeric
@attribute X48818 numeric
@attribute X49382 numeric
@attribute X49662 numeric
@attribute X49716 numeric
@attribute X50212 numeric
@attribute X52408 numeric
@attribute X53305 numeric
@attribute X53492 numeric
@attribute X53889 numeric
@attribute X53976 numeric
@attribute X54374 numeric
@attribute panc.columns.tissue {'normal pancreatic','PDAC tumor'}

@data

7.75061,3.32706,6.2128,2.47509,3.58439,5.53429,6.15373,4.20536,4.18391,3.90306,3.36038,3.64885,4.03386,3.4007,7.36804,11.1902,7.25157,7.35698,5.862,7.94429,8.43064,7.66915,7.277,5.11215,4.04486,3.51531,7.4297,7.73221,5.88267,4.41515,7.83001,7.73854,6.85357,6.37296,6.92809,9.64589,7.25188,6.43228,8.84539,10.5072,6.25645,5.14401,12.7913,3.22951,5.01882,4.27643,4.44268,3.90744,3.65307,3.48408,3.04479,6.74487,11.7674,5.35875,7.30494,6.28713,5.3775,7.29901,6.99682,3.42883,9.75403,5.8045,4.8807,3.31637,5.41982,5.8281,7.28821,6.23989,6.73344,5.67544,6.08677,6.63147,6.28777,3.23491,4.15059,8.61158,3.25419,5.64388,3.93365,7.05302,5.37106,4.83274,3.82294,6.02491,3.35014,5.33133,5.54968,5.83076,5.0144,4.54468,2.71554,3.83421,3.58633,4.69011,7.02353,6.39324,4.79015,3.38257,4.68285,7.92701,'PDAC tumor'
7.93829,3.34156,5.92459,2.46881,3.43923,5.26256,5.94335,4.26583,4.31059,3.26047,3.26627,3.52912,3.94517,3.34707,7.37715,11.0627,7.34908,7.45109,5.57176,8.04088,8.60478,7.87719,7.32579,5.18942,4.02688,3.50253,7.64763,8.06909,5.52611,4.76662,7.83919,8.04072,7.3138,6.465,7.26869,9.58741,7.50882,6.00172,8.96478,10.6139,6.24884,4.93049,12.8786,3.14594,4.54778,4.04541,4.76496,3.71179,3.87347,3.00741,2.96106,7.04968,11.7003,5.75092,7.58172,5.59781,5.08734,7.47415,6.80324,3.31103,9.57073,5.37592,4.41233,3.05936,4.59706,6.00814,7.37815,6.14921,6.9891,5.55815,6.12376,6.58115,5.82101,3.23282,4.56486,8.78321,3.25582,5.81602,4.26154,7.13226,5.34167,5.09083,3.75404,6.27684,3.14247,5.09716,5.02958,6.05733,5.04225,4.92038,2.43145,3.53366,3.72192,4.66925,6.99623,6.30387,4.85324,3.43406,4.12613,7.72747,'PDAC tumor'
7.54173,3.29048,5.96208,2.63986,3.29514,5.9596,6.31664,4.31846,4.3291,3.39279,3.42001,3.67832,3.99898,3.17828,7.19914,11.1864,8.58182,6.60355,5.97421,7.06301,8.09884,7.78798,7.03173,5.59557,3.57961,3.62143,7.26085,9.24561,5.95797,6.60533,7.43133,6.97428,6.78075,6.0789,6.70569,9.6661,7.87787,6.17319,9.29223,10.6827,6.03952,5.33211,12.8144,2.90499,4.89592,4.13746,3.97611,3.51701,4.07094,3.56325,2.92717,7.41101,11.7011,5.81077,7.46127,5.74383,5.31214,7.61843,7.21987,3.64154,10.2375,5.49253,4.74613,2.91379,4.79764,5.60395,8.57375,6.02343,6.9282,5.69836,4.66867,6.8984,5.60365,4.8448,4.19088,8.58986,3.21648,5.79087,4.30668,7.08543,4.82709,4.93082,3.71204,5.91623,3.18601,5.09107,4.80602,6.22263,5.04978,5.6914,2.53891,3.56549,4.0366,4.5832,6.95275,6.89624,6.10225,3.56185,4.43033,7.48786,'PDAC tumor'
7.59305,3.51589,5.59218,2.52603,3.51601,5.56071,6.46145,4.24058,4.21922,3.59077,3.31741,3.69445,4.14537,3.49089,7.61546,11.4342,8.44525,6.57994,5.77866,6.9172,7.95932,7.83976,7.05698,5.40553,3.83358,3.3984,7.12274,8.89178,5.88961,6.39005,7.39189,6.98719,6.77105,6.01974,6.79214,9.64216,7.58698,6.31262,9.30458,10.4965,5.91464,5.21465,12.8954,3.02889,4.69867,4.35279,4.26718,3.21801,4.20879,3.13508,2.91649,6.98069,11.7366,5.79476,7.57076,5.74649,5.49534,7.22243,6.84637,3.77815,10.4704,5.50798,4.60126,3.14222,4.77137,5.92447,8.42278,6.09506,6.78363,5.71988,4.94165,6.92206,5.16555,4.93275,4.09296,8.49529,3.39047,6.33365,4.13869,6.78443,5.34107,5.17161,3.71979,5.70184,3.12597,5.40706,5.20179,6.10639,5.23857,5.55776,2.63159,3.71558,3.88464,4.62153,6.65843,6.78818,6.20317,3.37567,4.53045,7.35339,'PDAC tumor'
7.6366,3.35781,6.28277,2.45995,3.67334,4.96647,6.11446,4.26073,4.50834,3.89461,3.63281,3.71691,3.88528,3.49264,7.03227,11.2277,8.28136,6.38998,5.58231,7.66939,8.65843,7.85494,7.02506,5.63035,3.3361,3.41768,7.59121,9.52567,5.82275,6.97035,7.49574,7.63364,7.32637,6.52215,6.59431,9.31819,7.17769,6.23149,9.0616,10.7983,5.9414,4.8039,12.7786,2.94684,4.77146,4.27456,4.0256,3.43809,4.25407,3.45909,2.77584,6.52886,11.8586,6.0763,8.59084,5.78658,5.85891,7.52309,7.36245,3.55001,10.1929,5.40504,4.63622,3.25452,5.14192,5.73128,8.1096,6.16542,6.65194,5.98918,5.58487,7.10745,6.11582,3.31977,3.84819,8.59711,3.57821,5.89556,4.57473,7.17016,5.29251,4.98264,3.90668,6.19629,3.20704,5.09272,4.86318,5.82027,5.18137,5.35518,2.84241,3.66422,4.18589,4.77651,6.8444,7.11874,5.7678,3.54388,4.22182,7.69404,'PDAC tumor'
7.74857,3.38949,5.75093,2.68074,3.74424,4.76635,6.18071,4.40495,4.48424,3.87801,3.46703,3.91927,3.80665,3.5391,7.60846,11.2012,8.25964,6.51548,5.21694,7.52883,8.53592,7.89039,7.01028,5.7683,3.86928,3.24189,6.99673,9.2652,5.63368,6.70997,7.46997,7.61121,7.56605,6.53996,6.66783,9.51989,7.07966,6.30715,9.16274,10.752,6.17875,5.21694,12.8034,3.0952,5.10432,4.61574,3.90157,3.41469,3.9801,3.32696,2.78482,6.5889,11.8306,5.93983,8.59002,5.87434,5.25856,7.35064,7.41062,3.54417,10.2762,5.76121,4.52367,2.9896,4.92085,5.66746,8.09067,6.31798,6.61488,6.01343,5.29205,7.20397,5.43614,3.46779,4.26471,8.55435,3.52315,6.26264,4.67964,6.77749,5.34996,4.62513,3.88199,6.0674,3.08293,5.32992,5.14028,6.10283,5.25415,5.05896,2.53727,3.41469,4.21962,4.87162,6.77124,7.08758,6.10246,3.5577,4.51134,7.64151,'PDAC tumor'
7.72826,3.48412,5.83634,2.55263,3.49557,6.22757,6.34741,3.94024,4.41934,3.71426,3.46285,3.88428,3.99448,3.59821,7.45194,10.9163,8.46065,7.56841,5.89127,7.05756,7.3195,7.63512,6.99148,5.19721,3.83505,3.55826,6.1443,9.20817,6.07576,5.09502,8.0371,8.34798,6.59348,6.38463,6.90622,9.64092,7.51105,6.26053,9.14202,10.6303,6.77966,4.95412,12.9205,3.19655,5.15781,4.62771,4.12453,3.24031,4.34564,3.49358,2.91322,6.66539,11.6932,5.92161,8.06572,6.06496,5.55331,7.42953,6.61358,3.86113,9.89552,5.41903,4.64264,3.2013,4.98285,6.10259,8.80421,6.21135,6.27913,5.65991,5.50092,6.95375,5.52186,3.18731,4.34463,7.30981,3.9347,5.99929,4.2864,5.97413,5.3576,5.17453,3.94797,5.59077,3.2366,5.4182,5.15412,6.23508,4.90235,4.31141,2.66174,3.43148,3.81819,4.8743,7.1213,6.77975,5.56563,3.4064,4.63598,7.58537,'PDAC tumor'
8.19209,3.29975,5.99015,2.4668,3.63214,7.42194,6.14852,4.49565,4.55391,3.80962,3.33655,3.45183,4.03271,3.08418,8.1344,10.7571,7.41637,7.44416,6.01146,6.81588,5.52383,7.69217,7.06964,5.35831,3.63527,3.52844,6.84044,7.81497,5.56663,7.23397,7.27008,5.69998,6.83504,6.43589,6.18381,9.3756,7.12061,6.30663,9.15542,10.0845,5.91747,4.57774,12.9414,3.08137,4.86814,4.04473,3.96394,3.72356,4.17477,3.70733,3.00351,6.60877,11.8977,5.7867,6.87806,6.00478,4.98446,7.61257,7.26715,4.24429,9.45332,6.3748,4.72857,3.1301,5.07825,6.4795,8.41557,5.96048,6.03947,5.88107,6.06566,6.46767,5.8604,3.45788,5.16259,8.99674,3.4911,5.75216,4.32456,7.69888,5.28165,4.99408,3.87668,6.11692,3.10698,5.21671,5.19314,5.96543,4.71507,5.34281,2.66149,3.47289,5.16018,4.65393,7.03576,7.79106,4.57407,3.51153,4.63558,8.00063,'PDAC tumor'
8.19992,3.77219,5.88983,2.63059,4.2497,5.60002,6.8515,4.51212,4.20556,4.29292,3.61671,4.17579,4.33652,3.50605,7.58044,10.6342,7.77233,7.1941,5.23701,6.67858,6.97945,7.90415,6.94532,5.64454,3.57396,3.60826,6.77227,6.96426,6.45621,4.39712,7.00671,7.77116,6.12829,6.78842,6.36106,9.6244,6.70048,6.44788,8.78903,10.1981,5.09557,5.29673,12.7316,2.9824,5.465,4.48653,4.62391,3.68452,4.87331,3.89142,3.02632,6.29443,11.5582,5.64534,7.57339,6.36971,5.74003,7.20195,6.32804,3.66689,9.52998,6.6238,4.82883,3.2907,5.32532,5.94613,7.82158,6.5396,5.89615,6.2686,5.55946,7.21146,5.7338,3.54147,4.34396,8.72403,3.47387,5.86907,5.90343,6.37876,5.53343,5.15612,3.94147,5.46623,3.36556,5.40048,5.4819,6.27007,5.34613,4.40694,2.83081,3.8687,4.45801,4.71684,6.25899,6.68457,4.26213,3.98912,5.2958,7.71648,'PDAC tumor'
