@relation pulm-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X477 numeric
@attribute X484 numeric
@attribute X720 numeric
@attribute X790 numeric
@attribute X1308 numeric
@attribute X1312 numeric
@attribute X1745 numeric
@attribute X1790 numeric
@attribute X2316 numeric
@attribute X2333 numeric
@attribute X2552 numeric
@attribute X2703 numeric
@attribute X3107 numeric
@attribute X3120 numeric
@attribute X3839 numeric
@attribute X4175 numeric
@attribute X4217 numeric
@attribute X4875 numeric
@attribute X5199 numeric
@attribute X5275 numeric
@attribute X5467 numeric
@attribute X6163 numeric
@attribute X6465 numeric
@attribute X6974 numeric
@attribute X7950 numeric
@attribute X8553 numeric
@attribute X9016 numeric
@attribute X9519 numeric
@attribute X9531 numeric
@attribute X9822 numeric
@attribute X9997 numeric
@attribute X10088 numeric
@attribute X10115 numeric
@attribute X10230 numeric
@attribute X10336 numeric
@attribute X10828 numeric
@attribute X11088 numeric
@attribute X11467 numeric
@attribute X12150 numeric
@attribute X12192 numeric
@attribute X12332 numeric
@attribute X12359 numeric
@attribute X12898 numeric
@attribute X13052 numeric
@attribute X13673 numeric
@attribute X13710 numeric
@attribute X13892 numeric
@attribute X14006 numeric
@attribute X14150 numeric
@attribute X14560 numeric
@attribute X14599 numeric
@attribute X14700 numeric
@attribute X14811 numeric
@attribute X15210 numeric
@attribute X15471 numeric
@attribute X15958 numeric
@attribute X15992 numeric
@attribute X16833 numeric
@attribute X17083 numeric
@attribute X17689 numeric
@attribute X18492 numeric
@attribute X18758 numeric
@attribute X19123 numeric
@attribute X19444 numeric
@attribute X20371 numeric
@attribute X20625 numeric
@attribute X20791 numeric
@attribute X21726 numeric
@attribute X23024 numeric
@attribute X23081 numeric
@attribute X23423 numeric
@attribute X23459 numeric
@attribute X23700 numeric
@attribute X24031 numeric
@attribute X24332 numeric
@attribute X24365 numeric
@attribute X24711 numeric
@attribute X25073 numeric
@attribute X25601 numeric
@attribute X25941 numeric
@attribute X26076 numeric
@attribute X26104 numeric
@attribute X26371 numeric
@attribute X26637 numeric
@attribute X26916 numeric
@attribute X27452 numeric
@attribute X28461 numeric
@attribute X28585 numeric
@attribute X30617 numeric
@attribute X30976 numeric
@attribute X31092 numeric
@attribute X31264 numeric
@attribute X31338 numeric
@attribute X31511 numeric
@attribute X32036 numeric
@attribute X32089 numeric
@attribute X32187 numeric
@attribute X32567 numeric
@attribute X32587 numeric
@attribute X33120 numeric
@attribute pulm.columns.disease.state {'PF + intermediate PH','PF + no PH','PF + severe PH','PH validation set'}

@data

4.19223,7.44472,8.77856,8.42123,9.49547,4.45211,7.55954,7.96462,4.74885,5.31498,5.52201,4.65758,11.8695,6.53408,1.78213,4.94866,1.36202,8.21995,5.9099,5.21166,2.04184,5.25667,5.78022,8.87124,1.8819,5.88966,9.20119,8.80501,8.2832,7.5016,7.94931,8.25392,7.63916,6.19574,6.47354,7.42735,6.63961,10.2285,7.41886,5.01656,2.64568,7.79069,3.87356,8.34499,6.19875,7.38351,7.99049,6.55265,6.35076,9.68529,5.2714,5.58761,8.07233,5.2716,9.29722,6.52685,6.69379,7.60009,3.80482,6.85202,3.82704,5.52381,9.77216,6.02329,9.72671,2.28469,7.80557,6.80118,6.05507,4.25673,7.68785,8.55243,6.89031,3.16145,8.82244,5.35604,7.77199,3.37324,5.73861,7.01506,4.81739,5.09175,7.09941,8.32116,8.14046,7.31788,4.69452,2.69224,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.54349,7.4666,8.13166,8.38444,8.81615,4.40477,7.92226,7.97045,4.88621,5.57175,5.68452,4.85906,11.9321,6.70999,1.67982,5.18941,1.27724,8.63647,6.00188,5.32128,2.05818,5.10512,6.38474,8.84658,1.68756,6.09185,8.95217,8.78033,8.26064,7.41013,7.98602,7.82147,7.61663,6.50061,6.0542,8.25511,6.84934,10.3846,7.61401,5.21353,2.54514,7.56992,4.0838,9.10883,6.65998,7.42407,7.55925,6.63675,6.8713,9.69049,5.58247,6.1513,7.77017,4.77872,9.2077,6.17182,6.16693,7.06209,3.66388,6.95201,3.98993,6.04738,9.76105,5.94357,9.62186,2.43625,8.38322,7.07627,5.83707,4.54688,7.50978,7.98565,7.17672,2.94878,8.56771,6.30084,7.46952,3.30435,5.61646,7.21843,4.80648,5.49325,7.19689,8.34168,7.84655,7.43897,4.77858,2.93425,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.68173,7.43152,8.14227,8.36591,9.30001,4.71414,7.79392,8.1412,4.79606,5.46985,5.44462,4.79888,11.5844,6.78604,1.72146,4.9064,1.35482,8.60633,5.88539,5.51033,2.45826,5.03645,5.34923,8.7773,1.71948,5.8969,9.09135,8.68272,8.4696,7.65469,7.70169,8.21789,7.78532,6.46984,6.32153,7.30403,6.6915,10.3396,7.56841,5.04014,2.52216,7.69583,4.00601,8.73856,6.45533,7.50068,7.66888,6.36278,6.7274,9.88454,5.22876,6.08343,7.91988,4.67339,9.18045,6.35139,6.83028,6.79589,3.88583,7.14495,3.70942,6.01728,9.88196,6.02401,9.69925,2.34625,7.89459,7.00595,5.76021,4.21994,7.60006,8.3806,6.81365,3.40171,8.49597,6.20261,7.64434,3.07923,5.63576,7.12017,4.94236,5.40508,7.21876,8.35038,7.96002,7.41037,4.85458,2.72005,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.81045,7.48884,8.44806,8.17357,9.01649,4.61811,7.60541,9.01239,4.97014,5.70582,5.44959,4.50146,12.2066,6.51914,1.6604,4.96239,1.52739,8.71459,5.9872,5.32592,1.93344,5.4241,5.31416,8.46461,1.55605,6.22301,9.14742,9.14654,9.12309,7.34049,7.719,7.88712,7.81255,6.39167,5.96409,8.91334,6.96208,10.1184,7.69868,5.11933,2.4022,7.53413,3.5377,8.49681,6.31062,7.22862,7.17619,6.70028,6.86267,9.88527,5.5677,6.05779,7.53589,5.32356,8.93407,5.90749,6.34089,7.02443,4.03606,7.07951,4.07736,6.47527,9.22834,6.21342,9.66603,2.32158,7.61554,6.9456,5.60967,4.61184,7.24749,8.08839,6.89307,3.41734,8.35661,6.436,7.30463,2.94462,5.80949,7.3942,4.91886,5.49597,7.41436,8.46854,7.78211,7.50561,4.92178,2.40521,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.38559,7.46779,8.72102,8.39859,9.1784,4.4277,7.33496,8.6069,4.30313,5.37119,5.37984,5.02056,12.2574,7.09774,1.94553,5.72394,1.43149,8.0829,5.64839,5.46482,2.01114,5.05694,6.64879,8.4187,1.92785,5.67403,9.1761,9.05942,8.47416,7.84371,7.88755,8.87506,7.88453,6.13164,6.70695,7.11914,6.51597,10.2529,7.48101,4.99384,2.6096,7.94607,3.20187,8.94869,6.67085,7.69147,7.89479,6.55243,6.30768,9.95711,4.98256,5.55277,7.93839,4.88143,9.36778,6.58703,7.04282,6.93232,3.5566,7.47625,3.93522,5.87444,9.76347,5.49863,9.56828,2.08411,7.56677,7.26196,6.04457,3.83544,7.24665,8.53673,6.79368,3.18197,8.81136,5.80665,7.54956,3.6117,4.79151,6.99401,4.60367,5.39138,7.12611,8.62114,8.10345,7.75798,4.63165,2.55949,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.47065,7.41513,8.6222,8.46614,9.51395,4.40325,7.43299,7.73494,4.52291,5.43366,5.40626,4.90555,11.6994,6.40674,1.7687,4.98255,1.55908,8.30393,5.76487,5.53132,2.058,4.89658,6.10892,8.69264,2.05594,5.81275,9.22048,8.66053,8.78135,7.32883,7.88942,8.26839,7.67579,5.84978,6.30818,7.67407,6.65659,10.2298,7.49157,5.22438,2.94191,7.8046,3.99135,8.73256,6.56753,7.62339,7.63548,6.39912,6.53377,9.83862,5.55545,5.80709,7.80078,5.00531,9.03566,6.41164,6.65464,6.64028,3.71984,7.25028,4.08105,5.89707,9.84144,6.21022,9.69105,2.30224,8.07396,7.14659,6.0712,4.1716,7.51668,8.62626,6.6783,3.10947,8.68538,6.2127,7.39367,3.38646,5.51551,7.16734,5.04832,5.46766,7.25072,8.72876,7.89304,7.60277,4.68324,3.01762,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.65752,7.59507,8.39918,8.42329,9.3265,4.41756,7.93762,7.50677,4.40659,4.88101,5.31628,4.51711,11.6764,6.2957,1.7383,5.47145,1.58966,8.11386,5.54911,4.94186,1.88983,5.21175,5.88886,8.85729,1.70552,6.64567,9.31163,8.7903,8.48705,7.70152,7.95394,8.15845,7.90141,6.37493,6.4006,8.52901,6.84879,10.2567,7.42641,5.08974,2.55499,7.79833,4.33961,8.60993,6.39664,7.79569,7.93027,6.56504,6.2799,9.85933,5.01926,5.79834,7.74903,4.84821,9.17471,6.18343,6.55252,6.77871,3.54495,7.15277,4.19227,5.80728,9.94001,6.49334,9.70365,2.38452,8.17391,6.99257,6.12701,4.62366,7.70923,8.48626,6.37888,3.09232,8.43747,6.09583,7.41256,2.92253,6.30793,7.15638,4.66703,5.30634,7.12278,8.35592,8.07334,7.31028,4.40323,3.053,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.60082,7.71601,8.69034,8.60115,9.35971,4.53207,7.60541,7.65376,5.17048,5.46805,5.52785,4.78819,11.8279,6.52456,1.7687,5.05526,1.61955,8.50351,5.87079,5.39021,2.23537,5.47146,6.6663,8.40831,1.69058,6.26909,9.32452,9.10007,9.04522,7.55379,7.7653,8.2976,7.67233,6.35717,6.20151,8.67417,6.81045,10.2277,7.82396,5.25491,2.77065,7.8046,3.38742,8.69829,6.55906,7.475,7.62765,6.31789,6.776,10.152,5.10731,5.85248,7.78148,5.241,9.16669,6.32563,6.74397,7.34564,3.6416,7.27412,3.7184,5.91163,9.59871,5.71053,9.64034,2.15537,8.16492,7.0494,5.91607,4.48708,7.48821,8.61574,6.82918,3.50833,8.45756,6.25876,7.5812,3.68881,5.45379,7.4145,4.61363,5.03623,7.25621,8.16906,8.07854,7.58045,4.80277,2.59533,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
4.75101,7.84361,8.52449,8.18556,9.36468,4.42466,7.73463,7.79492,4.99135,5.57793,5.60862,4.72439,12.2109,6.5814,1.62998,4.59261,1.69806,8.48695,6.02946,5.51698,2.13236,5.01828,5.36109,8.77257,1.76528,6.06353,8.5702,9.28559,8.08111,7.47431,7.80192,8.11539,7.29901,6.44515,6.14164,8.73563,6.91073,10.1354,7.46294,5.51528,2.70476,7.83461,3.62033,8.81276,6.39502,7.14926,7.69569,6.47479,6.83917,9.55703,5.81031,6.09416,7.53607,5.44601,9.31479,5.99178,6.58918,7.0242,4.11053,6.97554,4.1076,6.08603,9.56717,6.40848,9.8198,2.94517,8.08429,7.21052,5.68123,5.27408,7.60572,8.05825,6.6948,3.52044,8.44899,6.17108,7.34821,3.43465,6.04889,7.14761,4.93499,5.37384,7.28454,7.99858,8.10604,7.70695,4.75987,2.69224,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
