@relation pulm2-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X197 numeric
@attribute X269 numeric
@attribute X280 numeric
@attribute X309 numeric
@attribute X352 numeric
@attribute X1015 numeric
@attribute X1078 numeric
@attribute X1097 numeric
@attribute X1579 numeric
@attribute X1784 numeric
@attribute X1850 numeric
@attribute X2093 numeric
@attribute X2168 numeric
@attribute X2239 numeric
@attribute X2812 numeric
@attribute X3346 numeric
@attribute X3770 numeric
@attribute X3787 numeric
@attribute X3881 numeric
@attribute X4179 numeric
@attribute X4183 numeric
@attribute X4305 numeric
@attribute X4443 numeric
@attribute X4718 numeric
@attribute X5064 numeric
@attribute X5149 numeric
@attribute X5468 numeric
@attribute X5576 numeric
@attribute X5778 numeric
@attribute X6063 numeric
@attribute X6271 numeric
@attribute X6363 numeric
@attribute X6633 numeric
@attribute X8090 numeric
@attribute X8275 numeric
@attribute X8578 numeric
@attribute X8631 numeric
@attribute X8880 numeric
@attribute X9370 numeric
@attribute X9428 numeric
@attribute X9485 numeric
@attribute X9621 numeric
@attribute X9665 numeric
@attribute X9766 numeric
@attribute X9921 numeric
@attribute X10079 numeric
@attribute X10586 numeric
@attribute X10762 numeric
@attribute X11152 numeric
@attribute X11577 numeric
@attribute X11855 numeric
@attribute X11982 numeric
@attribute X12513 numeric
@attribute X12730 numeric
@attribute X12968 numeric
@attribute X14170 numeric
@attribute X14315 numeric
@attribute X14400 numeric
@attribute X14927 numeric
@attribute X15159 numeric
@attribute X15253 numeric
@attribute X15477 numeric
@attribute X15665 numeric
@attribute X15871 numeric
@attribute X16045 numeric
@attribute X16454 numeric
@attribute X17013 numeric
@attribute X17109 numeric
@attribute X17203 numeric
@attribute X17227 numeric
@attribute X17273 numeric
@attribute X17494 numeric
@attribute X17803 numeric
@attribute X18511 numeric
@attribute X18590 numeric
@attribute X18766 numeric
@attribute X19171 numeric
@attribute X19952 numeric
@attribute X20087 numeric
@attribute X20414 numeric
@attribute X20563 numeric
@attribute X20892 numeric
@attribute X21509 numeric
@attribute X21817 numeric
@attribute X23186 numeric
@attribute X23278 numeric
@attribute X23761 numeric
@attribute X23888 numeric
@attribute X23889 numeric
@attribute X23932 numeric
@attribute X23937 numeric
@attribute X24509 numeric
@attribute X24789 numeric
@attribute X25530 numeric
@attribute X26942 numeric
@attribute X27520 numeric
@attribute X28040 numeric
@attribute X28112 numeric
@attribute X28157 numeric
@attribute X28793 numeric
@attribute pulm.columns.disease.state {'PF + intermediate PH','PF + no PH','PF + severe PH'}

@data

6.14223,6.29644,7.48369,9.9613,7.12254,6.78454,7.70977,7.51814,4.33244,7.85046,8.11744,5.00615,4.22032,12.362,7.11224,8.26064,11.0688,1.66632,7.41808,6.65514,1.73021,4.69757,6.5925,5.86285,8.5885,2.5567,4.25536,6.31205,6.48584,7.17843,8.1454,8.3226,5.51831,9.42098,9.24096,9.35028,3.80627,4.44789,9.18146,4.82814,6.6752,6.13199,4.34268,7.2234,8.40622,7.06866,8.81939,5.88911,8.37934,5.57852,7.14366,6.89089,3.295,7.9235,7.46664,7.23321,3.97948,7.50763,7.73895,6.81636,7.35941,8.94064,6.95736,2.27767,2.20898,5.58185,5.44411,9.56917,6.86776,1.80555,7.4812,5.45497,4.88105,9.24994,8.55992,9.48352,3.67163,2.6263,4.77681,9.30725,6.46224,4.09132,8.69038,8.13497,8.96228,6.31076,7.15934,2.19784,2.5698,6.30894,4.65656,6.73524,6.67323,5.49006,3.24005,2.98317,5.72883,5.6517,4.6402,7.6767,'PF + severe PH'
6.57233,5.45144,7.62521,9.91329,7.42258,6.58653,7.4815,7.53102,4.19862,7.70581,7.87425,4.42229,4.13007,12.2345,6.9998,7.82629,11.032,1.80297,7.36637,4.84587,1.83395,4.89564,6.80809,5.95912,8.38841,3.08598,4.184,6.28228,5.25343,7.13289,8.15196,8.34077,5.4993,9.81845,8.85064,9.57713,3.57537,4.74843,8.92421,5.05061,6.8233,6.62887,4.43649,6.91146,8.44223,7.11795,8.75779,6.13503,7.81666,5.75441,6.94082,6.54736,3.58038,7.92143,7.85716,6.96791,4.01382,7.57666,7.44812,6.65884,7.77748,8.77858,6.73154,2.20067,1.86339,5.70228,5.96548,9.51052,6.51503,1.83674,7.37575,5.91197,4.67822,9.13729,8.45015,9.17412,3.63775,2.48801,4.88396,8.56805,6.38547,4.22651,8.73698,8.05587,8.54794,6.56667,6.9008,2.33813,2.43467,6.06078,4.92115,6.81499,6.73631,6.03281,2.19729,2.47241,5.97097,5.38935,4.49323,7.65578,'PF + severe PH'
6.26445,5.13342,7.53296,9.90038,7.52249,6.90351,7.6943,7.40701,4.38105,7.73956,8.24821,4.85458,4.20781,12.4372,7.07855,7.94241,11.0617,1.85693,7.2226,6.03496,1.98599,4.9243,6.64983,6.11359,8.28474,2.78502,3.96146,6.57758,5.20522,7.22682,8.17341,8.38229,5.51459,9.77721,9.0773,9.33295,4.00065,4.54838,9.10884,5.20332,6.83383,6.0178,4.46605,6.98348,8.38894,6.98397,9.00351,6.0911,8.20032,5.66904,7.15046,6.74278,3.32109,7.90521,7.69627,7.01475,4.22467,7.74213,7.40124,6.28691,7.76511,8.98745,6.76702,3.07464,1.89531,5.32951,5.94122,9.39996,6.68549,2.05067,7.27886,5.8,4.6685,9.29701,8.36819,9.46705,3.28408,2.58503,5.01761,8.55142,6.17821,4.50975,8.81786,8.08574,8.93999,6.56574,7.04491,1.97912,2.77294,6.15003,4.47906,6.7225,6.69511,6.01087,3.00906,2.30584,5.96628,5.71851,4.41179,7.65106,'PF + severe PH'
6.52949,5.08499,7.78533,10.0546,7.44844,6.70239,7.0993,7.22807,4.44919,7.91677,7.54183,4.85735,4.0316,12.3232,6.91223,8.14204,10.9442,1.76656,7.92292,5.83104,1.80041,4.90468,7.04093,6.08717,8.72472,2.61543,4.49185,6.29667,5.89703,7.16352,8.18261,8.5943,5.34307,9.75317,8.46451,9.05409,3.47857,4.66678,8.59169,5.33477,6.79965,7.04062,4.95425,6.81811,8.30907,7.44181,8.8519,6.2084,8.13393,6.14332,6.89069,6.4372,3.88103,8.0398,7.92605,6.84464,4.37803,7.74399,7.09502,5.92441,7.74135,8.7352,6.83448,2.37692,2.54448,5.54833,6.13666,9.18783,6.55205,2.13147,7.52962,6.03212,4.86448,9.17635,8.28211,9.18502,3.44346,2.75265,5.04174,8.47316,6.2963,4.33669,8.50312,8.2231,8.95295,6.43146,6.45527,2.12572,2.68438,6.42653,5.08724,6.95626,6.55393,6.12396,2.5704,2.5644,5.95228,5.14893,4.36145,7.89016,'PF + severe PH'
6.30979,6.89114,7.27348,9.88015,7.14958,6.62847,7.59455,7.51814,4.04972,8.14472,8.15263,5.53691,3.77954,12.4083,7.20593,8.21994,11.0096,1.63019,6.30932,6.01695,1.72307,4.64006,6.74981,5.65308,7.99536,2.65717,4.04517,6.6682,5.96483,7.08519,7.94048,8.46983,6.33803,9.5933,8.89277,9.41365,3.48778,4.28875,8.92455,5.10215,6.60879,5.82883,4.25607,6.60199,8.43297,7.12059,8.82845,5.71624,7.44491,5.90945,7.07323,6.93325,3.25427,8.32148,7.62391,7.33571,4.01967,7.56391,7.56937,6.22863,7.18989,8.85711,7.06493,2.44216,2.72289,5.48727,5.17588,8.96536,6.24216,2.0559,7.51289,5.75576,4.505,9.08431,8.87005,9.53206,3.16829,2.82556,4.76024,9.62048,7.03015,4.24469,8.57389,8.29069,8.32831,6.22076,7.2275,2.33643,2.34708,6.62053,4.98553,6.76906,7.19718,5.82703,2.02411,2.753,5.41119,6.2019,4.46769,7.9843,'PF + severe PH'
6.26194,6.44202,7.69944,9.98088,7.26622,6.54025,7.54452,7.43389,4.32959,7.84377,7.99551,5.03387,4.20781,12.4561,7.10916,8.14804,11.0096,1.70522,7.36255,6.20569,1.91912,4.59875,6.55078,5.71102,8.32291,2.34241,4.09989,6.47431,5.43999,7.19196,8.09882,8.43075,5.39335,9.6573,8.73028,9.53586,3.31632,4.5206,9.09236,5.0035,6.80167,6.37383,4.44445,7.0742,8.41766,7.5503,8.93494,5.83953,8.11425,5.73913,6.93235,6.884,3.29544,7.9633,7.62249,7.04281,3.86128,7.58301,7.67484,6.35424,7.40624,8.85059,6.91019,2.21843,2.26681,5.49886,5.67453,9.57355,6.65097,2.1416,7.37291,5.98595,4.53477,9.13707,8.39909,9.41883,3.4739,2.5333,4.68581,8.85242,6.06232,4.30297,8.61451,8.17897,9.01528,6.31649,6.55371,2.53216,2.39522,6.20528,4.83059,6.79238,6.7465,5.66871,1.8605,2.43112,5.66134,6.05561,4.37186,7.72526,'PF + severe PH'
6.09214,5.73667,7.78554,10.1101,7.14675,6.62572,7.46859,7.50639,4.36288,7.78618,8.36909,5.00615,4.15727,12.5613,6.85549,8.02213,11.1822,1.70696,8.0316,5.56388,1.79493,4.48703,6.76686,5.72761,8.96818,2.22636,5.00573,6.48745,4.52479,7.02454,8.24762,8.40148,5.07454,9.97878,8.78193,9.11368,3.82112,4.1635,9.1395,4.83917,6.95893,5.95527,4.18906,6.62839,8.52171,7.58333,8.83117,5.77113,8.24203,5.5605,7.09511,6.80723,2.88242,8.24864,7.83203,7.0489,4.19645,7.96352,7.29298,6.00092,7.2028,9.04239,7.02502,3.11578,1.96444,5.49953,5.58897,9.17427,6.57664,1.65424,7.12168,5.88847,4.63062,9.39957,8.18752,9.44967,3.42992,2.74466,4.36088,8.50272,5.90952,4.02891,9.03131,7.98276,8.78718,6.78181,7.91869,2.33643,2.12326,6.30739,4.69102,6.56582,7.12698,5.71432,2.49407,2.65002,5.41511,5.88973,4.61647,7.81175,'PF + severe PH'
6.39778,5.88713,7.97072,10.1514,7.34467,6.66309,7.50266,7.35941,4.35549,7.72028,8.04965,4.76862,4.12861,12.5428,7.24679,7.83144,11.2296,1.73082,8.23773,6.4956,1.9506,4.91763,6.89073,5.81706,8.86263,2.74615,4.57001,6.59665,6.0449,7.1342,8.0546,8.32042,5.47967,9.8089,8.78706,9.38158,3.01434,4.62165,9.05612,5.14873,6.78224,6.1895,4.83974,6.21116,8.5735,7.07288,9.04216,6.19079,8.25526,6.14964,6.89909,6.74089,3.14275,7.88715,7.85146,7.25708,4.14204,7.80032,7.41937,6.40823,7.72313,8.96184,7.21788,2.15886,2.00389,5.449,5.57185,9.08888,6.37718,1.9061,7.62051,6.22557,4.40697,9.25508,8.42728,9.46705,3.47476,2.86809,5.12986,8.81105,6.58042,4.58452,8.78973,8.19926,8.6784,6.33115,6.44997,2.04142,2.43095,6.32408,4.91113,6.76449,6.70788,5.95859,2.43356,2.70573,5.65058,5.85582,4.03627,7.76311,'PF + severe PH'
6.49211,5.295,7.66016,9.78896,7.20329,6.82759,7.30041,7.28494,4.54994,8.00903,7.99038,5.07887,4.20781,12.2829,6.64487,7.84896,11.1486,2.12028,8.58469,6.25844,1.84269,5.09734,6.99334,6.00753,8.93817,2.90802,4.61598,6.02054,5.88768,7.31527,8.23514,8.4809,5.56955,9.38301,9.09735,9.00744,2.55568,4.87306,8.92611,5.10923,6.764,6.2483,4.70894,6.22344,8.50535,7.3139,8.74204,6.05928,8.1492,6.02707,7.22725,6.7502,3.69976,7.67368,7.88754,7.10095,4.40385,7.54093,7.15474,6.78218,7.44558,8.55481,6.96033,2.34722,2.12004,5.43577,5.73837,10.3745,6.78078,1.90259,7.46362,5.93992,5.02524,9.19349,8.73667,9.46705,3.24703,2.52318,4.86886,8.9086,6.53749,4.63833,8.92741,8.18895,8.31831,6.49943,6.91482,2.16228,2.66442,5.94851,4.71005,6.67467,6.45753,5.94249,2.51977,2.67309,5.93492,5.22637,4.2395,7.75153,'PF + severe PH'
