@relation X02_SRBCT-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X.16 numeric
@attribute X.39 numeric
@attribute X.50 numeric
@attribute X.67 numeric
@attribute X.70 numeric
@attribute X.86 numeric
@attribute X.108 numeric
@attribute X.118 numeric
@attribute X.121 numeric
@attribute X.167 numeric
@attribute X.171 numeric
@attribute X.183 numeric
@attribute X.224 numeric
@attribute X.253 numeric
@attribute X.300 numeric
@attribute X.324 numeric
@attribute X.384 numeric
@attribute X.412 numeric
@attribute X.419 numeric
@attribute X.461 numeric
@attribute X.495 numeric
@attribute X.526 numeric
@attribute X.530 numeric
@attribute X.547 numeric
@attribute X.550 numeric
@attribute X.570 numeric
@attribute X.587 numeric
@attribute X.592 numeric
@attribute X.616 numeric
@attribute X.636 numeric
@attribute X.671 numeric
@attribute X.689 numeric
@attribute X.719 numeric
@attribute X.796 numeric
@attribute X.851 numeric
@attribute X.885 numeric
@attribute X.888 numeric
@attribute X.944 numeric
@attribute X.956 numeric
@attribute X.976 numeric
@attribute X.979 numeric
@attribute X.992 numeric
@attribute X.1021 numeric
@attribute X.1025 numeric
@attribute X.1037 numeric
@attribute X.1041 numeric
@attribute X.1058 numeric
@attribute X.1069 numeric
@attribute X.1070 numeric
@attribute X.1079 numeric
@attribute X.1092 numeric
@attribute X.1138 numeric
@attribute X.1146 numeric
@attribute X.1190 numeric
@attribute X.1231 numeric
@attribute X.1275 numeric
@attribute X.1293 numeric
@attribute X.1315 numeric
@attribute X.1337 numeric
@attribute X.1342 numeric
@attribute X.1348 numeric
@attribute X.1367 numeric
@attribute X.1394 numeric
@attribute X.1399 numeric
@attribute X.1413 numeric
@attribute X.1422 numeric
@attribute X.1450 numeric
@attribute X.1542 numeric
@attribute X.1552 numeric
@attribute X.1598 numeric
@attribute X.1605 numeric
@attribute X.1609 numeric
@attribute X.1655 numeric
@attribute X.1692 numeric
@attribute X.1720 numeric
@attribute X.1722 numeric
@attribute X.1742 numeric
@attribute X.1776 numeric
@attribute X.1805 numeric
@attribute X.1829 numeric
@attribute X.1831 numeric
@attribute X.1841 numeric
@attribute X.1849 numeric
@attribute X.1852 numeric
@attribute X.1904 numeric
@attribute X.1907 numeric
@attribute X.1932 numeric
@attribute X.1987 numeric
@attribute X.2006 numeric
@attribute X.2054 numeric
@attribute X.2057 numeric
@attribute X.2080 numeric
@attribute X.2104 numeric
@attribute X.2115 numeric
@attribute X.2126 numeric
@attribute X.2127 numeric
@attribute X.2170 numeric
@attribute X.2171 numeric
@attribute X.2178 numeric
@attribute X.2262 numeric
@attribute class {BL,EWS,NB,RMS}

@data

1.4482,0.2684,3.5717,0.7344,0.4576,1.0004,0.2273,0.3205,1.0947,0.2693,0.2665,0.1764,0.335,3.145,1.1667,0.3113,0.2789,0.161,1.4315,3.1703,0.4324,0.921,0.1829,0.3193,2.0949,2.0496,3.4023,2.8278,3.6037,0.4284,3.1622,0.085,1.6299,0.6039,1.0258,3.9454,2.4149,2.4382,1.0886,1.7975,0.3503,0.9562,0.5827,1.1573,1.0384,1.3146,0.9177,0.8009,2.833,1.5303,3.4986,1.3548,0.2015,0.2115,0.5316,0.5963,0.1612,0.7036,0.2417,0.3446,1.8045,0.9737,1.7095,0.449,0.3694,0.3981,0.7978,2.7532,0.1589,0.3145,0.2537,0.2961,0.672,0.3305,0.4685,0.142,0.3656,0.1281,0.173,0.1197,0.4902,0.1613,0.3566,0.1582,0.6512,0.976,0.2799,0.2632,1.9661,1.0567,0.6314,0.243,0.1225,0.7661,0.7339,0.2787,1.9277,0.5455,0.4046,3.1181,EWS
0.485,1.3195,3.7014,0.6798,0.5398,1.2508,0.2376,0.2169,1.1633,0.309,0.2401,0.1013,0.3928,2.066,1.1954,0.4783,0.1807,0.1865,1.1304,4.1074,0.5067,0.5796,0.1265,0.3635,1.325,1.7028,1.6762,1.7705,2.0452,0.476,0.9711,0.0777,1.1786,0.4689,0.9636,1.8026,2.9096,1.5356,1.1919,1.6593,0.4502,1.1421,0.369,0.7283,1.0628,2.281,0.4058,1.9195,1.8562,1.0871,1.8526,2.7346,0.8643,0.3606,0.5376,0.8346,0.3233,0.5177,0.3455,0.497,3.2581,0.6308,1.6596,0.6126,1.1844,0.528,0.9342,3.6519,1.8757,0.4364,1.0198,0.4894,0.4938,0.2603,0.7368,0.1761,0.4107,0.1025,0.1623,0.0933,0.6444,0.1534,0.3368,0.392,0.3509,1.0414,0.129,0.6174,0.6003,1.0489,0.5101,0.4263,0.4005,0.931,0.988,0.2594,1.6039,0.6769,1.2873,1.7622,EWS
1.1331,0.3134,2.6743,1.4264,0.3552,2.2831,0.3156,2.985,1.7062,0.3363,0.2556,0.2257,0.2064,3.3943,0.7691,0.2343,0.2641,0.1989,1.549,1.7752,0.3134,0.5006,0.3741,0.3372,3.3806,0.6353,2.3302,3.1012,2.9828,0.3145,3.6953,0.128,1.2623,0.2952,1.3675,3.7459,2.4752,1.2153,0.755,1.8949,0.4114,1.1067,0.4731,1.1618,1.1415,1.3499,0.6742,1.7567,2.2855,1.6353,3.9444,2.6165,0.3254,0.3213,0.7285,0.4631,0.3058,0.8282,0.3881,0.449,2.8165,1.1322,2.7698,0.5432,0.2095,0.6686,1.539,2.0227,1.1891,0.5696,1.074,0.4302,0.3645,0.4436,1.439,0.2207,0.4524,0.1323,0.2272,0.169,0.7041,0.1777,0.1956,0.4712,0.7168,0.9182,0.2442,0.5923,1.2142,0.8381,0.6955,0.3219,0.3576,0.4982,0.3495,0.1997,1.7178,0.6978,1.3759,2.5882,EWS
0.8405,0.1715,0.7093,4.3382,1.4058,4.0525,0.6472,0.7629,0.3869,0.276,0.2999,0.1856,0.2148,0.931,1.4009,0.2074,0.1234,0.1848,1.6507,2.5317,0.2667,2.1534,0.2172,0.2773,3.8825,1.0931,1.1348,0.4846,2.0447,0.3664,2.8902,0.2036,3.555,0.7493,0.7213,6.7349,0.495,2.5456,0.3753,0.6366,0.6103,0.4062,1.3338,1.635,1.4777,2.619,0.5396,1.1329,0.2494,2.0032,1.117,1.9048,0.5785,1.8798,0.7688,1.1386,0.3558,0.5516,1.4595,0.2593,4.4423,1.1484,1.6594,0.4283,0.2916,0.2645,1.0009,2.9436,0.329,0.6145,0.754,0.3671,0.6477,0.2578,0.3132,0.316,0.355,0.1914,0.5032,0.3227,0.3684,0.1941,0.6951,0.6091,0.6212,0.724,0.3276,0.4124,4.0243,3.0752,0.3945,0.2219,0.3746,0.4533,0.3034,0.2175,1.9257,1.0265,0.3551,2.8786,EWS
0.8846,0.3414,1.3702,0.5245,0.8994,0.7614,0.3694,1.4461,0.8353,0.4509,0.4637,0.1717,0.3062,2.346,1.0816,0.3677,0.4896,0.1607,3.1682,2.2766,0.572,0.5738,0.4953,0.4177,2.8759,0.5497,1.8292,2.2626,1.418,0.2951,1.4708,0.9016,2.7157,0.6264,0.8761,3.8584,1.9168,2.9599,0.6958,1.8552,0.7728,0.8094,0.1682,1.2031,0.622,1.2676,0.5418,3.7951,1.9483,1.315,3.5512,0.9007,0.2125,0.3838,0.4964,0.7685,0.253,0.7547,0.1391,0.2858,4.1831,0.3011,1.7309,0.3474,0.169,0.5383,0.718,3.8724,1.9921,0.7487,0.7351,0.3375,1.5138,0.6652,0.4858,0.1628,0.3368,0.0601,0.4071,0.1255,0.5751,0.4967,0.4207,0.4423,1.0865,0.5529,0.2639,0.1735,3.3659,1.1154,0.3322,0.1563,0.1021,0.335,0.3344,0.2677,0.4356,0.331,0.6285,2.0426,EWS
0.6145,0.2136,1.6758,0.4798,0.4053,0.6384,0.3981,1.8833,0.8642,0.3918,0.3207,0.0911,0.3299,3.3328,0.9112,0.3477,0.4497,0.1281,1.5711,2.33,0.6186,0.7319,0.9973,0.521,4.2688,0.4972,2.2672,2.3532,3.0908,0.5309,2.0261,0.699,1.6038,0.7795,1.3061,2.6523,3.0529,1.9621,0.6545,1.1371,0.371,0.5199,0.5007,0.7539,1.0104,0.7164,0.6534,3.5792,2.818,1.7026,4.7016,1.2188,0.1859,0.2308,0.8843,0.3013,0.204,0.8876,0.1229,0.4642,1.6317,0.6251,1.6585,0.6144,0.2978,0.2535,1.7479,3.2121,0.3333,0.6575,0.475,0.2899,0.5368,0.6153,0.5686,0.2061,0.2837,0.1743,0.4528,0.2884,0.7586,0.2971,0.4725,0.2725,0.7628,0.8896,0.2607,0.2969,1.9067,1.0625,0.4279,0.4398,0.1209,0.4449,0.9271,0.2118,1.8002,0.2833,0.6646,3.7785,EWS
1.3077,0.7606,1.4614,1.1477,0.3276,0.3003,0.4363,1.8153,0.8713,0.4729,0.3246,0.2635,0.7974,2.5216,0.6536,0.4582,0.6092,0.4711,1.4499,2.1363,0.6509,0.503,0.4856,1.0464,4.2994,1.0428,2.3149,3.1344,2.0279,0.6812,2.347,0.3833,1.0079,0.7236,1.0254,2.2358,1.3817,1.3554,1.1511,1.0686,0.3858,1.5415,0.3213,0.3203,0.9859,1.3939,0.7431,7.322,1.6072,0.8363,3.3359,0.5559,0.3379,0.2975,0.5577,0.6346,0.3277,0.7384,0.4103,0.4737,2.9923,0.8724,0.8426,0.4755,0.5647,0.6611,1.5588,1.6618,0.6233,0.4188,0.6784,0.394,0.5863,0.5404,1.1802,0.2399,0.8236,0.4563,0.6712,0.4708,0.9281,0.4216,0.525,0.5429,0.5948,0.6916,0.3951,0.4504,0.6182,0.8847,0.4606,0.5091,0.3087,0.2836,0.3044,0.3409,1.4604,0.4067,0.8607,1.8131,EWS
1.0709,0.3806,2.7672,1.3182,0.2726,0.2886,0.3125,1.8714,0.8098,0.4592,0.1909,0.2045,0.256,3.8137,0.7446,0.3281,0.3782,0.1738,1.2046,2.0626,0.3221,0.3599,0.4278,0.2415,4.601,0.7557,2.3862,1.4507,1.6881,0.5472,7.202,0.406,1.375,0.5698,1.0136,3.0207,3.4307,1.9351,0.9968,1.0844,0.5055,1.0503,0.3671,0.7272,0.6581,1.669,0.3876,0.9334,1.7818,1.0708,3.915,0.5577,0.1881,0.2056,0.5447,0.555,0.2416,0.4829,0.214,0.3992,3.2509,0.824,1.0296,0.5765,0.3095,0.9161,1.6318,1.9677,0.4226,0.5993,1.176,0.3856,0.4854,0.474,0.6925,0.2003,0.4315,0.404,0.4694,0.4352,0.4879,0.2477,0.4581,0.3526,0.4964,0.7293,0.2008,0.4499,0.8963,1.2658,0.5381,0.358,0.3691,0.4885,0.4781,0.1615,0.9724,0.3871,0.4726,2.803,EWS
0.9324,0.284,4.3112,0.4136,0.27,0.3059,0.434,2.2131,0.8568,0.2951,0.191,0.1499,0.2233,3.6815,0.793,0.2141,0.2064,0.1763,1.34,2.642,0.3486,0.2854,0.1179,0.2809,6.3743,0.6688,2.543,1.6677,1.514,0.3868,0.8278,0.2941,3.186,0.6884,0.6925,3.9829,2.5782,2.7201,1.3623,1.5866,0.3795,1.0589,0.5236,0.9299,0.6295,2.7354,0.3689,0.7644,2.0497,0.804,4.3276,0.2995,0.1368,0.1089,0.7778,0.3442,0.2451,0.6145,0.1589,0.2721,4.162,0.5293,0.7821,0.5225,0.3009,0.2613,1.8028,3.2274,0.1669,0.4852,1.0694,0.3417,0.3186,0.7355,0.3127,0.1408,0.2603,0.1952,0.2911,0.1465,1.3456,0.2048,0.3019,0.1229,0.5193,0.7912,0.1179,0.3193,1.1417,1.0537,0.3708,0.3728,0.1629,0.3384,0.4705,0.1528,0.5719,0.3154,0.3953,3.808,EWS
