@relation X04_DLBCL-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X.68 numeric
@attribute X.184 numeric
@attribute X.266 numeric
@attribute X.335 numeric
@attribute X.347 numeric
@attribute X.375 numeric
@attribute X.424 numeric
@attribute X.468 numeric
@attribute X.541 numeric
@attribute X.708 numeric
@attribute X.763 numeric
@attribute X.924 numeric
@attribute X.1150 numeric
@attribute X.1271 numeric
@attribute X.1335 numeric
@attribute X.1421 numeric
@attribute X.1426 numeric
@attribute X.1448 numeric
@attribute X.1461 numeric
@attribute X.1490 numeric
@attribute X.1494 numeric
@attribute X.1529 numeric
@attribute X.1570 numeric
@attribute X.1583 numeric
@attribute X.1704 numeric
@attribute X.1768 numeric
@attribute X.2144 numeric
@attribute X.2173 numeric
@attribute X.2253 numeric
@attribute X.2273 numeric
@attribute X.2294 numeric
@attribute X.2413 numeric
@attribute X.2451 numeric
@attribute X.2521 numeric
@attribute X.2569 numeric
@attribute X.2628 numeric
@attribute X.2665 numeric
@attribute X.2671 numeric
@attribute X.2676 numeric
@attribute X.2800 numeric
@attribute X.2820 numeric
@attribute X.2837 numeric
@attribute X.2843 numeric
@attribute X.3038 numeric
@attribute X.3075 numeric
@attribute X.3110 numeric
@attribute X.3157 numeric
@attribute X.3206 numeric
@attribute X.3329 numeric
@attribute X.3393 numeric
@attribute X.3550 numeric
@attribute X.3553 numeric
@attribute X.3574 numeric
@attribute X.3583 numeric
@attribute X.3600 numeric
@attribute X.3639 numeric
@attribute X.3649 numeric
@attribute X.3706 numeric
@attribute X.3745 numeric
@attribute X.3796 numeric
@attribute X.3897 numeric
@attribute X.4033 numeric
@attribute X.4201 numeric
@attribute X.4382 numeric
@attribute X.4466 numeric
@attribute X.4513 numeric
@attribute X.4538 numeric
@attribute X.4614 numeric
@attribute X.4750 numeric
@attribute X.4762 numeric
@attribute X.4950 numeric
@attribute X.5115 numeric
@attribute X.5184 numeric
@attribute X.5207 numeric
@attribute X.5217 numeric
@attribute X.5234 numeric
@attribute X.5237 numeric
@attribute X.5254 numeric
@attribute X.5265 numeric
@attribute X.5325 numeric
@attribute X.5337 numeric
@attribute X.5468 numeric
@attribute X.5532 numeric
@attribute X.5594 numeric
@attribute X.5618 numeric
@attribute X.5688 numeric
@attribute X.5693 numeric
@attribute X.5834 numeric
@attribute X.5845 numeric
@attribute X.5864 numeric
@attribute X.5887 numeric
@attribute X.5993 numeric
@attribute X.6068 numeric
@attribute X.6111 numeric
@attribute X.6122 numeric
@attribute X.6205 numeric
@attribute X.6301 numeric
@attribute X.6632 numeric
@attribute X.6663 numeric
@attribute X.6747 numeric
@attribute class {DLBCL,FL}

@data

-55,-46,161,-28,857,230,168,316,-127,431,-910,-281,-289,365,700,128,-42,479,-9,17947,-123,-83,845,270,245,193,145,152,457,-5,714,20,215,191,-147,245,-63,541,87,-27,166,-525,361,35,179,215,135,1395,362,386,-36,39,464,852,743,1139,309,216,541,-128,30,28,1628,168,306,250,1198,780,45,253,182,-37,479,26,-78,49,192,976,-269,1266,223,-46,92,157,-139,408,86,280,601,2342,382,11,536,278,73,987,444,1727,126,241,DLBCL
3,-4,945,73,3659,66,759,1136,-55,899,-1928,-99,-531,860,188,289,-45,1122,1105,19650,-32,150,1763,559,489,516,109,116,365,-101,2216,219,1118,189,-57,193,6,219,73,10,262,-664,589,38,57,596,-138,2377,404,602,-126,-27,1242,1218,777,811,439,301,404,23,-37,-1,2006,-75,4936,373,653,1065,541,130,127,109,961,172,17,-404,42,3687,-211,2948,17,-136,-17,439,-135,883,333,1300,516,7319,254,161,2371,877,15,540,-2,651,684,227,DLBCL
-76,57,853,108,4346,300,572,397,-3,773,-1730,-216,-608,397,221,364,24,870,1918,21790,-38,-436,2139,655,190,818,105,269,217,-75,2583,219,1221,51,-166,198,30,401,74,59,146,-2016,1017,55,266,635,-568,2224,370,710,-30,34,1594,1033,1031,1075,3286,-18,1086,-305,-23,65,2414,223,356,381,1556,1125,-219,-919,217,-77,856,162,9,1223,80,2730,-367,1903,222,-49,239,242,-246,430,-19,763,700,7225,-284,345,1644,1186,71,604,285,1746,464,247,DLBCL
-61,-17,521,19,7510,323,474,660,105,718,-654,-156,-257,509,279,456,-37,983,2102,19747,5,-81,1206,321,25,652,99,85,130,3,1376,198,1372,132,-33,122,17,5,29,53,218,-975,1289,9,240,1592,-132,1475,232,484,-3,57,589,710,563,107,1979,107,428,-134,-7,45,1192,35,287,238,434,664,289,353,162,146,593,37,-9,511,-35,2021,-232,1999,63,-65,67,140,-263,823,103,783,374,3187,-178,160,1168,632,940,912,-67,531,444,144,DLBCL
-32,39,670,19,368,203,195,660,72,1021,-515,-79,-244,631,444,65,-80,590,289,26404,24,-157,1395,314,185,476,26,38,411,-74,776,33,473,171,-10,101,1,-368,90,-15,157,-157,1111,-9,115,729,209,1107,340,421,-10,5,996,518,1007,887,498,199,472,-184,23,-13,1961,137,275,341,1819,1408,223,121,102,-67,1352,80,5,-50,50,2416,-247,1093,162,-73,53,298,-223,1602,27,586,362,3233,-5,189,883,903,109,-86,-37,1730,-52,300,DLBCL
-95,44,900,46,2930,175,547,709,34,1155,-650,-106,-319,721,557,102,-64,984,463,17607,-57,55,1663,429,222,819,112,222,251,-75,1247,134,1401,112,-115,231,31,-205,42,-13,85,-1366,1286,20,164,375,182,1780,387,491,-67,-37,1221,805,935,1373,1833,165,539,-500,-33,16,1231,57,275,443,848,943,447,-247,131,-78,628,85,-3,-174,69,2939,-86,1437,80,-89,112,46,-314,739,-84,713,533,4882,-24,152,2114,747,37,322,-24,1251,965,185,DLBCL
-137,-22,422,-27,1797,-58,357,1363,31,357,-323,-104,-83,366,13,72,18,676,447,20842,-58,144,2444,187,124,465,47,-332,85,20,1716,58,1252,79,-27,88,-13,-685,15,-13,61,-146,368,-61,-18,165,-146,1331,255,375,-115,-81,1567,1146,581,3016,6087,162,203,-128,-42,-24,868,-13,119,-45,350,1135,682,115,110,144,397,-33,-47,-203,15,1691,-126,719,126,-97,42,153,-230,936,-83,1173,-104,920,303,18,646,619,637,232,-149,662,275,-33,DLBCL
50,-39,774,73,970,264,756,387,54,847,-895,-209,-453,571,407,471,223,711,1506,19905,-38,44,1798,388,197,448,79,106,301,-64,1303,9,1431,117,-68,115,6,109,54,59,155,-1075,853,83,211,534,-114,1980,290,699,-68,-88,1485,616,591,1026,4607,128,617,-370,113,6,1096,0,343,253,1244,782,207,-65,140,313,569,126,-53,305,155,2177,-290,1333,211,-96,103,267,-87,1244,-32,545,587,2222,91,177,1075,910,2306,381,-62,672,130,313,DLBCL
-172,36,812,56,459,45,633,314,-86,984,-978,-82,-100,348,267,127,-16,728,584,27910,-56,-30,2811,475,-170,704,-10,-771,263,-9,315,45,1210,93,26,-34,-64,-1824,26,55,104,-469,509,1,14,337,-51,1764,246,296,5,-140,590,1731,628,905,604,118,392,-755,-14,55,545,-181,385,-109,818,742,261,-390,177,-77,724,-36,-62,-521,56,2943,-97,961,-30,-106,-24,286,-260,496,-35,1256,-294,1643,-103,57,1995,-125,-12,-106,-116,727,-180,55,DLBCL
-88,15,920,17,3286,100,584,730,-68,414,-609,-68,-250,657,144,331,62,1241,811,22416,-49,127,2317,511,314,537,158,113,393,-99,2114,177,950,193,-34,228,-1,80,29,-45,157,-1070,910,12,252,916,-81,2459,455,587,-23,-56,889,1421,1036,923,700,235,672,70,-1,33,2377,57,5018,531,689,932,669,276,149,260,992,101,-17,-187,20,3860,-60,3156,160,-68,56,296,-123,633,311,1301,575,8414,885,144,2208,755,49,429,-65,766,707,115,DLBCL
-178,-57,400,34,1199,65,483,1254,-145,817,-1258,-122,-489,723,36,278,107,485,2685,18336,-70,-145,3100,374,155,521,230,-182,287,-107,1181,289,531,249,-159,241,-211,-1170,32,113,88,-329,1550,72,113,1764,312,1258,124,604,-65,-94,972,838,763,2060,82,268,753,-389,61,-76,339,-94,564,262,857,972,458,483,297,-485,1429,-65,-47,-220,65,1619,-347,1433,251,-67,113,546,-239,913,-24,861,531,2094,-445,186,1348,936,97,-49,-47,324,-548,500,DLBCL
-35,16,556,-35,3098,243,847,690,7,608,-794,-47,-130,408,301,288,-32,841,1178,19563,-54,83,2647,434,255,491,79,256,128,-53,971,105,1672,209,-14,88,-30,363,43,-67,59,-444,1375,37,137,765,249,1957,166,433,10,-77,973,1050,677,679,4029,168,423,-196,1,7,1276,44,290,189,1332,1187,661,238,85,-134,563,61,101,179,14,2843,-125,695,114,-131,48,248,-125,523,147,582,326,6062,283,88,3041,601,159,342,-157,1326,1037,41,DLBCL
-60,-35,479,66,5544,460,855,597,-97,1184,-1244,-70,-251,42,174,45,-50,1605,616,20091,-151,-153,3397,189,426,639,164,-153,688,-94,1643,365,1940,-19,-81,205,-22,-402,-8,110,129,-552,1067,-64,158,293,321,2559,165,642,-110,-164,1335,1141,1289,1771,1108,277,1330,-362,-45,-45,3127,48,302,70,1825,1009,462,43,99,15,659,18,-56,-254,-27,2883,-123,2682,127,-109,54,108,-245,385,79,996,181,7959,496,-5,1718,646,88,1578,128,2520,189,202,DLBCL
-39,-36,203,48,2060,27,410,925,-186,486,-2701,-73,-756,394,309,64,-34,892,973,10676,-138,-348,502,648,173,119,198,18,124,-129,669,-159,798,184,-46,410,66,544,110,85,339,-950,221,-46,136,131,92,569,59,639,-16,-80,412,1017,276,830,987,295,438,-883,-66,18,1351,290,537,754,173,449,39,-20,143,-20,1033,-16,34,-237,-66,1940,-115,1907,341,-103,41,269,-20,491,106,11,1155,5426,500,251,1038,971,9,641,823,2090,237,233,DLBCL
-25,-51,85,59,311,82,159,1051,-164,682,-2166,-252,-579,708,170,61,-20,592,-154,20575,-36,72,371,932,391,-154,213,48,190,-103,917,74,185,249,-92,262,36,-690,170,51,273,-30,90,128,105,-92,51,904,-54,358,-25,-5,182,855,352,1025,2429,265,190,-213,30,-54,1252,79,713,288,291,350,-440,-198,195,355,904,69,-33,-559,103,932,-543,1267,283,-108,260,48,-229,618,69,-46,1136,1666,577,270,608,834,54,172,615,458,-110,159,DLBCL
-199,2,325,51,1317,289,682,388,-79,1130,-1317,-130,-418,38,388,76,5,780,995,22077,-72,-119,1582,266,251,602,33,131,356,-52,694,69,307,55,-78,372,-5,88,73,299,173,-752,467,-23,188,298,27,2210,63,899,-42,-9,849,2030,956,394,1011,161,893,-511,0,24,1857,726,322,130,1969,793,272,-139,119,-71,420,60,-11,-199,63,1554,-37,1316,113,-67,275,100,138,816,873,783,434,1023,-155,74,399,570,71,292,577,1472,-51,443,DLBCL
-124,-42,109,50,882,269,299,813,-73,597,-819,-136,-128,21,437,92,-50,519,711,16340,-47,-58,1195,310,244,314,62,-13,215,-99,672,345,483,56,-60,535,10,-475,2,65,217,4,425,-21,88,627,112,1049,198,418,-43,-57,507,1063,552,564,2130,125,394,4,-12,-16,1549,256,255,138,198,426,243,584,31,-31,277,-80,50,-103,21,1378,-211,684,90,-94,42,140,-162,425,9,40,6,2427,594,-159,1112,1408,35,304,363,390,241,244,DLBCL
-84,26,106,60,768,137,210,183,-54,1040,-1650,-171,-396,315,107,51,13,380,501,21984,-32,6,893,391,240,232,16,130,422,-46,751,-154,281,19,-76,677,-12,-474,0,104,209,-1193,376,-32,84,137,282,2049,187,470,-5,-12,514,831,394,428,1131,140,907,-407,11,-2,1876,328,372,83,1322,972,105,-256,142,91,757,-10,-35,-345,51,1223,-200,934,170,-119,113,41,-115,158,-6,681,351,2849,-318,-87,176,444,48,677,745,1484,11,343,DLBCL
-137,15,516,13,665,207,712,-56,-98,1318,-2070,-312,-512,72,316,326,2,1690,463,16769,-92,-327,1730,382,105,601,72,156,212,-177,1306,165,1332,101,-150,735,37,-5,17,669,244,-645,630,5,64,539,-27,2079,312,396,-97,-43,430,1877,2361,1992,640,245,564,-178,1,31,2146,206,536,431,1035,767,570,-1436,216,-550,179,101,-56,1110,54,1855,-49,4688,363,-92,1536,239,-231,332,93,1065,1126,1594,420,293,387,1702,45,539,397,1741,32,275,DLBCL
-200,-15,93,57,899,177,334,423,-247,945,-1723,-229,-197,36,31,63,-38,366,629,16496,-118,98,658,227,181,314,44,-201,195,-159,742,107,300,19,-112,225,-92,-737,2,21,227,-699,366,-68,62,139,154,1197,57,362,-100,-107,303,624,529,658,3722,262,437,-347,-140,-35,1312,131,246,173,1258,1024,324,183,126,-16,617,8,-31,-341,43,1303,-206,911,116,-111,106,91,-203,595,-69,545,200,2435,364,-125,644,482,10,243,-20,960,208,204,DLBCL
-204,45,199,-7,188,-226,372,798,-119,1125,-2876,-489,-375,694,26,61,-103,518,85,20385,-82,-255,1644,566,-13,250,135,13,55,-141,154,-252,282,191,-122,367,149,-93,159,-109,311,-1341,343,15,-66,-55,-45,279,-26,763,-50,45,186,886,295,843,292,745,218,-1274,-42,63,537,42,715,372,415,276,-252,-771,324,-151,471,-5,-79,-819,-13,809,-322,1293,279,-98,15,255,-388,260,135,18,1375,1370,-162,188,542,479,79,-101,239,133,-109,284,DLBCL
-292,-74,221,111,5008,342,443,960,-334,201,-840,-122,-274,-140,514,235,-183,1706,172,22937,-157,60,1597,380,514,-87,186,-61,651,-68,2029,163,1312,166,-321,1243,-201,-828,86,33,230,-475,928,-40,256,490,202,3518,1007,738,-153,-498,602,2047,1492,2030,4335,623,598,-435,-72,-38,4328,394,723,21,683,1597,1458,274,253,-135,1103,-123,-87,585,34,5393,-276,6182,241,-224,287,-239,-736,540,-118,1545,-177,8650,1318,-343,1204,2057,231,1913,541,3270,1329,26,DLBCL
-85,11,337,-15,485,163,163,83,-40,541,-889,-24,-312,189,163,285,-41,801,556,24616,-67,-26,1149,299,-27,190,62,76,467,-74,326,50,317,33,-40,292,79,264,52,278,77,-324,343,15,215,161,-101,1762,140,540,-51,-4,453,1432,708,138,823,161,563,-383,3,47,2683,265,260,229,2894,1099,108,12,124,114,261,136,-30,-313,107,1234,-163,623,79,-29,219,73,158,302,-15,737,245,3126,167,82,492,165,51,263,412,2547,242,259,DLBCL
-94,3,121,-43,427,177,356,376,-133,1317,-1462,-256,-297,82,260,167,66,1513,234,21175,-76,-70,2018,162,474,672,121,118,269,-48,1693,347,1611,86,-114,158,-15,170,56,-30,191,-784,634,14,147,536,527,1634,63,465,-43,-20,301,1429,742,1242,458,267,536,-107,-10,37,2004,222,376,13,1574,767,533,143,110,847,985,63,-33,-419,51,1226,-193,891,387,-111,59,-14,-54,597,-28,985,1072,4716,447,147,1094,238,55,318,290,1642,675,80,DLBCL
