@relation X09_glioblastoma-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S42

@attribute X.63 numeric
@attribute X.314 numeric
@attribute X.565 numeric
@attribute X.679 numeric
@attribute X.688 numeric
@attribute X.889 numeric
@attribute X.1089 numeric
@attribute X.1287 numeric
@attribute X.1461 numeric
@attribute X.1595 numeric
@attribute X.1634 numeric
@attribute X.1761 numeric
@attribute X.2089 numeric
@attribute X.2187 numeric
@attribute X.2365 numeric
@attribute X.2378 numeric
@attribute X.2448 numeric
@attribute X.2480 numeric
@attribute X.2741 numeric
@attribute X.2742 numeric
@attribute X.2754 numeric
@attribute X.2787 numeric
@attribute X.3077 numeric
@attribute X.3143 numeric
@attribute X.3195 numeric
@attribute X.3450 numeric
@attribute X.3689 numeric
@attribute X.3692 numeric
@attribute X.3848 numeric
@attribute X.3854 numeric
@attribute X.3931 numeric
@attribute X.4037 numeric
@attribute X.4050 numeric
@attribute X.4069 numeric
@attribute X.4439 numeric
@attribute X.4470 numeric
@attribute X.4630 numeric
@attribute X.4644 numeric
@attribute X.4899 numeric
@attribute X.4939 numeric
@attribute X.5271 numeric
@attribute X.5323 numeric
@attribute X.5488 numeric
@attribute X.5592 numeric
@attribute X.5814 numeric
@attribute X.6032 numeric
@attribute X.6171 numeric
@attribute X.6656 numeric
@attribute X.6704 numeric
@attribute X.6852 numeric
@attribute X.7024 numeric
@attribute X.7153 numeric
@attribute X.7350 numeric
@attribute X.7394 numeric
@attribute X.7548 numeric
@attribute X.7747 numeric
@attribute X.7792 numeric
@attribute X.8104 numeric
@attribute X.8148 numeric
@attribute X.8178 numeric
@attribute X.8216 numeric
@attribute X.8245 numeric
@attribute X.8288 numeric
@attribute X.8472 numeric
@attribute X.8498 numeric
@attribute X.8843 numeric
@attribute X.8872 numeric
@attribute X.8952 numeric
@attribute X.9010 numeric
@attribute X.9115 numeric
@attribute X.9295 numeric
@attribute X.9320 numeric
@attribute X.9330 numeric
@attribute X.9431 numeric
@attribute X.9446 numeric
@attribute X.9451 numeric
@attribute X.9575 numeric
@attribute X.9605 numeric
@attribute X.9760 numeric
@attribute X.9964 numeric
@attribute X.10021 numeric
@attribute X.10166 numeric
@attribute X.10242 numeric
@attribute X.10321 numeric
@attribute X.10422 numeric
@attribute X.10446 numeric
@attribute X.10475 numeric
@attribute X.10543 numeric
@attribute X.11015 numeric
@attribute X.11218 numeric
@attribute X.11630 numeric
@attribute X.11702 numeric
@attribute X.11808 numeric
@attribute X.11848 numeric
@attribute X.12114 numeric
@attribute X.12246 numeric
@attribute X.12296 numeric
@attribute X.12335 numeric
@attribute X.12489 numeric
@attribute X.12499 numeric
@attribute class {CG,CO,NG,NO}

@data

-0.3,19.9,108.1,4.2,5.2,154.4,11.3,132,-2.2,733,34.2,14.4,43.8,35.9,-0.6,-2.7,5.5,-128.9,23.3,16.4,3.4,14.9,-23,-1.2,8.1,3.7,559.8,885.8,137.8,244.1,4.8,1,-3.5,-5.4,-92.8,-140.8,111.8,-4,21.9,460.2,0.5,12.5,5.2,8.9,85.8,-16.4,-1.7,14.1,51.4,-2.5,508,-24.8,4.6,57.9,10.9,217.4,158.9,4.1,29.8,28,2.1,-3.2,14,11.6,4.7,138.1,15.1,3.7,3.6,371.4,5.3,0.6,55.5,53.1,144.8,145.9,9.4,-2.7,6.7,51,-10.6,3.8,173.8,360,31.7,8.2,1.2,6.5,79.7,20.3,-50.5,80.9,34.9,12.7,3.4,-13.7,1.1,50.5,-1.5,23.1,CG
201.50758,6.034732,124.76152,10.101616,13.774931,187.33907,27.943432,426.10452,15.480399,476.6126,44.86692,27.418673,11.807084,219.2182,224.72816,9.445667,4.985213,-107.31328,369.9553,12.463034,61.659218,20.203232,-31.09199,10.626376,22.695839,7.21544,890.5165,1936.8866,54.837345,843.28815,-13.118982,3.279746,1.836658,44.34216,-312.88773,-216.33202,126.204605,1.049519,28.468193,643.0925,12.200654,-3.673315,1.574278,17.054676,261.06775,83.699104,-13.118982,16.529919,171.20271,35.81482,81.86245,-33.322216,4.854024,73.72868,46.834766,509.80365,575.5298,739.517,32.141506,110.8554,16.398727,-2.361417,24.794876,37.65148,5.509972,74.38463,83.8303,25.582016,6.690681,689.14014,5.641163,-3.410935,152.04901,81.206505,332.95978,237.84715,20.85918,-33.059837,18.760145,78.32033,55.493294,21.38394,130.53387,170.2844,49.064995,40.012897,237.32239,25.057257,110.33064,51.42641,-116.234184,124.499146,77.270805,8.002579,-0.13119,-6.034732,22.039888,56.018055,-4.985213,31.485558,CG
30.223524,9.972228,53.619907,2.608121,6.290175,144.36719,30.376942,300.08737,-2.684831,556.8339,120.9708,12.426931,17.413046,130.02252,17.566463,1.073932,7.670945,-70.6494,48.250244,48.480373,10.202357,11.583127,-8.131202,0.460257,12.963897,0,548.47253,1446.7402,139.45778,443.53406,13.040607,-4.755986,-3.145087,43.417545,-124.499435,-105.85904,52.085716,-1.917736,37.050663,111.38212,1.073932,13.347444,3.451925,-6.443594,104.7084,93.96908,2.914959,37.664337,284.1318,0.843804,684.7853,-5.829918,0,51.548748,23.62651,417.06927,322.1797,10.892741,48.173534,127.18427,29.763266,1.150642,5.062824,92.89514,2.147865,150.2738,22.475868,-3.988891,3.912182,465.70303,6.597013,1.38077,116.0614,61.827816,282.21405,250.60979,9.7421,-12.580349,-5.59979,84.99407,9.665391,1.45748,230.97215,58.529312,28.305788,26.771599,1.994446,15.802147,103.78789,56.8417,-26.61818,261.3491,51.241913,75.78894,39.965622,5.446371,0.920513,96.73061,-1.917736,31.757713,CG
99.17841,22.308172,78.45041,6.692451,4.554585,116.93201,31.882095,351.63257,6.4136,1003.12415,51.959454,9.202121,41.36307,283.59265,15.42982,1.580162,4.740487,-102.71055,53.353714,40.154713,3.996881,4.740487,-7.064255,6.599501,0.092951,9.852777,651.3986,1755.932,96.0181,695.17847,11.804741,1.951965,-1.766064,21.84342,-139.14722,-134.8715,67.76108,-0.557704,47.96257,80.402374,14.407362,18.404242,1.394261,9.202121,129.29446,48.79913,-5.484093,31.789146,203.00436,-0.185901,312.77917,-5.577043,8.179664,54.09732,23.609482,583.07983,422.92578,31.789146,48.79913,258.68185,16.080473,-3.532127,35.507175,100.57268,5.484093,54.09732,40.712414,-0.557704,0.185901,358.88272,4.833437,3.067374,208.48846,73.98877,1047.4617,181.81161,9.945726,-11.897693,4.275733,100.01498,2.50967,12.92015,272.7174,221.87337,9.388023,42.75733,21.192764,18.961946,105.49907,69.71304,-27.513412,261.2845,73.059265,18.03244,31.696194,7.621959,1.766064,95.18154,-6.134747,33.648163,CG
177.54474,37.95784,150.81099,7.142604,7.754828,175.09584,28.162268,272.43933,-8.7752,511.61453,55.50824,29.386713,-10.815944,139.38283,109.58796,-0.816298,2.857042,-217.95148,262.23563,18.16262,45.100445,27.141897,-42.243404,-16.530027,26.325598,-1.83667,653.0381,1506.0691,38.161915,640.58954,-6.93853,3.265191,-3.469265,21.427813,-281.62268,-161.42285,138.97467,-0.204074,28.774492,189.99327,5.10186,19.591145,2.244818,7.754828,143.66838,61.018246,-2.244818,16.7341,203.2581,8.979274,25.5093,-29.998938,-2.448893,44.89637,9.387423,278.9697,352.6406,452.8411,28.162268,141.01541,6.530381,-12.244465,19.999292,76.5279,5.510009,85.3031,39.998585,6.326306,5.918158,462.02444,-5.510009,1.428521,135.70949,61.630474,262.84784,145.70914,18.16262,-35.508945,8.7752,82.65013,118.97538,-8.7752,143.66838,126.7302,21.019665,38.365986,109.17981,34.2845,129.1791,74.48716,-119.38353,172.2388,42.243404,11.836316,7.958902,-23.672632,5.305934,56.732685,-0.408149,39.998585,CG
52.570053,17.176355,69.85051,1.249189,7.703335,181.96526,45.387215,242.34276,-0.312297,438.04907,92.85641,26.857573,60.793888,75.68005,18.73784,4.996758,0,-125.43944,77.65794,87.339165,25.920681,19.050138,-15.718967,12.90829,7.286938,9.681218,533.61206,1556.1777,247.7559,496.76102,1.873784,-1.561487,1.249189,49.342983,-181.96526,-34.040413,64.54145,-4.372163,19.674732,55.693027,7.911533,34.040413,18.009148,12.075499,59.856995,7.703335,0.104099,28.210861,240.46896,14.469777,503.94385,-15.614868,-2.810676,30.084644,10.930408,278.15286,191.75058,95.35479,30.188744,84.11209,23.942797,-9.264821,11.346804,159.47984,13.116489,54.65204,45.387215,8.432029,5.204956,597.42487,1.353288,2.498379,131.47719,86.089966,419.93585,215.48517,22.27721,-7.391038,2.081982,87.75556,14.573876,4.996758,307.61288,136.05754,2.081982,11.034507,21.13212,23.942797,100.351555,54.33974,-44.033928,240.57307,41.53555,86.818665,24.359194,-22.797707,5.413154,73.077576,-2.498379,38.82897,CG
292.80692,19.857916,103.41691,0,3.037093,132.85335,37.379604,277.93292,-2.959219,749.2274,41.584812,4.127332,53.655308,119.30324,11.36963,0,-2.569848,-137.13643,75.53795,85.817345,16.665073,15.185465,-20.948154,28.424074,5.21757,8.488285,662.08624,1616.4343,241.2542,1026.5374,-2.180477,2.569848,3.893709,13.472232,-99.601074,-45.945766,74.75921,-11.525378,28.424074,305.03317,9.422776,11.525378,-4.28308,-0.155748,175.76202,107.076996,-8.799782,34.420387,176.54076,38.859215,400.35114,-10.357265,6.307809,52.720818,35.5885,412.5774,334.1581,321.62036,55.21279,92.67027,39.87158,-3.426464,14.328849,150.68654,10.045769,152.3219,73.66897,11.058133,4.983947,524.32684,11.525378,3.660086,101.70368,129.972,453.38348,368.18912,16.665073,-12.927114,4.360954,46.101513,5.139696,6.463557,288.75745,141.57526,30.526678,42.67505,-3.737961,26.165722,138.77179,35.277,-36.91236,178.56549,38.391968,36.678738,-1.946854,17.288069,5.918437,70.554,-2.102603,10.902385,CG
17.63949,9.62154,89.294655,15.698303,-0.084399,168.88336,10.634335,220.28264,-4.051175,654.51794,44.731724,8.10235,53.340473,63.468407,3.038381,3.038381,-9.62154,-106.59654,60.00803,41.018147,4.641972,7.511553,-10.127937,12.91312,16.4579,2.447585,527.6655,1877.8884,216.23148,388.5752,-0.928394,-0.084399,-2.447585,21.859465,-110.39452,-74.52474,66.422386,-10.381136,28.695824,229.48218,3.20718,6.49876,-4.557572,7.089556,127.52762,77.98512,-19.665077,27.76743,200.27997,3.460379,857.4987,-2.869582,2.025588,22.87226,4.81077,335.65674,358.61337,36.376175,30.89021,32.746998,15.360706,-2.616384,10.549935,117.31528,2.700784,197.74799,9.115144,-0.421997,0.253198,562.18494,2.109987,4.219974,41.355743,49.036095,415.41425,326.9636,6.836358,-10.887532,6.49876,50.21769,-2.869582,6.076762,271.68192,114.10809,16.964296,13.841515,1.350392,13.419517,77.14113,22.112665,-39.836555,128.878,31.059008,51.146084,6.329961,14.263512,4.557572,59.164036,0.675196,26.585836,CG
57.076347,16.496458,103.01585,-5.359608,1.948948,114.431114,17.470932,307.377,0.556842,786.1223,60.626217,11.067243,53.24806,192.66747,17.401325,3.062633,2.923423,-114.36151,46.426735,107.400986,3.062633,10.649611,-20.811985,1.670527,15.730799,7.865399,579.32495,1912.893,155.28943,500.1837,-0.417632,2.36658,0.208816,52.273582,-191.5538,23.456987,80.25491,-1.600922,35.220284,337.3073,2.575396,25.893173,-1.670527,9.396716,139.69785,18.3758,-0.208816,18.23659,246.54199,10.162375,298.46753,-1.531317,6.682109,67.58675,33.89778,361.25153,397.93353,69.674904,20.811985,118.39862,21.090406,-5.63803,27.42449,111.438095,-0.139211,142.69087,41.902393,-4.733161,6.264477,630.76324,0.278421,3.271449,174.22208,101.76295,248.90857,233.87381,5.986056,-15.173956,2.157764,80.18531,2.714607,20.115932,362.78284,154.9414,18.932642,30.139095,16.844484,12.250533,157.93443,43.22489,-32.575283,225.52118,37.44765,33.828175,8.074215,-14.895535,-0.139211,103.78151,-2.714607,14.825929,CG
