@relation panc-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S1

@attribute X1268 numeric
@attribute X1280 numeric
@attribute X1960 numeric
@attribute X2596 numeric
@attribute X2929 numeric
@attribute X3476 numeric
@attribute X3566 numeric
@attribute X4223 numeric
@attribute X4295 numeric
@attribute X5568 numeric
@attribute X5664 numeric
@attribute X6983 numeric
@attribute X7173 numeric
@attribute X7968 numeric
@attribute X7989 numeric
@attribute X8257 numeric
@attribute X10811 numeric
@attribute X11066 numeric
@attribute X11666 numeric
@attribute X14475 numeric
@attribute X14528 numeric
@attribute X15188 numeric
@attribute X16568 numeric
@attribute X16882 numeric
@attribute X16971 numeric
@attribute X17047 numeric
@attribute X17548 numeric
@attribute X18645 numeric
@attribute X19308 numeric
@attribute X19496 numeric
@attribute X20017 numeric
@attribute X20095 numeric
@attribute X20363 numeric
@attribute X20985 numeric
@attribute X22362 numeric
@attribute X22821 numeric
@attribute X23838 numeric
@attribute X24327 numeric
@attribute X24415 numeric
@attribute X24571 numeric
@attribute X25283 numeric
@attribute X25876 numeric
@attribute X27034 numeric
@attribute X27052 numeric
@attribute X27610 numeric
@attribute X27651 numeric
@attribute X27671 numeric
@attribute X28186 numeric
@attribute X28436 numeric
@attribute X28530 numeric
@attribute X28615 numeric
@attribute X29174 numeric
@attribute X29197 numeric
@attribute X29360 numeric
@attribute X32156 numeric
@attribute X33422 numeric
@attribute X33493 numeric
@attribute X34115 numeric
@attribute X34257 numeric
@attribute X34417 numeric
@attribute X35278 numeric
@attribute X35580 numeric
@attribute X36180 numeric
@attribute X37339 numeric
@attribute X37804 numeric
@attribute X38002 numeric
@attribute X40554 numeric
@attribute X40691 numeric
@attribute X40724 numeric
@attribute X40816 numeric
@attribute X40920 numeric
@attribute X40999 numeric
@attribute X41455 numeric
@attribute X41592 numeric
@attribute X42721 numeric
@attribute X42809 numeric
@attribute X44104 numeric
@attribute X44665 numeric
@attribute X45042 numeric
@attribute X46314 numeric
@attribute X47655 numeric
@attribute X47717 numeric
@attribute X47943 numeric
@attribute X48189 numeric
@attribute X48436 numeric
@attribute X49119 numeric
@attribute X49517 numeric
@attribute X49826 numeric
@attribute X50006 numeric
@attribute X51912 numeric
@attribute X52015 numeric
@attribute X52383 numeric
@attribute X52717 numeric
@attribute X53353 numeric
@attribute X53675 numeric
@attribute X53783 numeric
@attribute X53812 numeric
@attribute X54010 numeric
@attribute X54301 numeric
@attribute X54482 numeric
@attribute panc.columns.tissue {'normal pancreatic','PDAC tumor'}

@data

5.98652,5.97565,3.71153,5.0404,5.5315,6.37643,5.11989,4.97241,2.86605,5.55018,3.88325,6.21601,4.21653,4.08615,3.12173,3.85024,9.01013,10.0867,8.98061,8.19536,6.05632,7.96179,9.29091,5.15282,3.56276,6.04771,6.94672,9.20348,10.6732,3.69062,3.85668,3.01991,5.53926,6.02796,6.6634,6.36436,5.82817,6.6489,3.55826,4.23581,7.61501,3.97535,8.47201,9.2003,6.71838,6.19051,7.6084,8.51345,7.01395,6.25433,6.0589,5.59878,3.29942,3.32108,8.5274,3.03273,4.66776,8.26037,6.77417,9.21741,7.71982,7.45013,7.14959,6.7004,6.79383,4.24561,4.48375,5.66681,4.18771,5.30414,2.86387,4.08212,3.53076,4.97334,4.49818,7.13476,3.27009,3.62566,8.21741,5.72017,5.2549,4.54973,4.88199,5.44176,5.79694,4.11773,3.47965,5.3603,3.84075,7.89279,3.84081,3.6498,5.79929,3.39278,3.71688,4.75926,4.85386,6.00302,5.37229,6.45777,'PDAC tumor'
6.73133,5.83971,3.48413,4.90205,5.83775,6.39761,4.96217,4.86225,2.61198,5.93988,3.59761,6.19377,4.05292,4.2034,3.02261,4.07467,8.99314,9.90444,9.0812,8.22802,6.03625,8.0705,9.45176,5.70747,3.1744,6.50863,6.93506,9.1805,10.8275,3.70183,3.94481,2.81529,5.70774,5.52102,6.95461,6.69446,5.25441,6.52859,3.85126,4.72237,7.6465,3.53544,9.18366,9.2156,7.47817,6.06978,7.87294,8.463,7.11061,6.25326,6.84705,5.79067,3.19509,3.02359,8.28273,2.8609,4.37894,8.28252,7.03749,9.34808,7.75719,7.66405,7.45259,6.90827,6.66682,4.57929,4.92906,5.20083,4.00434,5.18783,2.65001,4.09486,3.25021,4.44306,3.99268,7.1662,2.91452,3.8126,7.85156,5.3576,5.21878,4.95827,5.38348,5.50363,5.56826,4.32862,3.17886,5.47223,4.12482,7.71898,3.54618,3.47511,5.75933,3.34686,3.81439,4.96217,5.09437,6.06625,5.00792,5.87887,'PDAC tumor'
5.79053,5.64372,3.87083,4.97387,5.32568,5.85986,4.95228,4.84219,2.64523,4.71648,3.42116,6.19705,3.73751,3.91819,3.1706,4.27079,8.62953,10.1804,8.94973,7.40584,6.2278,8.04616,9.62058,6.25095,3.57607,7.01162,6.9643,8.99094,9.01842,3.97581,3.48185,2.81367,5.23604,5.6376,6.99111,8.27268,5.00237,6.5188,3.5083,4.63014,6.87292,3.58225,9.03877,9.00595,7.01383,6.34169,7.76796,8.80258,6.87333,6.35836,6.48173,5.8011,3.49144,3.80178,7.4725,2.84895,4.61899,8.20985,8.1759,9.22457,9.38394,7.43856,7.03778,7.11634,8.2203,4.34639,4.24956,5.26144,4.07745,5.17914,2.6548,4.26616,3.08233,4.58009,4.38757,7.2499,3.01309,3.86544,7.91047,7.53545,4.57198,4.79354,5.102,5.37899,5.49806,4.1461,3.35874,5.29189,3.94618,5.70727,4.00228,3.73751,5.53942,3.33344,3.61093,4.5658,5.27044,5.71695,4.90024,6.31563,'PDAC tumor'
5.59996,5.56136,3.77187,5.03765,5.27961,5.9697,4.54427,5.13422,2.55574,4.8329,3.89748,6.11051,4.12067,4.43564,3.09823,3.98267,8.49553,10.4415,8.5775,7.03693,6.14258,7.88939,9.82384,6.38012,3.37763,7.26676,6.88299,8.9257,8.88101,3.80219,3.76452,2.7044,5.46017,5.64132,6.9877,8.31111,5.05977,6.53393,3.47945,4.84401,6.96802,3.58909,8.89816,9.0521,6.85219,6.62163,7.35881,9.10296,6.93131,5.8807,6.7315,5.66145,3.25724,4.40999,7.32536,3.07046,4.73333,8.24432,8.33906,9.45192,9.20128,7.45774,7.0494,7.24756,8.49542,4.65935,4.34864,5.52646,4.42265,5.45407,2.50154,4.40277,3.62818,4.46968,4.47616,7.37035,2.98547,4.13869,7.70629,7.69941,4.55499,4.57288,5.24405,5.24405,5.52594,4.56964,3.29564,5.42527,3.79253,6.03054,3.98188,4.01673,5.82025,3.4657,3.65435,4.80277,5.4251,6.01813,4.71621,6.20644,'PDAC tumor'
5.94927,5.83267,3.34425,4.92028,4.99468,5.83672,5.2893,4.72502,2.70939,4.7841,3.59749,6.15,3.97136,4.08178,3.23969,3.85336,7.89791,9.63795,9.06333,7.71306,6.57028,8.10314,9.42623,5.40744,3.57778,6.81518,7.04891,9.35011,9.39606,3.91,3.63817,2.90627,5.02374,5.8319,6.65442,8.14708,5.12766,6.16853,3.28147,4.73821,7.02053,3.50731,8.20953,9.33602,7.03165,5.99775,7.55129,8.62515,6.96575,6.19317,6.06743,5.60786,3.37847,4.27023,7.61132,3.11302,4.08984,8.34344,7.67658,8.59728,8.85766,7.52544,6.4779,7.04644,7.36682,4.35914,4.31294,5.40502,4.20035,5.38236,2.71042,4.43048,3.19199,4.51017,4.42268,6.98036,3.21674,3.54143,8.10548,6.67632,4.32134,5.20688,4.58223,5.6665,5.35637,4.49921,3.26314,5.04413,3.91565,6.6983,4.1543,3.62904,5.59433,3.51159,3.94165,4.40035,4.36977,5.88878,5.03053,6.16616,'PDAC tumor'
5.40322,5.60326,3.54834,5.1525,4.70503,5.96185,4.84513,4.96545,2.56651,4.75902,3.91429,6.04499,4.00739,4.56398,3.09623,3.74544,8.08705,9.78848,8.8149,7.34814,6.4905,8.08598,9.53988,5.58247,3.55181,6.80174,6.76609,9.20751,9.50135,3.59382,3.8436,2.87901,5.2493,5.79089,6.46441,8.48327,5.37881,6.42182,3.63338,4.92755,7.07414,3.9402,8.17859,9.48922,7.12921,6.08568,7.26763,8.92718,7.10727,6.17522,6.36484,5.6325,3.61774,4.17089,7.54641,3.20393,3.84095,8.39386,7.67133,8.75531,8.85216,7.46708,6.7511,7.23293,7.56214,4.41221,4.22921,5.32721,4.12545,5.47954,2.67671,4.42991,3.63427,4.53735,4.74832,7.13595,2.99023,3.69974,7.90511,6.77735,4.75187,5.27155,4.5043,5.53801,5.48499,4.51739,3.27785,5.66349,3.89699,6.77016,3.79945,3.70081,5.64162,3.6155,3.69774,4.47871,4.24718,6.14691,4.91906,6.26384,'PDAC tumor'
6.26378,4.24475,3.60871,5.347,4.92,5.76399,5.19993,4.73339,2.6309,5.29216,3.90209,5.92123,4.12412,4.40138,3.12871,4.05959,8.25809,9.95691,8.62347,7.27095,6.30931,8.28338,9.67586,6.32082,3.7159,7.22488,6.63481,9.29846,8.57408,3.64667,3.78833,3.08107,4.98059,5.76204,6.8067,8.38142,5.3663,6.70637,3.59793,4.87146,7.14915,3.60677,9.13922,9.50456,6.67636,6.14968,8.07419,8.97797,7.43554,6.01424,7.69444,5.68075,3.53192,3.1812,7.31404,3.01385,3.27426,9.04432,9.02545,8.89037,10.6616,7.02005,6.12832,7.33054,7.37136,4.82534,4.7465,5.56942,4.20741,5.52766,2.63703,4.2864,3.41395,4.43412,4.90033,7.14918,3.11122,4.09213,7.86115,6.77794,4.61996,4.93349,4.98752,4.72484,5.16535,4.44995,3.25985,6.06027,4.2524,4.61054,4.32683,3.54215,5.78372,3.48777,3.70914,4.97529,5.05511,6.27097,4.5698,6.25422,'PDAC tumor'
6.03587,6.06008,3.72707,5.20294,5.25524,6.01456,5.20068,4.91975,2.66353,7.05434,3.73975,6.27344,4.48117,4.48025,3.10733,4.07612,7.95179,10.6986,9.01335,9.0484,5.98113,7.79747,9.69692,5.01905,3.61241,6.06959,7.02649,9.40495,9.25901,4.2981,3.55261,3.00962,5.40202,5.6065,8.19557,10.2133,5.47114,5.81373,4.58568,4.70956,8.25698,3.52161,7.92344,8.90709,6.55085,5.62387,7.14509,10.4069,6.86997,5.71103,5.93208,5.8938,3.30336,2.94255,7.27905,3.04723,3.92403,11.1991,7.012,9.29217,9.08184,7.2834,7.43299,7.36629,7.18732,4.42136,5.09829,5.26895,3.87705,5.21225,2.71364,4.18505,3.8962,5.04176,4.14913,7.01685,3.14591,3.80984,8.12516,5.91725,4.64838,4.93924,4.98586,4.92936,5.95395,4.34107,3.3423,5.18744,4.37944,3.75824,4.0874,3.69312,5.6264,3.63527,4.15026,3.8189,4.2751,5.96184,4.5673,6.35374,'PDAC tumor'
5.91013,5.13294,3.52986,5.1221,5.36751,5.99484,4.76358,4.96839,2.65083,4.74947,4.04039,6.12394,4.45858,4.62817,3.11486,3.61846,8.04823,10.1925,8.94828,8.85011,5.63366,7.65507,9.36125,5.20431,3.99303,6.50596,6.45763,10.5969,9.72728,4.90486,4.10462,2.82027,5.19222,6.40829,7.20588,8.31822,6.08431,6.54765,4.0638,5.41762,7.92566,3.55078,8.90726,9.00062,6.21183,5.73706,7.06847,9.48599,6.01799,6.08648,5.56407,6.1548,3.66067,3.41107,7.94124,3.04658,4.45188,9.40135,7.63265,8.66466,8.39746,7.23023,6.27237,7.94986,6.62143,4.61648,4.69019,5.9022,4.97184,6.00507,2.59534,4.60101,3.46457,4.94456,4.74577,6.96561,3.72174,3.88216,7.93466,6.25899,5.01914,4.78896,4.34626,5.17404,5.09152,4.83514,3.63918,6.18943,4.25056,3.45172,4.04468,4.29775,6.08457,3.75895,3.59566,4.1583,4.23574,6.30889,5.02586,6.75514,'PDAC tumor'
