@relation pulm-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S99

@attribute X269 numeric
@attribute X517 numeric
@attribute X690 numeric
@attribute X1359 numeric
@attribute X2024 numeric
@attribute X2080 numeric
@attribute X2470 numeric
@attribute X2653 numeric
@attribute X2812 numeric
@attribute X3176 numeric
@attribute X3594 numeric
@attribute X3751 numeric
@attribute X3774 numeric
@attribute X4112 numeric
@attribute X4502 numeric
@attribute X4717 numeric
@attribute X5182 numeric
@attribute X5221 numeric
@attribute X5854 numeric
@attribute X5886 numeric
@attribute X5956 numeric
@attribute X6803 numeric
@attribute X6830 numeric
@attribute X6935 numeric
@attribute X7016 numeric
@attribute X7849 numeric
@attribute X8154 numeric
@attribute X9418 numeric
@attribute X9641 numeric
@attribute X9773 numeric
@attribute X10032 numeric
@attribute X10057 numeric
@attribute X10261 numeric
@attribute X10776 numeric
@attribute X12501 numeric
@attribute X12599 numeric
@attribute X12639 numeric
@attribute X12819 numeric
@attribute X13401 numeric
@attribute X13432 numeric
@attribute X13465 numeric
@attribute X13478 numeric
@attribute X13560 numeric
@attribute X14288 numeric
@attribute X14315 numeric
@attribute X14705 numeric
@attribute X15844 numeric
@attribute X17294 numeric
@attribute X17654 numeric
@attribute X17972 numeric
@attribute X18003 numeric
@attribute X18184 numeric
@attribute X18336 numeric
@attribute X18454 numeric
@attribute X18583 numeric
@attribute X18741 numeric
@attribute X18852 numeric
@attribute X19149 numeric
@attribute X19309 numeric
@attribute X19531 numeric
@attribute X19643 numeric
@attribute X20537 numeric
@attribute X21042 numeric
@attribute X21830 numeric
@attribute X21873 numeric
@attribute X22103 numeric
@attribute X22651 numeric
@attribute X23313 numeric
@attribute X23339 numeric
@attribute X23478 numeric
@attribute X24424 numeric
@attribute X24603 numeric
@attribute X25110 numeric
@attribute X25370 numeric
@attribute X25404 numeric
@attribute X25836 numeric
@attribute X25996 numeric
@attribute X26455 numeric
@attribute X26653 numeric
@attribute X26773 numeric
@attribute X26887 numeric
@attribute X27022 numeric
@attribute X27028 numeric
@attribute X27705 numeric
@attribute X27711 numeric
@attribute X27723 numeric
@attribute X28243 numeric
@attribute X29063 numeric
@attribute X29163 numeric
@attribute X29263 numeric
@attribute X29402 numeric
@attribute X29499 numeric
@attribute X29734 numeric
@attribute X30433 numeric
@attribute X30500 numeric
@attribute X30707 numeric
@attribute X31099 numeric
@attribute X31989 numeric
@attribute X33153 numeric
@attribute X33292 numeric
@attribute pulm.columns.disease.state {'PF + intermediate PH','PF + no PH','PF + severe PH','PH validation set'}

@data

6.29644,7.14444,7.94928,3.42097,6.94069,4.58396,8.00782,6.42896,7.11224,5.9337,5.31905,13.7423,7.22495,7.35217,8.95216,3.91357,6.73799,8.95151,8.50919,3.80069,8.286,5.28791,2.38286,8.37427,7.94734,5.12841,9.0325,7.63869,7.59864,4.27178,5.78955,8.68664,5.00354,6.27451,7.51751,4.28773,9.68026,5.19443,5.38277,6.69376,9.67523,4.71247,7.30156,5.34321,3.97948,7.21101,9.13073,3.55146,7.87119,6.56575,7.33547,9.85935,6.89702,7.3895,9.10308,4.66752,4.2062,6.39967,4.23745,6.63668,7.88127,3.91261,5.57712,4.77097,4.93188,9.50227,8.75797,3.97603,6.50576,4.57141,8.95702,3.02695,1.87074,4.57614,6.83937,10.3742,4.42793,11.2473,4.99551,5.97987,7.93365,7.02254,4.76886,9.27559,4.05857,4.88447,6.58376,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.45144,6.79502,7.8778,3.01047,6.75436,4.38524,8.15505,6.57664,6.9998,5.54681,5.4695,13.4007,7.02957,7.09407,9.00243,3.95007,7.47196,8.82976,7.99813,3.96579,7.91103,5.62735,2.75245,8.41074,7.72717,5.07899,8.4938,7.97161,7.41118,4.11853,8.24303,8.77282,5.30598,6.22224,7.53871,4.15801,9.43963,5.51094,5.5113,6.87277,9.92653,5.06287,7.80841,5.66436,4.01382,7.69376,9.09429,3.43369,7.86551,6.82162,7.36931,9.85126,6.37431,6.56747,9.30223,4.72097,4.32334,5.90419,4.15108,6.62611,7.95073,3.85989,5.23849,4.3576,5.20775,10.1053,8.70656,3.99313,6.023,4.71457,9.05711,2.59996,1.73352,4.56584,7.17521,10.3047,4.68247,11.1512,5.42225,6.03798,8.45783,6.81308,5.01413,9.27605,4.10706,4.71585,6.50211,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.13342,6.94236,7.79689,2.99585,6.66678,4.73501,8.11079,6.44972,7.07855,5.86724,5.7305,13.7372,7.01062,7.40491,9.03374,3.98801,7.16627,9.54443,8.52969,4.48174,8.07147,5.59972,2.9958,8.25971,7.75837,5.19969,8.90393,7.92074,7.62248,4.35039,9.70249,8.69566,5.0894,6.04206,7.59727,4.25484,9.5494,5.35933,5.51415,6.37509,9.55836,5.07025,7.81694,5.65356,4.22467,7.35152,9.10822,3.64495,7.88777,6.77202,7.56544,9.79558,6.29131,7.83512,9.20834,4.64616,4.49797,5.95342,4.10437,6.17432,7.98447,4.19295,5.67103,5.10926,4.60264,10.0453,8.84737,3.96388,6.35957,4.73845,8.90243,2.93742,2.35368,4.60154,7.10256,10.1696,4.54982,11.0463,5.36874,6.07225,8.28208,7.25342,5.11804,9.31891,3.96583,4.65869,6.72416,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.08499,6.71986,7.50379,3.33704,6.22553,4.57023,8.28675,6.47124,6.91223,6.13558,5.4695,13.1141,6.78847,7.04808,8.99823,3.95007,6.90901,8.79786,7.6995,5.13518,8.08568,5.54397,2.47443,8.37358,7.81598,5.19759,8.09071,8.11946,7.33664,4.51463,8.47071,9.33878,5.50541,5.56349,7.64755,4.6167,9.50268,5.62272,5.58511,6.92157,10.1174,5.39033,8.06305,5.53645,4.37803,7.63094,8.85499,3.47163,7.75819,6.9262,7.4475,9.47143,6.36114,6.29064,9.29255,5.034,4.43024,5.58846,4.24217,6.71398,7.85742,3.97402,5.72188,5.0968,4.63686,9.97495,8.28532,4.10815,5.53638,4.75831,8.90133,3.51248,2.03242,4.74927,7.25774,10.3588,4.65809,10.718,5.63187,5.78904,8.45456,6.44565,5.18774,9.1595,4.41658,4.47161,6.70971,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
6.89114,7.01132,8.46297,3.34465,5.70999,5.00092,8.07373,6.65173,7.20593,5.88097,5.51216,13.7304,6.92935,7.17008,9.30011,3.72102,6.72118,9.38843,8.74728,4.64727,8.04355,5.31306,2.31543,8.35462,8.20587,4.78231,8.99801,7.72164,7.8399,4.08007,7.10459,8.80665,5.25106,6.31435,7.17064,4.31588,9.52929,4.99913,6.0775,6.77644,9.668,4.73308,7.27918,6.46686,4.01967,7.41406,9.46674,3.5302,8.13847,6.95719,7.44082,9.91256,6.56106,7.58601,9.17029,4.68259,4.17408,5.47027,4.32453,6.12189,8.46952,3.64265,6.13908,4.63863,5.05471,10.0639,9.70096,3.77403,6.95835,4.60524,9.0234,3.2299,3.71537,4.0591,6.82683,10.169,4.81491,11.0472,4.79246,6.04037,8.11183,7.37147,5.01845,9.57001,4.08042,5.42886,6.52394,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
6.44202,7.2323,7.9651,3.5088,6.37013,4.57312,8.2371,6.3404,7.10916,5.75727,5.32329,13.5361,7.0428,7.50348,9.15121,3.72945,7.27481,9.83892,8.04537,4.23534,8.14359,5.37081,2.7431,8.45065,7.78923,4.77714,8.8694,7.57911,7.75717,3.91361,7.30047,8.64969,5.15601,6.12079,7.54324,4.44566,9.42914,5.35716,5.38606,6.25165,10.0104,5.22038,7.59744,5.50035,3.86128,7.41839,8.94479,3.52184,7.8973,6.66962,7.42255,9.81337,6.41945,6.84984,9.1942,4.45588,4.61675,5.36573,4.2122,6.48517,8.22447,3.74222,5.80258,4.76169,4.70091,9.65387,9.00625,4.28259,6.16663,4.94781,9.14977,2.92415,1.89081,4.48072,6.87478,10.1669,4.78141,11.0506,5.59465,6.34167,8.11017,6.88485,4.5226,9.47875,4.38349,4.64143,6.7635,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.73667,7.28571,8.42989,3.34465,6.82262,4.20065,8.14457,6.09329,6.85549,5.43088,5.31906,13.7138,7.08264,7.43187,9.2415,3.68856,6.31145,8.75114,8.18078,4.32375,7.9368,5.48252,2.33529,8.44898,7.84584,4.64609,8.7571,7.41506,7.79749,4.22248,7.30339,8.97376,4.93232,6.10859,7.47387,3.93103,9.44325,4.97992,5.05199,6.60605,10.1217,4.77104,7.56559,5.00392,4.19645,7.4467,8.99809,3.79076,7.83001,6.78314,7.51379,9.83386,6.50298,7.44068,9.60825,4.6802,3.55732,6.18846,4.14763,6.77705,7.7814,3.55547,5.82397,4.76839,4.60584,9.89701,8.99754,3.79321,6.42628,4.72727,9.49971,3.11537,2.07572,4.54357,6.94546,10.2134,4.50132,11.2492,5.7028,6.32461,8.048,7.2869,4.7415,9.54113,4.00568,4.92923,6.72764,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.88713,7.07882,7.54677,3.56536,6.14341,4.5156,8.28604,6.38466,7.24679,5.60033,5.46045,13.2808,7.15581,7.30091,9.41784,3.65275,6.78907,9.37447,7.94069,4.2871,8.17344,5.35561,2.36661,8.47351,7.75993,5.13193,8.15416,7.92203,7.7504,4.58331,8.37834,8.89285,5.24051,6.18265,7.70241,4.16396,9.48921,5.30384,5.55456,6.60467,10.0212,4.89226,7.76032,5.66363,4.14204,7.37738,9.05007,3.72858,7.94057,6.6944,7.49465,9.49996,6.26226,6.51827,9.64518,4.68538,4.31766,5.93666,4.24648,6.20912,8.00042,3.97055,5.85958,5.04605,4.35325,9.80133,8.5698,4.21983,6.06836,4.79758,9.34727,3.49993,2.03403,4.61261,6.97538,10.3002,4.71819,10.8612,5.92751,6.30293,8.18998,6.72687,5.4851,9.26805,4.20122,5.01937,6.55099,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
5.295,6.51332,7.23898,3.91905,6.48175,4.92516,8.22822,6.44186,6.64487,5.59495,5.55015,13.5652,7.13499,6.9648,8.96965,3.93012,6.61424,9.02475,8.23722,4.89492,8.38141,5.32394,2.95728,8.91113,7.95656,5.19761,9.11016,8.14862,7.62774,4.58132,6.74046,9.16963,5.21173,5.69069,7.8479,4.19625,9.52171,5.49291,5.61906,6.72746,10.0079,5.38564,7.76529,5.60863,4.40385,7.84844,8.86573,3.84487,7.87725,7.08292,7.26627,9.76479,6.66968,7.09567,9.29688,5.33928,4.46131,5.8681,4.60625,6.15111,7.89328,4.3134,5.59151,4.97525,5.16676,9.51856,8.9438,3.64346,6.29999,4.31315,8.11876,3.1133,1.82993,4.75389,6.94501,9.88408,4.7815,11.009,5.6654,6.15752,8.2551,6.21023,4.9443,8.9899,4.21093,4.83135,6.19084,?,?,?,?,?,?,?,?,?,?,?,?,?,'PF + severe PH'
