@relation lung-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S43

@attribute X168 numeric
@attribute X249 numeric
@attribute X257 numeric
@attribute X471 numeric
@attribute X678 numeric
@attribute X706 numeric
@attribute X763 numeric
@attribute X1142 numeric
@attribute X1355 numeric
@attribute X1523 numeric
@attribute X1533 numeric
@attribute X1539 numeric
@attribute X1638 numeric
@attribute X1786 numeric
@attribute X2456 numeric
@attribute X2499 numeric
@attribute X2599 numeric
@attribute X2862 numeric
@attribute X3498 numeric
@attribute X3545 numeric
@attribute X4241 numeric
@attribute X4622 numeric
@attribute X4869 numeric
@attribute X4915 numeric
@attribute X5594 numeric
@attribute X5617 numeric
@attribute X6282 numeric
@attribute X6484 numeric
@attribute X6513 numeric
@attribute X6745 numeric
@attribute X6826 numeric
@attribute X6871 numeric
@attribute X7398 numeric
@attribute X7416 numeric
@attribute X7706 numeric
@attribute X7763 numeric
@attribute X7887 numeric
@attribute X8012 numeric
@attribute X8059 numeric
@attribute X8175 numeric
@attribute X8645 numeric
@attribute X8869 numeric
@attribute X9444 numeric
@attribute X9636 numeric
@attribute X9974 numeric
@attribute X9992 numeric
@attribute X10442 numeric
@attribute X10509 numeric
@attribute X10796 numeric
@attribute X11212 numeric
@attribute X11372 numeric
@attribute X11455 numeric
@attribute X11547 numeric
@attribute X11838 numeric
@attribute X12272 numeric
@attribute X12812 numeric
@attribute X13026 numeric
@attribute X13404 numeric
@attribute X13412 numeric
@attribute X13612 numeric
@attribute X13797 numeric
@attribute X13864 numeric
@attribute X14157 numeric
@attribute X14261 numeric
@attribute X14299 numeric
@attribute X14749 numeric
@attribute X15187 numeric
@attribute X15686 numeric
@attribute X16144 numeric
@attribute X16161 numeric
@attribute X16546 numeric
@attribute X16700 numeric
@attribute X16721 numeric
@attribute X16799 numeric
@attribute X16865 numeric
@attribute X16986 numeric
@attribute X17131 numeric
@attribute X17456 numeric
@attribute X18132 numeric
@attribute X18148 numeric
@attribute X18166 numeric
@attribute X18170 numeric
@attribute X18230 numeric
@attribute X18621 numeric
@attribute X19234 numeric
@attribute X19249 numeric
@attribute X19626 numeric
@attribute X19700 numeric
@attribute X19858 numeric
@attribute X20020 numeric
@attribute X20802 numeric
@attribute X20847 numeric
@attribute X21107 numeric
@attribute X21305 numeric
@attribute X21345 numeric
@attribute X21724 numeric
@attribute X21972 numeric
@attribute X22088 numeric
@attribute X22118 numeric
@attribute X22193 numeric
@attribute lung.columns.tissue {normal,tumor}

@data

11.5394,9.05328,9.30764,11.3717,10.2606,10.711,8.10488,7.53671,8.07013,7.10978,8.86748,9.93534,11.2246,8.89393,6.70269,7.85051,5.3527,8.29657,6.74921,9.64514,5.63402,7.92362,7.8181,6.6086,7.34275,4.20198,7.53087,7.97486,6.26713,6.25417,6.88142,7.39175,4.39998,6.70556,5.45198,7.05999,4.1535,5.78111,4.81059,10.8202,5.22457,9.53797,8.23749,5.8722,4.5332,6.71871,6.67631,9.90488,7.62052,7.32959,10.1073,8.69356,7.71698,8.53898,8.14866,7.36385,12.4579,6.20207,10.0017,7.7084,4.79857,6.89638,5.10148,5.44783,8.5169,6.67922,5.89255,4.25833,7.78569,8.6781,9.59445,5.7383,11.4478,6.55388,4.98216,4.40634,9.49117,8.87446,8.55306,7.61046,7.84252,6.33995,8.14292,7.6079,7.91755,6.38997,7.61272,5.33752,7.37062,3.99676,5.60872,9.61808,9.06128,6.03221,7.61275,7.16314,9.3846,8.80817,6.85076,10.2176,tumor
11.4562,8.66844,9.36198,10.9848,10.6304,10.1794,8.33469,7.07529,8.36022,7.71534,8.87448,9.99499,10.5435,9.25295,7.04502,7.60171,5.60605,8.02695,6.3641,11.8572,5.73008,8.18852,7.58098,6.58452,6.47381,5.50198,7.14264,8.3331,6.23145,6.49032,7.01311,7.36574,4.43636,6.91123,5.5425,7.24933,4.10002,6.12723,5.08244,10.7201,5.17995,9.55847,7.99493,5.88921,4.46388,6.73588,6.78869,9.43586,7.94968,7.30606,9.51361,8.3022,7.84469,8.63621,7.91278,7.31995,12.6754,6.52904,7.99448,7.44523,5.0029,6.79207,5.12468,5.77856,8.51868,6.76503,5.52237,4.20189,7.92541,8.57669,8.689,5.89819,10.6007,6.43752,5.04628,4.50032,9.99832,8.89596,8.89168,7.42403,7.98723,6.20494,7.71578,7.95535,8.00099,6.56566,7.62894,5.23638,7.30477,4.07094,5.28461,10.4649,10.8941,6.1232,7.42202,7.02968,9.26304,8.59166,6.76943,10.2795,tumor
11.1279,9.05864,8.65993,11.2532,10.5912,10.3078,8.52975,8.46662,8.04081,9.13353,9.71003,9.41874,10.4412,8.81809,7.0665,7.24554,5.42306,7.76831,6.57132,11.1054,5.73033,8.12235,8.52738,7.89473,6.31128,4.75562,7.46165,7.6672,6.33592,6.29992,6.81535,7.51995,4.33183,6.62344,5.48431,7.26921,4.16233,6.10656,4.82046,10.976,5.36895,10.0056,8.61969,6.03093,4.57489,6.5866,6.68137,10.0711,7.79715,7.38712,8.9454,8.54124,8.0341,8.35047,7.46333,7.6716,13.5976,6.44813,10.6997,7.56292,4.96786,6.66378,5.42477,5.89373,9.53024,6.72382,5.52431,4.27721,7.4574,8.70201,7.64419,5.5771,10.1347,6.37503,5.15924,4.41981,10.3253,8.69012,8.7275,7.64374,7.96106,6.59254,8.09743,7.83506,7.87752,6.74707,7.58037,5.197,7.23873,3.9895,5.33459,9.58696,10.269,5.97712,7.79961,7.17784,9.45856,9.17921,6.68457,10.5352,tumor
11.2381,9.50632,8.91096,10.9426,10.4723,10.2773,8.3993,7.51163,8.15755,8.99835,9.43144,10.2482,11.1962,8.83807,6.86282,8.05752,5.12352,8.6372,6.88559,9.37375,5.49149,7.97757,7.35545,6.48649,5.11666,4.70653,8.28595,8.52342,6.37071,6.26029,6.73686,7.56162,4.27328,6.62891,5.58344,7.32666,4.44629,6.06719,4.85477,11.0256,5.19126,9.64886,8.24454,5.87286,4.48537,6.29185,6.00619,9.93513,7.61547,7.28249,9.13208,8.30596,7.88956,8.46853,7.26516,7.49215,12.7189,6.58704,7.90292,7.73841,5.67038,6.73012,5.81898,5.5047,8.86545,6.64268,5.3794,4.32961,7.49795,8.66769,8.3373,5.27006,10.3058,6.29451,5.42264,4.15105,9.79955,8.62094,11.2923,7.41925,8.77178,6.2528,7.8927,7.8333,7.84321,6.45937,7.42453,5.20071,6.61366,3.99781,5.19859,9.63049,9.75611,6.04859,7.69117,7.14357,9.7475,8.73644,6.54176,9.96618,tumor
11.734,9.22686,9.37648,11.1894,11.079,10.5059,8.75678,8.04929,8.65345,8.82385,9.88742,9.93916,10.2086,8.85064,6.95507,7.80989,5.4939,7.59753,6.33475,9.57086,6.28903,8.12268,6.71327,6.9615,5.53719,4.47858,6.79458,8.61915,5.9346,6.14554,6.18388,7.2571,4.22118,6.35321,5.44305,7.0353,4.12365,5.84753,4.65401,11.63,5.6678,10.19,8.14955,6.3698,4.37284,6.14086,6.31887,9.84566,7.57802,7.22171,9.34749,8.71025,8.06498,8.14449,8.48357,7.71515,13.57,6.31751,6.81251,7.44202,4.70966,6.62878,5.20002,5.59545,9.24118,6.33453,5.19457,4.05909,7.13812,8.70671,11.4032,5.43426,10.4269,5.96642,4.7989,4.29222,10.1097,8.70487,11.16,7.34491,8.85089,6.24629,8.31221,8.06921,8.28579,7.31604,7.5269,5.06532,7.15365,3.92237,5.1602,11.1316,10.2952,6.39038,7.62289,7.01528,9.53411,8.40832,6.83965,9.87857,tumor
11.4196,8.88502,9.40633,11.1019,11.4349,10.7422,8.20698,7.46181,8.62935,9.13815,9.17178,10.0972,10.781,9.47477,7.02939,8.39965,5.22456,8.66529,6.55258,12.1642,5.90888,7.7964,8.42233,6.22971,6.49641,4.97706,7.41082,8.18022,6.51009,6.24038,6.68958,7.21279,4.34232,6.49449,5.61625,7.29014,4.22461,5.75602,4.53804,11.6389,5.37208,10.3487,8.20068,6.32303,4.32812,6.11635,6.3698,9.80679,7.65195,7.08873,9.50108,8.22146,7.70234,8.25931,8.43535,7.8465,13.4268,6.36601,7.63537,7.47349,4.91099,6.63888,5.53425,5.60362,9.15176,6.40167,5.57974,4.35736,7.18327,8.67862,9.42151,5.53093,10.5003,6.03788,4.66835,4.3132,9.83578,8.84858,10.977,7.57324,9.10415,6.32825,7.87943,7.85381,7.9159,6.59064,7.37591,5.07635,6.76851,3.90668,5.14125,10.1849,9.96141,5.89745,7.83151,7.03881,9.30277,8.86207,6.62693,9.98658,tumor
11.3836,8.52696,8.74128,11.0937,11.4489,10.1054,8.2425,7.62939,8.41663,8.3535,9.37745,9.53616,10.4464,9.41641,6.90471,7.51788,5.71467,8.17325,6.48334,11.9307,6.07712,7.98299,7.78124,7.21857,6.91687,5.91033,6.8614,7.40895,6.59052,6.15903,6.81947,7.3927,4.43889,6.34144,6.2294,7.16862,4.6231,6.61597,4.58542,10.666,5.84154,9.23872,8.73332,6.78388,4.53675,6.72756,6.33771,10.3889,7.59103,7.67066,8.64143,8.42555,7.6537,8.18131,7.42661,6.96979,13.375,6.6673,9.04483,8.05701,5.32739,6.62694,6.35082,6.26195,8.59903,6.68048,6.2863,4.65691,7.78804,9.11869,10.5899,5.61177,9.75187,6.38541,5.32051,4.55305,10.1311,9.23756,8.04142,7.59027,8.3603,6.43391,6.96909,8.47742,8.23642,5.94673,7.18941,5.47491,7.47117,4.72229,5.54495,9.38099,9.18859,6.21348,7.26205,6.97459,9.81301,8.58943,6.75649,10.7909,tumor
11.5133,8.99402,9.65111,11.2011,10.2279,10.24,8.11613,7.90654,8.2389,8.59432,8.9923,9.71064,10.4576,8.89395,6.72334,7.86555,5.49248,7.80469,6.87127,10.9646,6.42619,8.47031,8.76151,6.75146,5.41508,5.04962,6.75453,8.50338,6.32982,6.27708,6.69426,7.39691,4.30449,6.84457,5.52318,6.93939,4.07701,5.99312,4.79768,11.2666,5.40893,9.38885,8.11105,6.2401,4.58255,6.88674,6.55664,9.91334,7.82873,7.34215,8.76714,8.31546,7.88778,8.542,8.05949,7.27359,13.038,6.40364,8.24073,7.52006,4.73685,6.77879,5.15123,5.7593,8.98724,6.51434,5.5324,4.18624,7.73909,8.58875,10.5762,5.61522,10.3566,6.39836,5.19848,4.39437,10.1073,9.20397,9.38634,7.54882,8.99099,6.08591,8.15147,7.85533,8.25931,6.92151,7.52331,5.08427,7.36854,4.027,5.25627,10.5264,9.10377,6.21927,7.74569,7.18174,9.27031,8.54274,7.1645,10.1436,tumor
12.1932,9.14865,9.42256,10.792,9.55235,9.82207,8.47806,8.90337,8.87045,8.70902,9.96251,9.41419,10.851,8.51732,7.07534,7.71399,5.65508,7.2684,6.50203,8.98129,5.63614,7.70952,6.43429,6.01703,5.71725,4.26879,7.32326,7.83783,6.20213,6.20722,6.68813,7.67559,4.47215,6.60759,5.70182,7.16693,4.17402,6.02031,4.77598,11.9019,5.79078,9.27084,7.93784,5.96801,5.12426,6.94223,6.125,9.97297,7.55874,7.1998,9.48544,8.3684,7.43635,8.19586,8.94148,7.476,13.6289,6.4189,6.88909,7.71975,4.87472,6.58482,5.51068,5.77533,9.27127,6.51597,5.43948,4.43149,7.3446,8.74391,8.52246,5.53252,11.4005,6.49857,5.2318,4.51306,9.73085,8.86619,10.8686,6.76206,6.96288,7.23657,8.74909,8.69825,7.39319,6.65972,7.8284,5.02687,8.15154,4.20402,5.39927,10.006,8.50577,5.79629,7.15687,6.84991,9.55317,8.05139,6.45617,9.71459,tumor
