@relation myelo-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S43

@attribute X475 numeric
@attribute X1747 numeric
@attribute X1836 numeric
@attribute X2027 numeric
@attribute X2151 numeric
@attribute X2490 numeric
@attribute X2555 numeric
@attribute X4478 numeric
@attribute X4678 numeric
@attribute X5006 numeric
@attribute X5798 numeric
@attribute X5818 numeric
@attribute X5847 numeric
@attribute X6364 numeric
@attribute X6964 numeric
@attribute X8465 numeric
@attribute X9816 numeric
@attribute X9982 numeric
@attribute X10245 numeric
@attribute X10996 numeric
@attribute X11119 numeric
@attribute X11904 numeric
@attribute X12864 numeric
@attribute X13114 numeric
@attribute X13723 numeric
@attribute X14771 numeric
@attribute X15717 numeric
@attribute X15955 numeric
@attribute X19146 numeric
@attribute X19219 numeric
@attribute X19552 numeric
@attribute X19796 numeric
@attribute X20226 numeric
@attribute X20362 numeric
@attribute X21599 numeric
@attribute X21714 numeric
@attribute X22321 numeric
@attribute X22538 numeric
@attribute X23179 numeric
@attribute X23392 numeric
@attribute X23420 numeric
@attribute X23812 numeric
@attribute X24579 numeric
@attribute X24752 numeric
@attribute X26099 numeric
@attribute X26194 numeric
@attribute X26409 numeric
@attribute X26781 numeric
@attribute X26996 numeric
@attribute X27036 numeric
@attribute X28409 numeric
@attribute X29230 numeric
@attribute X29419 numeric
@attribute X29873 numeric
@attribute X30054 numeric
@attribute X30078 numeric
@attribute X30911 numeric
@attribute X31198 numeric
@attribute X31556 numeric
@attribute X31940 numeric
@attribute X31942 numeric
@attribute X32075 numeric
@attribute X32935 numeric
@attribute X33797 numeric
@attribute X33847 numeric
@attribute X34097 numeric
@attribute X34540 numeric
@attribute X34603 numeric
@attribute X34980 numeric
@attribute X35311 numeric
@attribute X35471 numeric
@attribute X35614 numeric
@attribute X36104 numeric
@attribute X38015 numeric
@attribute X38596 numeric
@attribute X39062 numeric
@attribute X39719 numeric
@attribute X39743 numeric
@attribute X40671 numeric
@attribute X42175 numeric
@attribute X42304 numeric
@attribute X42413 numeric
@attribute X44910 numeric
@attribute X45637 numeric
@attribute X45787 numeric
@attribute X45934 numeric
@attribute X46641 numeric
@attribute X46868 numeric
@attribute X47564 numeric
@attribute X48223 numeric
@attribute X48745 numeric
@attribute X49627 numeric
@attribute X50416 numeric
@attribute X50619 numeric
@attribute X51054 numeric
@attribute X51731 numeric
@attribute X52112 numeric
@attribute X52479 numeric
@attribute X52681 numeric
@attribute X52737 numeric
@attribute myelo.columns.disease.state {healthy,'myelodysplastic syndrome'}

@data

10.7718,788.521,16.776,14.9532,22.31,10.799,581.776,10.5081,11.2222,28.3551,10.1744,21.5385,11.1774,38.81,6.59251,12.1377,14.434,3890.88,21.9861,10.2953,90.9334,89.8685,1832.88,101.633,30.2917,100.435,20.8777,107.179,50.5145,48.8784,6.99775,27.4565,167.547,23.0269,32.3256,1713.23,269.38,119.175,298.248,451.311,8.75462,334.941,91.0743,16.3736,8.8977,249.044,14.9053,28.8185,57.5921,448.2,82.6392,15.2651,68.807,24.8562,8.79762,8.9009,18.8705,15.5784,51.4327,20.1535,56.3688,51.4549,28.9038,59.4001,1937.09,1753.7,420.151,14.4887,136.456,191.339,296.619,297.068,213.045,688.163,23.3679,23.1617,23.4117,38.7835,19.5148,13.4942,7.91066,21.2189,72.1501,12.4476,63.9388,10.6698,7.08807,52.1003,10.7091,21.5191,12.0479,18.1021,24.3124,7.87654,23.8698,6.47809,135.135,35.6624,15.9497,10.9045,'myelodysplastic syndrome'
12.2272,1269.19,17.1129,13.7196,19.3915,11.8781,601.9,15.3069,13.0646,22.7597,14.3676,21.8487,13.3198,48.3235,6.47763,12.7379,18.6233,3728.28,22.7073,11.2972,68.572,104.736,2523.01,23.4801,13.732,114.582,21.4263,96.7981,31.9747,56.057,7.20858,28.298,103.015,23.3544,33.1129,1470.24,293.029,133.577,183.627,454.64,11.7483,344.772,46.2407,17.0158,8.2637,203.496,14.4913,36.8548,60.9344,475.1,85.3193,25.7308,84.2565,31.6755,9.51293,9.36198,16.0431,19.1182,50.8652,23.1901,37.4868,83.881,21.6716,141.645,1943.1,1426.83,353.131,15.6526,117.381,219.519,304.677,318.251,236.037,800.34,21.1076,22.2042,20.2948,45.8493,20.7054,11.8593,7.80199,17.2578,94.6942,10.8177,57.4037,12.2589,8.28337,60.3099,7.96385,20.5405,14.7175,18.5791,28.0362,7.42415,24.1884,7.34859,145.074,26.2523,25.4487,10.4907,'myelodysplastic syndrome'
11.4546,475.135,20.8401,22.8723,27.8049,19.1017,428.528,8.56373,15.1987,12.794,10.8505,21.2794,11.3005,22.0647,6.92802,13.7667,17.0575,3549.13,20.5139,10.1071,153.692,95.0018,2226.06,547.888,40.3483,96.7772,36.4691,108.453,31.1123,56.4908,7.03719,23.6218,81.6921,18.063,28.7957,1427.86,223.541,155.116,176.01,393.8,8.62751,278.849,11.4992,18.5363,11.351,249.645,19.5979,39.5909,73.7743,517.78,78.8698,41.961,63.5256,31.5184,9.51567,14.6477,25.4671,14.615,25.5075,18.7674,29.6462,74.2436,17.5828,66.5425,1502.8,1684.35,409.011,19.1817,167.426,291.241,269.846,291.681,177.13,605.336,29.6013,34.1352,25.9187,54.7755,28.7128,11.9141,6.9041,20.8011,58.2473,12.178,54.4097,21.9956,6.46923,47.4934,10.279,22.0718,15.8695,20.1187,34.4961,7.42148,16.9497,8.16016,119.989,21.568,13.6472,10.1956,'myelodysplastic syndrome'
10.3533,784.837,20.6399,20.2284,27.4901,11.4463,497.951,7.50266,14.2567,13.0256,11.9692,24.66,10.7138,19.5415,7.7326,13.8323,13.2185,4054.57,25.5811,9.79882,43.1482,87.7191,2204.76,38.3293,26.4802,91.3833,23.615,120.448,19.7595,51.3327,10.1079,20.6384,63.1741,26.3063,34.5284,1361.9,263.696,225.742,350.406,487.76,32.9535,249.376,15.5475,20.1332,10.2472,229.613,19.8194,28.8081,56.8132,441.184,118.665,16.0004,77.462,36.5086,11.9675,9.28942,20.5523,18.1465,32.4142,18.0149,41.0136,57.7542,33.8999,69.6725,1651.19,1858.41,489.873,15.3621,139.659,135.525,289.327,319.79,146.449,890.203,26.8191,24.4072,19.7453,58.7489,23.5776,13.4045,8.81348,23.051,48.7975,16.61,46.696,14.3541,8.05154,45.8179,10.3257,25.9935,11.2104,20.1013,27.863,8.65116,23.8389,6.93651,96.4396,20.9885,11.51,10.7788,'myelodysplastic syndrome'
15.1467,771.772,16.4569,18.5851,36.2099,11.8116,420.439,8.33125,12.8833,12.83,8.91791,22.0654,19.0494,12.0061,7.45524,14.3231,44.0489,4887.06,17.335,11.6141,118.682,70.7857,1365.63,647.915,18.6394,103.992,17.7547,100.689,13.9007,48.9348,9.82145,22.1291,148.489,20.5464,33.8755,1326.69,214.841,111.07,343.73,294.373,8.34567,369.103,56.239,24.7204,8.9298,182.151,19.6644,62.4231,53.4038,453.756,56.3181,19.8023,48.0336,36.6562,10.3907,10.441,18.4338,18.2488,52.4052,15.3444,37.946,40.8249,26.0085,40.542,2028.72,1103.64,290.036,18.0214,93.6898,145.555,335.364,291.345,102.719,662.954,26.767,24.998,23.6746,50.0221,21.7294,10.0781,7.95181,30.5283,50.9679,12.7343,28.0402,11.3502,6.63014,46.6154,10.5021,29.5034,12.0531,15.5201,31.7623,7.53842,21.1548,7.64783,145.65,22.2082,11.4628,12.0419,'myelodysplastic syndrome'
14.0108,442.203,27.3046,14.1855,31.0004,10.4244,306.018,8.08235,14.3982,8.80523,11.1244,21.8723,12.7545,11.9698,7.67377,17.6107,21.0909,2551.62,19.5697,10.8286,71.6425,164.485,2106.54,702.541,18.1139,90.2448,21.8125,110.225,18.2705,55.6386,8.59525,19.0343,100.074,21.2342,35.7125,1353.73,144.854,115.136,387.622,188.174,13.0378,304.435,8.4145,19.0453,10.7586,400.222,18.4643,30.6363,69.5722,446.621,128.823,18.463,93.0274,27.7488,10.7524,12.4163,24.7115,16.4979,47.3396,15.1489,169.55,51.1518,54.097,49.5593,1866.06,999.978,452.809,18.9673,104.052,124.206,389.834,238.241,44.1474,722.613,26.4545,29.882,29.5459,54.9811,22.7384,10.3035,8.72943,29.6152,47.5721,15.6944,40.4749,18.758,8.06199,47.2476,10.7099,23.1134,12.8513,22.7433,37.5192,8.58226,13.6138,7.07786,64.5358,24.3571,10.0353,9.74321,'myelodysplastic syndrome'
22.0965,781.142,17.77,28.9402,44.6753,13.7627,345.493,7.13058,16.6946,15.0396,10.2553,29.4079,15.5784,18.8331,7.68927,15.4309,27.0169,4072.43,17.36,11.6367,178.301,67.159,2562.77,179.293,22.7417,184.383,18.6166,109.088,16.9295,52.3788,10.262,22.7041,1069.58,21.8471,34.1671,1014.05,297.84,84.6214,200.7,292.639,10.0701,294.32,36.2948,18.4883,9.65934,157.492,20.6473,52.2581,75.5984,418.897,85.6211,20.3182,33.6468,48.2834,13.5229,10.0846,19.697,18.3463,19.8452,22.3583,46.5952,57.5466,19.0632,72.2645,1356.75,1172.66,351.076,19.2606,112.382,148.083,208.918,244.237,173.667,448.055,32.0173,29.5992,29.8025,76.1121,32.9203,10.5225,7.91922,39.4031,46.3207,14.5415,34.2991,11.4711,6.6464,67.5326,10.4522,31.9943,13.2844,18.846,33.3091,8.12965,15.2838,7.15786,131.894,28.1607,10.2538,11.6846,'myelodysplastic syndrome'
13.9524,604.355,15.682,17.9108,23.6184,10.7447,761.471,17.1821,12.005,16.1416,15.231,32.6322,10.9763,38.4067,8.32825,11.7708,14.4829,3966.44,19.5895,10.231,34.9502,89.8361,1894.3,317.3,23.2964,182.099,25.6678,103.775,25.7187,42.6745,7.93236,19.0028,522.408,17.1252,29.5395,1102.28,211.965,110.603,235.816,422.002,13.3963,270.294,40.472,14.5279,9.35659,228.985,17.2652,24.2302,62.9107,355.735,83.7029,23.2252,61.937,19.1996,10.2225,9.08752,20.9893,13.7627,39.0358,16.9631,115.994,38.7919,18.3305,36.5652,1954.4,2433.13,418.761,22.1738,102.489,204.554,321.153,291.45,238.507,458.406,28.8975,18.1674,25.766,59.6101,25.0377,16.9351,7.08245,20.2992,84.1836,14.3221,53.3461,12.6119,6.88225,51.9503,11.7335,21.1137,14.1396,14.4829,26.329,7.25286,16.6928,6.47296,114.697,37.8572,59.2825,10.4019,'myelodysplastic syndrome'
15.3887,1024.37,15.1729,16.38,21.4124,10.562,656.443,9.60037,11.3965,18.0195,11.7128,19.3887,14.4819,33.0272,7.05546,12.4279,17.2131,3516.93,29.7339,9.85902,174.665,133.02,3055.75,195.963,30.9647,149.563,24.676,94.517,23.0643,40.2263,8.6574,28.1739,829.278,17.37,25.9879,1525.82,237.778,121.397,206.137,411.345,14.0401,366.717,56.967,17.3463,9.16907,233.955,17.9838,30.5305,57.4182,532.151,85.037,22.5573,75.457,22.0257,9.35996,9.70189,21.4255,18.1426,31.7269,25.9131,198.264,51.0414,21.0241,90.0499,1603.18,1422.32,467.293,23.2964,146.365,234.63,298.42,251.143,257.028,534.341,27.013,16.53,22.8913,51.2034,21.4541,12.1832,8.43331,19.2717,72.1397,14.2531,55.7991,11.5949,7.8862,66.576,10.0136,24.0962,13.2767,15.0478,26.4984,7.90668,13.364,6.81466,128.748,33.9916,89.7908,10.6445,'myelodysplastic syndrome'
