@relation pulm2-weka.filters.unsupervised.attribute.RandomSubset-N100.0-S43

@attribute X593 numeric
@attribute X610 numeric
@attribute X736 numeric
@attribute X1037 numeric
@attribute X1904 numeric
@attribute X2158 numeric
@attribute X2675 numeric
@attribute X2708 numeric
@attribute X2917 numeric
@attribute X3294 numeric
@attribute X3678 numeric
@attribute X3860 numeric
@attribute X3928 numeric
@attribute X4100 numeric
@attribute X4228 numeric
@attribute X4574 numeric
@attribute X5010 numeric
@attribute X5051 numeric
@attribute X5370 numeric
@attribute X5417 numeric
@attribute X5626 numeric
@attribute X5721 numeric
@attribute X5888 numeric
@attribute X6065 numeric
@attribute X6129 numeric
@attribute X6310 numeric
@attribute X6372 numeric
@attribute X6524 numeric
@attribute X7296 numeric
@attribute X7567 numeric
@attribute X7721 numeric
@attribute X7790 numeric
@attribute X8571 numeric
@attribute X8738 numeric
@attribute X9262 numeric
@attribute X9515 numeric
@attribute X10108 numeric
@attribute X10210 numeric
@attribute X10418 numeric
@attribute X11200 numeric
@attribute X11455 numeric
@attribute X11550 numeric
@attribute X11640 numeric
@attribute X12007 numeric
@attribute X12183 numeric
@attribute X12387 numeric
@attribute X12416 numeric
@attribute X12442 numeric
@attribute X12983 numeric
@attribute X13203 numeric
@attribute X13571 numeric
@attribute X13851 numeric
@attribute X14116 numeric
@attribute X14235 numeric
@attribute X14390 numeric
@attribute X14661 numeric
@attribute X14733 numeric
@attribute X15028 numeric
@attribute X15229 numeric
@attribute X15307 numeric
@attribute X15422 numeric
@attribute X15956 numeric
@attribute X16227 numeric
@attribute X16673 numeric
@attribute X17099 numeric
@attribute X17416 numeric
@attribute X17770 numeric
@attribute X18411 numeric
@attribute X18781 numeric
@attribute X18784 numeric
@attribute X18819 numeric
@attribute X20538 numeric
@attribute X20591 numeric
@attribute X20787 numeric
@attribute X21260 numeric
@attribute X21368 numeric
@attribute X21691 numeric
@attribute X21973 numeric
@attribute X22199 numeric
@attribute X22481 numeric
@attribute X22878 numeric
@attribute X22895 numeric
@attribute X22898 numeric
@attribute X22903 numeric
@attribute X23185 numeric
@attribute X23194 numeric
@attribute X23244 numeric
@attribute X23280 numeric
@attribute X23443 numeric
@attribute X23776 numeric
@attribute X24319 numeric
@attribute X24641 numeric
@attribute X24869 numeric
@attribute X25094 numeric
@attribute X25871 numeric
@attribute X26930 numeric
@attribute X26984 numeric
@attribute X27138 numeric
@attribute X28128 numeric
@attribute X28346 numeric
@attribute pulm.columns.disease.state {'PF + intermediate PH','PF + no PH','PF + severe PH'}

@data

3.76957,5.33364,7.94493,7.90547,4.81744,6.97459,5.62726,5.21576,4.64471,3.15262,8.62929,6.04288,7.52502,4.83318,8.50096,5.07137,11.8736,5.46717,7.10232,6.63433,6.46384,7.27821,7.57892,7.07497,5.03824,7.6596,7.34336,6.51727,11.5284,1.75182,5.51552,9.9164,5.23099,8.30732,5.43219,6.60145,5.4792,2.42763,6.30304,5.00991,7.86843,6.39145,8.20343,8.31792,5.29366,5.54933,6.50414,8.45542,7.3981,6.21252,6.66215,7.58927,5.29254,5.25035,6.01652,7.1752,3.22272,10.2284,8.92814,8.4692,8.58616,5.89372,6.22222,7.18529,4.94834,6.22901,4.03944,3.67547,4.73014,5.59157,6.51589,12.1098,8.04799,5.48801,6.1723,4.10042,7.82646,7.20643,4.28029,7.68696,6.26254,4.42062,4.97893,4.84526,10.0189,6.16614,7.39365,6.10286,4.63558,8.08424,5.95231,6.94194,7.44768,6.06281,9.00533,8.00474,6.93989,6.9115,6.41388,6.05682,'PF + severe PH'
3.93489,5.51787,7.83475,7.33568,5.31773,7.70174,5.89158,5.08232,4.47228,3.26167,8.36961,6.07585,7.3538,5.00092,8.52657,5.37201,11.8706,5.38168,7.46274,6.58373,6.72123,6.69558,7.43876,6.93103,5.25268,7.49189,7.01788,6.08926,11.4626,2.16108,5.89058,9.98146,4.66982,8.13663,5.51392,5.52083,5.58105,2.49578,6.4141,4.75153,7.44911,6.29403,8.28133,8.18093,5.25505,5.70989,5.82102,8.32541,7.56311,6.48911,6.97365,7.6044,5.70754,5.54199,6.25611,9.58062,3.30977,10.123,8.63318,8.40927,8.64403,5.91882,6.4084,6.977,5.47393,6.21561,4.52201,3.82481,4.87345,6.06572,6.33936,11.7952,7.96043,5.29433,6.15119,4.43467,7.76199,7.56539,4.37056,7.43005,6.45343,4.71562,5.92197,4.98178,9.76104,6.17372,7.40882,6.04618,4.53471,8.22725,6.66364,7.25902,7.55753,5.59865,8.81486,7.83133,6.6574,7.09799,6.08487,5.74457,'PF + severe PH'
4.05133,5.26769,7.85872,7.80389,4.92199,7.23418,5.58057,5.05309,4.59466,3.13953,8.58039,6.24091,7.29366,4.86808,8.55002,5.43012,11.8765,5.10615,7.43739,6.64821,6.60903,6.86462,7.54238,7.29564,5.0119,7.59078,7.04533,6.18813,11.4701,1.68621,5.73044,9.87798,4.92212,8.34151,5.64927,5.84927,5.42354,1.9573,6.4643,4.8795,7.89424,6.3567,8.26629,8.16888,5.3166,5.94682,5.81417,8.53118,7.32341,6.36276,6.80375,7.66586,5.52813,5.32292,6.24649,7.45683,3.22221,10.1636,8.75503,8.39176,8.70107,6.30259,6.32602,7.45617,5.34308,6.30852,4.43358,3.87862,4.34785,5.71131,6.24992,12.2353,7.8361,5.12692,6.2062,4.05638,7.8352,7.22775,4.16856,7.82062,6.58964,4.73218,5.77224,5.00308,10.0109,5.87488,7.22245,6.17199,4.74952,8.34674,6.3854,7.34292,7.45603,5.68582,8.75349,7.90959,7.02518,7.10211,6.29843,6.17258,'PF + severe PH'
3.71525,5.6457,7.80203,7.31266,5.17284,6.9245,5.45883,5.37246,4.57805,2.85232,8.59521,6.18935,6.99031,5.29356,8.53013,5.42397,11.8061,5.27809,7.41883,6.80343,6.78237,7.02555,7.16473,7.05946,5.14505,7.87548,6.77167,5.35598,11.409,1.84717,6.14075,9.7016,4.61053,8.20475,5.60459,6.38873,5.68439,1.85812,6.72808,4.60569,7.56571,6.44847,8.24171,7.85219,5.35083,5.90081,4.57219,8.18304,7.11864,6.45133,6.87811,7.71448,5.65872,5.61389,6.54984,7.92911,3.21339,10.3463,8.69018,8.33937,8.86964,5.16124,6.50726,7.31035,5.66713,6.28559,4.38795,3.64365,4.41747,5.65052,6.30343,11.9526,8.10269,5.3904,6.08968,4.81795,7.74204,7.02892,4.28029,7.23852,6.20035,4.8663,5.51241,5.06039,9.91993,6.13205,7.06857,5.98482,4.70029,8.37851,6.35699,7.30222,7.58526,5.82718,8.75923,7.64183,6.8184,6.8988,6.05894,5.59439,'PF + severe PH'
4.09151,4.82232,8.19705,7.46716,4.60702,7.01169,6.20924,5.02622,4.15718,3.6301,8.19064,6.37,7.4305,4.6447,8.38857,5.17318,11.6705,4.76681,7.15201,6.80016,6.36227,6.71152,7.30817,6.96137,4.94557,7.79693,7.44993,7.35316,11.1449,2.3536,5.16125,9.68764,5.35133,8.56143,5.69253,6.46762,5.75805,2.73471,6.2722,5.16307,7.77039,5.98557,8.36539,8.0563,5.17447,5.77924,3.59005,8.37227,7.14503,6.60431,6.65706,7.5773,5.49872,5.25798,5.6699,7.2121,3.0942,9.64704,8.90989,8.40246,8.64271,6.03315,6.17919,7.30764,5.27439,5.99312,3.83904,3.56442,5.03908,5.3817,6.51717,11.8625,8.01708,5.20109,6.28493,4.31516,7.93579,7.30454,3.56802,7.44868,6.40236,4.87076,4.88906,4.35674,9.82905,5.89274,7.07214,6.15464,4.35463,8.07304,6.82936,7.4457,7.54676,6.3741,9.11125,7.85443,7.18475,6.85799,6.2349,5.66324,'PF + severe PH'
3.61101,5.07609,8.03151,7.8991,4.96965,6.93845,5.72536,5.18272,4.20773,3.32022,8.78491,6.38197,7.73204,5.03732,8.59182,4.83294,11.7205,5.44384,7.17029,6.70073,6.4494,6.39487,7.48612,7.12563,4.6851,7.69414,7.09101,6.23619,11.3511,1.85169,5.70688,9.71532,4.89159,8.21076,5.37772,6.17201,5.39632,3.24073,6.34491,4.93028,7.71809,6.03971,8.28975,7.84771,5.19999,5.68422,4.75209,8.37816,7.55648,6.28222,6.69788,7.60754,5.36036,5.18968,6.19556,8.59525,3.0161,10.0055,8.75486,8.31385,8.56955,6.09175,6.1842,7.29146,5.02737,6.13862,4.1175,3.32256,4.59345,5.79969,6.59435,11.9852,8.12705,5.12646,6.18296,4.30718,7.56259,7.35221,4.16266,7.52423,6.65246,5.60959,4.97772,4.72601,10.0409,6.22876,7.41253,6.01593,4.43082,8.12689,6.4586,7.1666,7.56426,5.89845,8.91207,7.99172,7.01219,7.16139,6.20581,5.56673,'PF + severe PH'
3.53007,5.22013,7.91984,7.74304,4.88877,6.92753,5.45413,4.87947,4.10446,3.23716,8.5188,6.22428,7.6687,4.92618,8.68261,4.31644,11.9239,5.1835,7.7545,6.51229,6.36422,7.31572,7.44664,7.35108,4.83018,7.64188,7.48374,7.17635,11.3281,1.31319,5.49367,9.82809,5.46557,8.32218,5.46182,6.11996,5.12006,2.74376,6.40481,4.77998,8.15397,6.10046,8.28045,8.38643,5.00039,5.4663,5.73818,8.47097,7.73338,6.03633,6.55545,7.62567,5.56229,5.13204,6.15475,8.3855,3.1518,10.1257,8.81157,8.46047,8.72474,6.0481,5.82944,7.84193,4.9845,6.22035,3.95982,3.79217,4.73603,5.99269,6.00426,12.0593,8.10634,4.9921,6.24034,4.42434,8.14308,7.40335,3.50434,7.76328,6.8249,4.72862,4.88586,4.53571,9.78769,6.43547,7.53954,5.91082,4.34304,8.18222,6.27473,7.11434,7.55434,5.61926,9.04047,7.9127,7.10718,7.21538,6.44928,5.81026,'PF + severe PH'
3.61073,5.31411,7.79588,7.44729,4.88894,6.96681,5.50986,5.32749,4.46121,3.26524,8.59132,6.09567,7.47449,5.17374,8.39291,5.24102,11.7099,5.1874,7.52862,6.49283,6.5747,7.15703,7.35407,7.41035,4.88323,7.74792,7.0486,5.79154,11.3683,2.35806,5.95913,9.80712,4.3692,8.36145,5.51111,5.31173,5.44483,2.3061,6.37833,4.72861,7.80578,6.18827,8.07943,8.14377,5.14403,6.0042,4.06474,8.40871,7.17628,6.36162,6.84409,7.61557,5.42056,5.32089,5.92462,7.88937,3.21866,10.062,8.76432,8.47484,8.668,5.2386,6.24912,7.59172,5.5639,6.53122,4.57636,3.89596,4.67055,5.81346,6.26186,11.9772,7.87439,5.27725,6.04001,4.2355,7.77701,7.00057,4.30846,7.24841,6.33421,4.43437,4.93311,5.05312,9.8011,6.31131,7.23338,5.81042,4.93624,8.37608,6.21251,7.46087,7.59439,5.70286,8.85118,8.01826,6.3559,7.20557,6.07337,5.75593,'PF + severe PH'
4.0562,5.34159,8.00282,7.21269,4.87708,6.89355,5.56129,5.21497,4.60241,2.97866,8.55188,6.17735,7.4699,5.01352,8.52545,4.94337,11.9905,5.27279,7.42156,6.62665,6.75208,7.66548,6.77014,7.08406,5.15083,7.59776,7.25401,5.91039,11.4472,2.65852,5.68467,9.90868,4.06924,8.06851,5.82494,5.89658,5.79988,2.49578,6.72299,5.31213,7.17487,6.33551,8.58391,8.25397,5.49289,5.92095,4.70293,8.44186,7.29376,6.48227,6.92569,7.433,5.48966,5.49631,6.66361,8.38572,3.3481,10.1763,8.81832,8.13852,8.93743,5.58728,6.48631,7.78449,5.49166,6.55649,4.49388,3.68439,4.74109,5.51271,6.20796,12.1739,8.23283,5.23688,6.3855,4.40358,7.9907,6.97438,4.38878,7.4535,6.41572,4.77077,5.0584,4.97473,9.76947,6.59735,7.3994,5.81719,4.93439,8.54807,6.23143,7.14601,7.42307,5.65827,9.02311,8.58901,6.64688,6.97932,6.33726,5.60866,'PF + severe PH'
3.16987,5.01714,8.05197,7.75524,4.88204,8.31699,5.58582,5.15506,4.29332,2.82058,8.75035,6.52122,7.49396,4.86422,8.5775,4.87719,12.0079,5.30808,7.25864,6.48921,6.62668,6.75765,7.43871,7.26629,5.03616,7.69134,7.19025,6.3537,11.4388,2.03314,5.55454,9.84894,4.93803,8.13004,5.46784,6.38553,5.6884,2.6079,6.44873,4.78989,7.34544,6.07922,8.5625,8.20909,5.0377,5.75197,3.7074,8.41578,8.19047,6.23441,6.6396,7.65449,5.44195,5.26928,5.70391,7.79897,3.12656,10.092,8.92397,8.32709,8.78001,6.00601,6.35566,7.2663,5.37624,6.33349,4.3893,3.81724,4.9077,5.06815,6.12384,11.8851,8.15238,5.34261,6.16324,3.58209,8.10219,7.28347,4.1544,7.69787,6.65928,5.05482,4.82428,4.84861,9.99151,6.50754,7.46311,5.59616,4.77418,7.92944,6.16953,7.34379,7.37993,5.84969,8.92342,8.11792,6.97596,7.25655,6.25688,5.60768,'PF + severe PH'
3.73988,5.45031,8.13928,7.67842,5.23205,7.59609,5.81798,5.4025,4.6577,3.16225,8.62589,6.24922,7.58858,4.84609,8.64227,5.59947,12.0987,5.4183,7.32852,6.52353,6.88643,7.32634,7.17105,7.04336,5.02236,7.43737,7.28221,6.40425,11.4466,2.60901,6.12819,10.0581,4.6795,8.23011,5.64698,6.14641,5.64801,2.39454,6.27221,4.95698,7.42471,6.17619,8.53505,7.94689,5.48263,5.93492,4.53129,8.41549,7.62555,6.50211,6.75988,7.66158,5.55251,5.61046,6.18668,7.35285,3.59799,10.2589,8.94038,8.13526,8.59362,6.41716,6.37294,7.39827,5.59461,6.23649,4.49207,3.4844,4.73603,5.95393,6.51563,11.9981,8.20141,5.42238,6.37473,4.23951,7.65972,7.07698,4.89822,7.59854,6.57829,4.89344,5.3393,4.9823,9.95515,6.81566,7.47053,5.95496,4.73048,8.03018,6.31625,7.00613,7.16667,5.94358,9.08633,8.43185,7.00683,6.83264,6.36501,5.76716,'PF + severe PH'
3.90438,5.58213,8.22103,8.05363,5.05658,7.87714,5.75235,5.44452,4.99966,3.01045,8.70052,6.28081,7.43866,5.13239,8.59438,5.3406,12.1066,5.51972,7.32724,6.48605,6.94181,7.28556,6.79681,6.77941,5.17892,7.31597,6.92733,6.63356,11.4792,2.27947,6.01212,9.74875,5.00665,7.96847,5.6843,6.44528,5.48585,2.90937,6.73562,5.25924,7.16461,6.42554,8.38858,7.95658,5.57111,6.47421,4.24382,8.39639,7.57732,6.90866,6.89249,7.51992,5.56261,5.6047,6.23509,7.69136,3.64664,10.1419,9.06794,8.07907,8.5676,6.55844,6.48228,7.00823,5.39367,6.53865,4.23401,3.71104,4.76942,5.82802,6.2649,11.8316,7.94921,5.70767,6.24034,4.27625,7.72403,7.0055,4.72304,7.66465,6.46572,5.66167,5.16306,5.26814,9.84277,6.55848,7.54282,5.96842,5.2759,8.0507,6.21288,7.20905,7.44232,6.18667,9.09336,8.06689,6.81393,6.90386,6.44926,5.72384,'PF + severe PH'
